tstamp,gaze_x,gaze_y
3871016.440591,0.321665,0.440636
3871034.118176,0.321665,0.440636
3871077.169748,0.321665,0.440636
3871093.841048,0.323557,0.445532
3871106.141370,0.320719,0.447980
3871122.537783,0.320719,0.447980
3871138.048843,0.322611,0.451652
3871154.268543,0.323557,0.452876
3871169.405650,0.323557,0.454100
3871185.166608,0.324503,0.454100
3871213.436731,0.325449,0.456548
3871227.318549,0.324503,0.455324
3871240.429699,0.324503,0.452876
3871257.321445,0.326395,0.455324
3871272.434008,0.324503,0.454100
3871286.759840,0.315043,0.444308
3871312.542142,0.315989,0.446756
3871342.147880,0.317881,0.449204
3871349.827325,0.316935,0.447980
3871366.479437,0.313150,0.458996
3871376.776561,0.312204,0.476132
3871393.229200,0.311258,0.484700
3871408.033854,0.311258,0.490820
3871421.435957,0.311258,0.490820
3871437.374967,0.313150,0.495716
3871453.473288,0.315043,0.500612
3871466.773647,0.313150,0.501836
3871483.586853,0.314097,0.501836
3871512.124278,0.313150,0.504284
3871527.664345,0.314097,0.504284
3871545.999696,0.312204,0.507956
3871558.194703,0.313150,0.514076
3871574.897687,0.316935,0.510404
3871590.240959,0.316935,0.511628
3871604.686385,0.314097,0.507956
3871618.006379,0.314097,0.506732
3871633.130991,0.315043,0.506732
3871663.709098,0.315043,0.506732
3871677.995214,0.314097,0.506732
3871691.182672,0.315043,0.507956
3871707.139533,0.314097,0.511628
3871722.664873,0.312204,0.505508
3871735.694361,0.313150,0.507956
3871752.652151,0.314097,0.507956
3871768.762520,0.318827,0.506732
