tstamp,gaze_x,gaze_y
3873058.584945,0.601703,0.384333
3873091.130997,0.601703,0.381885
3873103.795009,0.603595,0.380661
3873121.429308,0.600757,0.380661
3873134.919767,0.601703,0.381885
3873142.810733,0.599811,0.378213
3873162.853867,0.591296,0.380661
3873176.510330,0.591296,0.380661
3873193.175829,0.593188,0.381885
3873208.174154,0.591296,0.383109
3873221.356704,0.591296,0.381885
3873237.772305,0.594134,0.381885
3873253.081216,0.595080,0.381885
3873266.381129,0.590350,0.388005
3873283.076973,0.583728,0.403917
3873312.018696,0.509934,0.569155
3873327.847484,0.516556,0.552020
3873342.847147,0.508042,0.566707
3873356.034159,0.469253,0.649939
3873372.231100,0.470199,0.648715
3873387.255753,0.471145,0.648715
3873401.519110,0.471145,0.647491
3873418.696453,0.472091,0.648715
3873434.552462,0.469253,0.654835
3873466.252431,0.467360,0.656059
3873477.391621,0.465468,0.657283
3873490.632183,0.431410,0.651163
3873507.093302,0.433302,0.652387
3873522.615072,0.433302,0.658507
3873536.215755,0.428571,0.656059
3873553.369000,0.437086,0.660955
3873571.120662,0.437086,0.659731
3873590.952275,0.436140,0.657283
3873618.478061,0.384106,0.610771
3873628.343218,0.405866,0.627907
3873641.553882,0.438032,0.651163
3873656.647256,0.426679,0.642595
3873670.727207,0.425733,0.642595
3873687.283822,0.413434,0.634027
3873704.111308,0.421949,0.636475
3873717.047976,0.417219,0.629131
3873734.684060,0.428571,0.631579
3873761.641328,0.412488,0.629131
3873777.134539,0.414380,0.631579
3873791.918665,0.433302,0.640147
3873805.449733,0.430464,0.640147
3873822.502574,0.446547,0.651163
3873838.042641,0.434248,0.652387
3873852.454152,0.430464,0.651163
3873868.258396,0.445601,0.665851
3873883.307146,0.454115,0.673195
3873912.949029,0.460738,0.686659
3873927.165977,0.445601,0.659731
3873941.216921,0.447493,0.659731
3873957.475444,0.460738,0.681763
