tstamp,gaze_x,gaze_y
3902562.462599,0.369915,0.543452
3902590.988421,0.372753,0.545900
3902611.584454,0.372753,0.547124
3902623.413986,0.372753,0.545900
3902629.217860,0.376537,0.543452
3902639.577459,0.375591,0.543452
3902649.820141,0.374645,0.543452
3902666.653874,0.377483,0.542228
3902681.095730,0.373699,0.548348
3902711.970144,0.367077,0.555692
3902727.301814,0.364238,0.556916
3902741.553569,0.363292,0.554468
3902757.770591,0.363292,0.552020
3902773.464613,0.362346,0.554468
3902784.612281,0.364238,0.550796
3902801.598631,0.379376,0.539780
3902815.819149,0.407758,0.527540
3902829.334152,0.503311,0.487148
3902861.631198,0.522233,0.478580
3902876.746885,0.604541,0.443084
3902893.114292,0.609272,0.441860
3902908.232210,0.638600,0.441860
3902919.567302,0.626301,0.440636
3902935.901240,0.617786,0.439412
3902951.041917,0.611164,0.462668
3902963.919235,0.609272,0.462668
3902980.516012,0.608325,0.463892
3903011.153470,0.604541,0.458996
3903027.734628,0.610218,0.461444
3903041.905167,0.613056,0.457772
3903055.117169,0.612110,0.457772
3903081.218983,0.615894,0.452876
3903091.420610,0.617786,0.451652
3903102.802112,0.619678,0.450428
3903117.074394,0.619678,0.450428
3903131.065541,0.621570,0.451652
3903163.139019,0.629139,0.454100
3903176.968625,0.631031,0.451652
3903190.359125,0.649953,0.441860
3903207.418659,0.642384,0.444308
3903221.583843,0.649007,0.439412
3903235.104647,0.674551,0.427173
3903250.911569,0.677389,0.435741
3903266.457437,0.677389,0.436965
3903280.601200,0.678335,0.434517
3903312.198533,0.677389,0.432069
3903325.336012,0.678335,0.432069
3903341.802485,0.678335,0.436965
3903357.187705,0.678335,0.433293
3903369.879384,0.677389,0.429621
3903386.364154,0.654683,0.440636
3903401.971604,0.655629,0.439412
3903414.853830,0.635762,0.435741
3903431.419816,0.434248,0.432069
3903461.159427,0.411542,0.432069
3903476.446026,0.423841,0.421053
3903491.419807,0.402081,0.419829
3903505.048157,0.406812,0.411261
3903523.123346,0.437086,0.410037
3903536.129183,0.423841,0.406365
3903549.115831,0.426679,0.367197
3903566.710414,0.427625,0.346389
3903587.542957,0.444655,0.305998
3903613.803189,0.456008,0.257038
3903628.380703,0.473037,0.215422
3903641.973799,0.491012,0.198286
3903658.794145,0.500473,0.227662
3903673.414053,0.502365,0.230110
3903685.355593,0.502365,0.248470
3903700.714038,0.494797,0.250918
3903715.802058,0.467360,0.238678
3903729.120266,0.472091,0.243574
3903761.566359,0.464522,0.248470
3903776.766386,0.467360,0.252142
3903792.180166,0.472091,0.258262
3903807.568063,0.473983,0.268054
3903819.506479,0.471145,0.266830
3903835.546787,0.483444,0.272950
3903850.636146,0.493851,0.274174
3903863.958371,0.494797,0.274174
3903880.406102,0.494797,0.275398
3903910.598206,0.498581,0.277846
3903926.607277,0.499527,0.279070
3903941.661382,0.501419,0.285190
3903954.881417,0.501419,0.285190
3903971.728538,0.500473,0.287638
3903985.706298,0.499527,0.288862
3903998.841546,0.498581,0.291310
3904015.576659,0.499527,0.288862
3904031.186786,0.500473,0.288862
3904062.878277,0.498581,0.286414
3904100.388368,0.497635,0.286414
3904108.760387,0.488174,0.299878
3904117.594717,0.486282,0.305998
3904125.195623,0.444655,0.390453
3904135.366906,0.440870,0.400245
3904150.812368,0.450331,0.429621
3904166.642495,0.451277,0.430845
3904179.939730,0.448439,0.434517
3904211.923512,0.442763,0.447980
3904225.444316,0.443709,0.449204
3904241.690790,0.445601,0.460220
3904256.905097,0.443709,0.452876
3904269.315196,0.443709,0.454100
3904286.388117,0.444655,0.451652
3904303.586434,0.434248,0.445532
3904314.826475,0.432356,0.445532
3904330.673559,0.433302,0.446756
3904360.407369,0.444655,0.456548
3904375.679242,0.463576,0.476132
3904391.205475,0.482498,0.493268
3904405.873578,0.511826,0.511628
3904422.630557,0.541154,0.537332
3904435.816677,0.563860,0.558140
3904449.204500,0.573321,0.564259
3904466.068578,0.599811,0.592411
3904480.991933,0.603595,0.596083
3904512.653525,0.598865,0.582619
3904532.166519,0.596026,0.575275
3904548.617374,0.595080,0.572827
3904562.558542,0.591296,0.571603
3904578.398486,0.595080,0.575275
3904590.047289,0.592242,0.566707
3904612.916498,0.592242,0.566707
3904619.840895,0.592242,0.566707
