tstamp,gaze_x,gaze_y
2476447.017895,0.513718,0.684211
2476462.863194,0.514664,0.684211
2476477.636164,0.514664,0.684211
2476489.598231,0.515610,0.687882
2476506.130303,0.515610,0.687882
2476520.632848,0.513718,0.686659
2476534.275031,0.513718,0.673195
2476552.044096,0.513718,0.674419
2476566.313701,0.513718,0.674419
2476605.695793,0.509934,0.669523
2476629.590476,0.507096,0.670747
2476644.751680,0.506149,0.670747
2476657.308593,0.506149,0.669523
2476665.126375,0.508988,0.670747
2476676.946982,0.510880,0.675643
2476688.157125,0.510880,0.675643
2476701.788152,0.511826,0.674419
2476714.384335,0.511826,0.678091
2476747.589938,0.510880,0.678091
2476760.195938,0.508988,0.676867
2476776.590119,0.508042,0.675643
2476790.948081,0.509934,0.673195
2476806.000401,0.508988,0.674419
2476821.960831,0.509934,0.673195
2476837.243860,0.513718,0.670747
2476849.127835,0.529801,0.657283
2476866.350695,0.539262,0.648715
2476896.252739,0.604541,0.578947
2476912.099823,0.618732,0.561812
2476926.960704,0.707663,0.493268
2476939.987514,0.708609,0.488372
2476956.795365,0.705771,0.489596
2476970.979737,0.698202,0.488372
2476984.358635,0.701041,0.488372
2477001.114276,0.696310,0.485924
2477015.704732,0.700095,0.485924
2477048.036585,0.697256,0.483476
2477061.869315,0.701041,0.483476
2477075.316042,0.695364,0.482252
2477101.964508,0.691580,0.487148
2477115.412128,0.694418,0.493268
2477122.472184,0.685903,0.514076
2477136.499478,0.686850,0.504284
2477150.149247,0.695364,0.490820
2477166.087365,0.695364,0.479804
2477198.628954,0.712394,0.388005
2477211.573209,0.711447,0.379437
2477227.265892,0.709555,0.367197
2477240.762599,0.735099,0.320685
2477254.535085,0.744560,0.280294
2477270.782452,0.750237,0.264382
2477285.144876,0.757805,0.261934
2477299.630464,0.756859,0.257038
2477317.344194,0.758751,0.255814
2477347.017761,0.752129,0.242350
2477362.556489,0.750237,0.239902
2477376.939440,0.762535,0.242350
2477389.631120,0.758751,0.236230
2477405.869115,0.753075,0.225214
2477420.397989,0.752129,0.228886
2477434.909013,0.752129,0.227662
2477451.467413,0.754967,0.236230
2477466.489834,0.755913,0.237454
2477497.258488,0.753075,0.239902
2477512.094825,0.752129,0.239902
2477525.276929,0.754021,0.241126
2477540.775941,0.743614,0.279070
2477557.415558,0.743614,0.279070
2477570.704761,0.743614,0.272950
2477590.610005,0.745506,0.260710
2477621.811964,0.747398,0.258262
2477629.914450,0.748344,0.258262
2477648.713451,0.752129,0.247246
2477660.737100,0.752129,0.244798
2477677.364222,0.752129,0.243574
2477691.029164,0.752129,0.243574
2477705.660674,0.748344,0.246022
2477721.559076,0.745506,0.249694
2477736.257077,0.748344,0.271726
2477749.478896,0.747398,0.266830
2477765.829346,0.747398,0.264382
2477796.258407,0.749290,0.249694
2477811.638271,0.751183,0.252142
2477826.940935,0.752129,0.263158
2477840.549204,0.753075,0.264382
2477857.877378,0.759697,0.225214
2477870.641349,0.758751,0.252142
2477884.686046,0.757805,0.269278
2477900.718768,0.757805,0.254590
2477915.178920,0.757805,0.270502
2477948.267607,0.757805,0.242350
2477963.636315,0.758751,0.233782
2477975.193191,0.757805,0.232558
2477990.954596,0.757805,0.235006
2478005.743631,0.757805,0.235006
2478019.525935,0.761589,0.231334
2478035.193628,0.760643,0.232558
2478050.288788,0.757805,0.233782
2478065.012225,0.756859,0.235006
2478107.486355,0.757805,0.239902
2478125.752092,0.755913,0.242350
2478137.665518,0.750237,0.242350
2478144.702370,0.754021,0.242350
2478154.574667,0.754021,0.242350
2478170.540453,0.751183,0.243574
2478185.503524,0.749290,0.246022
2478200.230084,0.750237,0.243574
2478216.669337,0.754021,0.238678
2478247.119817,0.735099,0.328029
2478262.713434,0.731315,0.342717
2478277.233829,0.729423,0.350061
2478289.586361,0.726585,0.358629
2478305.853809,0.725639,0.365973
2478320.746819,0.723746,0.390453
2478335.198046,0.721854,0.408813
2478352.375389,0.720908,0.414933
2478366.763249,0.726585,0.418605
2478397.613566,0.725639,0.419829
2478411.899682,0.723746,0.416157
2478424.990305,0.719962,0.413709
2478440.857470,0.718070,0.411261
2478456.429221,0.725639,0.413709
2478469.995988,0.720908,0.411261
2478486.736903,0.719962,0.411261
2478501.564315,0.724693,0.417381
2478514.631287,0.726585,0.422277
2478547.396445,0.733207,0.427173
2478560.368813,0.728477,0.429621
2478575.850868,0.730369,0.427173
2478598.442513,0.724693,0.424725
2478615.660018,0.724693,0.423501
2478626.684522,0.716178,0.429621
2478637.672881,0.723746,0.427173
2478649.300264,0.720908,0.429621
2478665.488280,0.714286,0.434517
2478696.425615,0.699149,0.445532
2478713.117443,0.696310,0.441860
2478728.180026,0.702933,0.439412
2478740.398239,0.701041,0.436965
2478756.164999,0.699149,0.435741
2478771.085230,0.721854,0.433293
2478783.836706,0.722800,0.433293
2478800.937295,0.715232,0.438188
2478815.369779,0.714286,0.434517
2478848.353152,0.701987,0.434517
2478864.054313,0.707663,0.428397
2478875.039102,0.698202,0.424725
2478890.836207,0.693472,0.429621
2478905.746174,0.709555,0.421053
2478919.613712,0.716178,0.419829
2478935.573250,0.713340,0.423501
2478950.668856,0.671712,0.433293
2478964.827791,0.537370,0.444308
2478997.833922,0.447493,0.455324
2479010.807629,0.335856,0.460220
2479026.930493,0.320719,0.463892
2479040.693609,0.306528,0.472460
2479054.444676,0.311258,0.474908
2479070.368961,0.311258,0.474908
2479091.453633,0.312204,0.473684
2479121.371742,0.312204,0.472460
2479131.805863,0.308420,0.470012
2479147.922926,0.308420,0.468788
2479162.188515,0.308420,0.468788
2479176.980227,0.312204,0.470012
2479188.994952,0.314097,0.470012
2479205.329336,0.320719,0.467564
2479220.255369,0.325449,0.467564
2479235.213085,0.337748,0.461444
2479251.509538,0.364238,0.439412
2479265.060241,0.448439,0.358629
2479297.297044,0.471145,0.326805
2479311.001255,0.491012,0.307222
2479324.001291,0.496689,0.293758
2479340.427602,0.489120,0.290086
2479355.350064,0.508042,0.288862
2479370.126604,0.475875,0.298654
2479386.052228,0.486282,0.291310
2479400.003213,0.485336,0.293758
2479413.920730,0.460738,0.286414
2479446.406538,0.457900,0.279070
2479460.422675,0.449385,0.277846
2479476.842293,0.461684,0.265606
2479490.517052,0.456954,0.272950
2479504.367632,0.446547,0.283966
2479520.914429,0.450331,0.283966
2479534.892635,0.451277,0.285190
2479549.725403,0.452223,0.283966
2479565.533217,0.446547,0.286414
2479601.286884,0.435194,0.291310
2479622.784780,0.430464,0.293758
2479634.878043,0.445601,0.283966
2479640.803742,0.430464,0.290086
2479655.766813,0.435194,0.302326
2479669.870415,0.459792,0.286414
2479684.088255,0.455061,0.292534
2479700.093310,0.449385,0.297430
2479716.080961,0.462630,0.288862
2479748.274479,0.453169,0.301102
2479761.879623,0.457900,0.297430
2479774.975602,0.456954,0.301102
2479790.575912,0.452223,0.303550
2479805.413587,0.463576,0.304774
2479819.092363,0.469253,0.305998
2479835.043422,0.459792,0.312118
2479850.284504,0.453169,0.313341
2479864.738855,0.462630,0.309670
2479897.399145,0.470199,0.288862
2479910.040845,0.471145,0.280294
2479926.784437,0.458846,0.304774
2479940.671609,0.474929,0.293758
2479953.502963,0.462630,0.313341
2479970.229598,0.451277,0.328029
2479986.058386,0.344371,0.552020
2479999.742962,0.318827,0.631579
2480016.261200,0.314097,0.651163
2480045.492537,0.305582,0.689106
2480061.622987,0.309366,0.709914
2480075.966223,0.314097,0.731946
2480094.440803,0.315043,0.728274
2480111.845285,0.312204,0.717258
2480126.435294,0.310312,0.722154
2480139.958776,0.307474,0.717258
2480151.425956,0.301798,0.711138
2480165.722336,0.300851,0.706242
2480196.993909,0.303690,0.708690
2480211.877102,0.305582,0.709914
2480223.968134,0.308420,0.709914
2480240.986168,0.309366,0.711138
2480256.821649,0.310312,0.712362
2480269.899778,0.310312,0.712362
2480286.219882,0.309366,0.714810
2480301.003116,0.309366,0.714810
2480314.138364,0.307474,0.714810
2480346.436749,0.308420,0.711138
2480360.468505,0.308420,0.711138
2480377.752500,0.310312,0.711138
2480393.513905,0.314097,0.706242
2480404.522791,0.314097,0.705018
