tstamp,gaze_x,gaze_y
2513585.641057,0.431410,0.793146
2513600.702748,0.427625,0.795594
2513612.443031,0.421949,0.798042
2513649.014667,0.413434,0.791922
2513659.702256,0.385998,0.787026
2513675.408772,0.365184,0.787026
2513689.572617,0.334910,0.785802
2513703.217031,0.326395,0.785802
2513719.699123,0.320719,0.785802
2513735.776024,0.315989,0.788250
2513748.802388,0.313150,0.791922
2513765.245210,0.309366,0.796818
2513799.490119,0.308420,0.799266
2513812.742730,0.308420,0.800490
2513824.619564,0.307474,0.801714
2513837.555340,0.304636,0.789474
2513854.292238,0.304636,0.791922
2513871.741345,0.301798,0.780906
2513885.595941,0.301798,0.785802
2513902.821033,0.301798,0.783354
2513917.922886,0.308420,0.783354
2513947.490246,0.312204,0.784578
2513959.313531,0.310312,0.789474
2513972.721435,0.312204,0.790698
2513988.955860,0.315043,0.790698
2514005.107284,0.319773,0.790698
2514019.396078,0.321665,0.791922
2514037.359706,0.319773,0.789474
2514051.880993,0.319773,0.789474
2514063.157627,0.318827,0.787026
2514095.764368,0.317881,0.787026
2514107.788463,0.296121,0.771114
2514124.092949,0.311258,0.783354
2514140.277395,0.309366,0.779682
2514153.165869,0.310312,0.783354
2514170.031286,0.315989,0.778458
2514186.014922,0.313150,0.783354
2514198.766844,0.313150,0.780906
2514215.372992,0.315989,0.780906
2514243.758247,0.315043,0.772338
2514260.240785,0.315043,0.776010
2514283.309913,0.315989,0.771114
2514309.625925,0.316935,0.773562
2514322.779469,0.295175,0.766218
2514335.632243,0.312204,0.773562
2514343.024753,0.308420,0.772338
2514351.505656,0.305582,0.771114
2514365.448163,0.288552,0.766218
2514395.092277,0.288552,0.762546
2514409.896484,0.290445,0.763770
2514423.432015,0.294229,0.766218
2514440.674063,0.290445,0.758874
2514454.497869,0.287606,0.744186
2514468.468489,0.286660,0.706242
2514485.368713,0.288552,0.686659
2514500.270202,0.285714,0.638923
2514513.048453,0.278146,0.593635
2514545.886349,0.274361,0.569155
2514559.163057,0.271523,0.578947
2514574.533997,0.271523,0.582619
2514589.095000,0.281930,0.572827
2514603.130772,0.284768,0.555692
2514619.400897,0.287606,0.553244
2514634.766036,0.286660,0.550796
2514649.189149,0.311258,0.424725
2514665.653391,0.293283,0.428397
2514694.315764,0.272469,0.413709
2514709.026706,0.260170,0.400245
2514724.139270,0.270577,0.386781
2514738.134433,0.281930,0.386781
2514753.729835,0.284768,0.389229
2514771.481050,0.292337,0.394125
2514791.841019,0.307474,0.378213
2514813.562037,0.315989,0.368421
2514825.838708,0.330180,0.359853
2514844.657343,0.375591,0.332925
2514859.157211,0.389782,0.321909
2514874.066733,0.473983,0.266830
2514889.091832,0.480605,0.261934
2514904.347640,0.490066,0.255814
2514920.636507,0.488174,0.257038
2514936.740183,0.486282,0.254590
2514950.993276,0.485336,0.258262
2514963.866578,0.482498,0.263158
2514994.981965,0.481552,0.266830
2515007.084153,0.481552,0.269278
2515024.317724,0.482498,0.265606
2515039.270977,0.487228,0.274174
2515053.782893,0.490066,0.275398
2515070.626444,0.482498,0.272950
2515084.773778,0.488174,0.277846
2515098.603830,0.478713,0.285190
2515115.097079,0.477767,0.286414
2515143.217710,0.467360,0.290086
2515159.088891,0.458846,0.296206
2515175.111796,0.458846,0.297430
2515188.604933,0.459792,0.301102
2515204.643902,0.461684,0.297430
2515219.123243,0.460738,0.297430
2515233.471387,0.461684,0.294982
2515249.607638,0.462630,0.294982
2515264.241380,0.462630,0.292534
2515299.908921,0.462630,0.293758
2515313.334675,0.461684,0.293758
2515326.272236,0.462630,0.299878
2515338.954990,0.459792,0.303550
2515354.535219,0.456954,0.310894
2515369.234113,0.456954,0.302326
2515384.952232,0.458846,0.296206
2515400.067026,0.459792,0.292534
2515413.530265,0.463576,0.285190
2515447.453431,0.464522,0.286414
2515457.991081,0.464522,0.287638
2515474.583396,0.462630,0.290086
2515489.278273,0.463576,0.288862
2515502.280986,0.463576,0.290086
2515519.308390,0.464522,0.290086
2515534.824806,0.470199,0.282742
2515549.886497,0.470199,0.280294
