tstamp,gaze_x,gaze_y
2578995.854822,0.527909,0.288862
2579012.891598,0.531693,0.285190
2579042.573197,0.537370,0.274174
2579056.979353,0.537370,0.277846
2579070.822793,0.530747,0.283966
2579084.938889,0.532640,0.280294
2579100.947960,0.532640,0.276622
2579117.846846,0.535478,0.270502
2579136.113029,0.537370,0.268054
2579152.832523,0.535478,0.277846
2579168.262368,0.535478,0.279070
2579195.113875,0.535478,0.279070
2579206.351239,0.538316,0.279070
2579220.003240,0.537370,0.280294
2579235.791866,0.537370,0.280294
2579250.961995,0.534532,0.283966
2579265.410990,0.533586,0.285190
2579282.675351,0.524125,0.290086
2579298.213633,0.524125,0.292534
2579310.794643,0.523179,0.287638
2579343.632986,0.516556,0.282742
2579355.168442,0.515610,0.282742
2579371.032037,0.516556,0.282742
2579385.675150,0.518448,0.276622
2579400.876516,0.516556,0.282742
2579418.455034,0.518448,0.281518
2579431.968252,0.517502,0.281518
2579446.048203,0.521287,0.279070
2579462.461573,0.521287,0.279070
2579491.717007,0.516556,0.279070
2579505.950020,0.487228,0.268054
2579521.422703,0.499527,0.276622
2579535.330403,0.476821,0.265606
2579551.974036,0.473037,0.263158
2579566.648832,0.467360,0.265606
2579580.370000,0.459792,0.265606
2579597.213105,0.460738,0.266830
2579612.538528,0.459792,0.268054
2579661.172636,0.458846,0.288862
2579675.884917,0.460738,0.293758
2579687.280252,0.459792,0.297430
2579694.699536,0.458846,0.297430
2579704.068022,0.456954,0.298654
2579714.942142,0.457900,0.293758
2579731.277865,0.459792,0.290086
2579746.948236,0.464522,0.287638
2579760.509649,0.466414,0.283966
2579793.567544,0.463576,0.286414
2579805.278821,0.457900,0.298654
2579822.854215,0.460738,0.294982
2579836.045690,0.458846,0.292534
2579849.985966,0.455061,0.294982
2579866.509558,0.458846,0.291310
2579880.876891,0.468307,0.283966
2579898.029691,0.467360,0.283966
2579912.859334,0.435194,0.312118
2579942.909086,0.398297,0.348837
2579956.812323,0.390728,0.359853
2579971.453204,0.333964,0.402693
2579984.142206,0.332072,0.422277
2580000.582351,0.324503,0.418605
2580016.126880,0.328288,0.433293
2580030.923948,0.329234,0.434517
2580048.123157,0.330180,0.438188
2580062.874261,0.333018,0.446756
2580093.346608,0.333964,0.449204
2580106.359138,0.335856,0.451652
2580121.491782,0.333964,0.451652
2580152.227414,0.333018,0.452876
2580161.023813,0.326395,0.455324
2580170.826496,0.328288,0.456548
2580182.577936,0.334910,0.456548
2580197.864535,0.332072,0.458996
2580210.932400,0.330180,0.461444
2580243.467295,0.334910,0.455324
2580254.892082,0.336802,0.450428
2580270.866346,0.332072,0.436965
2580287.365396,0.327342,0.440636
2580301.292283,0.324503,0.447980
2580317.014419,0.329234,0.444308
2580332.421504,0.321665,0.473684
2580346.017278,0.321665,0.477356
2580362.335151,0.321665,0.484700
2580391.092129,0.320719,0.514076
2580406.141325,0.316935,0.504284
2580421.462285,0.320719,0.511628
2580435.527956,0.316935,0.507956
2580452.117593,0.315989,0.509180
2580466.217624,0.315989,0.504284
2580480.417615,0.315989,0.505508
2580497.498569,0.314097,0.503060
2580513.031496,0.312204,0.499388
2580544.826961,0.320719,0.503060
2580558.238882,0.316935,0.504284
2580571.249627,0.317881,0.505508
2580586.983364,0.317881,0.506732
2580603.588620,0.314097,0.515300
2580615.516327,0.357616,0.536108
2580636.215442,0.366131,0.544676
2580654.034487,0.369915,0.548348
2580667.840442,0.371807,0.548348
2580700.603369,0.378430,0.555692
2580711.427063,0.373699,0.556916
2580727.014432,0.364238,0.555692
2580737.507904,0.333964,0.528764
2580751.142055,0.316935,0.518972
2580766.467477,0.312204,0.517748
2580782.447096,0.310312,0.515300
2580797.699335,0.306528,0.515300
2580815.583977,0.302744,0.514076
2580843.649720,0.303690,0.516524
2580856.850566,0.304636,0.517748
2580872.458462,0.305582,0.522644
2580885.752574,0.303690,0.523868
2580902.640303,0.304636,0.525092
2580918.067470,0.304636,0.523868
2580932.611516,0.303690,0.521420
2580948.260913,0.302744,0.518972
2580964.938907,0.305582,0.515300
2580994.230041,0.307474,0.520196
2581006.070729,0.309366,0.516524
2581019.410357,0.310312,0.520196
2581036.511839,0.308420,0.520196
2581052.555717,0.309366,0.518972
2581064.790441,0.308420,0.516524
2581082.384131,0.307474,0.520196
2581099.631535,0.305582,0.522644
2581112.612381,0.298959,0.533660
2581144.806345,0.298959,0.534884
2581163.163562,0.300851,0.532436
2581176.646435,0.305582,0.523868
2581201.016370,0.288552,0.482252
2581210.891791,0.299905,0.493268
2581222.918118,0.302744,0.507956
2581235.988214,0.303690,0.511628
2581246.738723,0.302744,0.512852
2581264.472535,0.302744,0.514076
2581292.929189,0.302744,0.532436
2581308.690594,0.298959,0.533660
2581322.527787,0.309366,0.539780
2581336.042790,0.356670,0.559364
2581353.174169,0.387890,0.577723
2581366.917650,0.420057,0.616891
2581380.412126,0.424787,0.624235
2581397.724681,0.423841,0.626683
2581413.454403,0.428571,0.624235
2581444.559973,0.436140,0.638923
2581460.365556,0.436140,0.630355
2581470.313269,0.438032,0.618115
2581489.171174,0.440870,0.619339
2581502.098471,0.442763,0.623011
2581514.592464,0.456954,0.635251
2581532.969316,0.458846,0.638923
2581548.180946,0.459792,0.641371
2581561.877571,0.465468,0.646267
2581595.476762,0.468307,0.648715
2581607.791810,0.469253,0.647491
2581621.966365,0.470199,0.648715
2581638.885331,0.477767,0.648715
2581650.939325,0.484390,0.654835
2581670.693738,0.485336,0.654835
2581686.323947,0.480605,0.653611
2581700.070998,0.476821,0.653611
2581718.296126,0.476821,0.654835
2581744.490760,0.476821,0.653611
2581756.492097,0.475875,0.654835
2581772.474393,0.474929,0.657283
2581785.098690,0.473983,0.660955
2581801.790517,0.473983,0.659731
2581818.818368,0.474929,0.656059
2581830.439503,0.474929,0.651163
2581848.788242,0.474929,0.649939
2581863.164499,0.473983,0.648715
2581895.637813,0.473037,0.647491
2581908.382595,0.470199,0.651163
2581920.070667,0.466414,0.657283
2581937.282818,0.466414,0.656059
2581953.643085,0.461684,0.654835
2581965.000489,0.463576,0.653611
2581982.535721,0.465468,0.653611
2582000.952735,0.470199,0.653611
2582013.056262,0.471145,0.653611
2582044.974446,0.473983,0.653611
2582055.133680,0.473983,0.652387
2582072.403842,0.472091,0.652387
2582086.577058,0.473037,0.652387
2582101.331285,0.469253,0.652387
2582117.047619,0.469253,0.652387
2582134.081717,0.462630,0.651163
2582147.143335,0.459792,0.649939
2582162.934638,0.457900,0.649939
2582197.591432,0.454115,0.648715
2582216.447106,0.456954,0.646267
2582234.597265,0.453169,0.643819
2582246.711502,0.453169,0.645043
2582259.971253,0.455061,0.646267
