tstamp,gaze_x,gaze_y
3383136.245564,0.482498,0.465116
3383148.154528,0.483444,0.463892
3383165.271628,0.483444,0.463892
3383180.284678,0.483444,0.463892
3383193.923291,0.483444,0.461444
3383209.184901,0.484390,0.460220
3383232.561492,0.489120,0.463892
3383252.115540,0.490066,0.461444
3383265.043284,0.490066,0.454100
3383286.230592,0.491012,0.456548
3383299.490343,0.488174,0.454100
3383314.891627,0.486282,0.455324
3383328.922044,0.476821,0.456548
3383345.038661,0.478713,0.458996
3383360.102583,0.479659,0.458996
3383373.603752,0.481552,0.465116
3383391.305881,0.481552,0.465116
3383404.342954,0.482498,0.465116
3383435.535988,0.488174,0.466340
3383449.276792,0.499527,0.458996
3383464.056009,0.632923,0.427173
3383481.099925,0.684957,0.412485
3383496.217397,0.803217,0.454100
3383511.534341,0.799432,0.427173
3383524.958309,0.798486,0.425949
3383539.471565,0.807001,0.440636
3383553.152125,0.795648,0.419829
3383585.181870,0.787133,0.407589
3383598.786122,0.779565,0.395349
3383615.800585,0.784295,0.402693
3383631.925234,0.786187,0.402693
3383646.018126,0.787133,0.394125
3383660.722820,0.786187,0.395349
3383674.133402,0.785241,0.395349
3383688.695744,0.784295,0.396573
3383704.196987,0.783349,0.396573
3383740.639212,0.780511,0.395349
3383757.230187,0.780511,0.395349
3383771.468109,0.780511,0.394125
3383783.230258,0.779565,0.391677
3383796.522584,0.778619,0.392901
3383809.642660,0.778619,0.392901
3383823.423179,0.776727,0.400245
3383838.909250,0.776727,0.401469
3383853.961124,0.776727,0.399021
3383885.728923,0.782403,0.394125
3383899.824938,0.781457,0.395349
3383914.151216,0.780511,0.388005
3383929.937164,0.781457,0.390453
3383945.179585,0.784295,0.390453
3383957.784246,0.786187,0.388005
3383973.709423,0.786187,0.384333
3383988.780040,0.786187,0.384333
3384002.958610,0.782403,0.383109
3384035.878170,0.783349,0.381885
3384048.033461,0.781457,0.383109
3384064.956890,0.782403,0.383109
3384079.954769,0.782403,0.381885
3384094.416259,0.782403,0.380661
3384110.635066,0.780511,0.378213
3384124.500818,0.778619,0.380661
3384138.598172,0.779565,0.381885
3384155.093205,0.776727,0.381885
3384183.875173,0.771050,0.363525
3384198.603072,0.769158,0.354957
3384214.689790,0.578051,0.381885
3384228.671566,0.561022,0.383109
3384250.850433,0.495743,0.372093
3384268.684204,0.505203,0.374541
3384280.118362,0.507096,0.375765
3384294.248738,0.475875,0.357405
3384308.525483,0.490066,0.384333
3384335.472934,0.488174,0.391677
3384348.806315,0.489120,0.381885
3384363.946099,0.486282,0.384333
3384380.943159,0.487228,0.381885
3384397.505575,0.489120,0.384333
3384408.604602,0.491958,0.395349
3384426.664620,0.491958,0.397797
3384439.475001,0.492904,0.397797
3384453.296128,0.492904,0.399021
3384484.600277,0.491012,0.391677
3384499.985051,0.490066,0.391677
3384515.995461,0.487228,0.391677
3384532.802420,0.487228,0.391677
3384544.652479,0.485336,0.390453
3384560.454939,0.486282,0.391677
3384574.184140,0.485336,0.389229
3384588.007052,0.485336,0.389229
3384604.304399,0.484390,0.391677
3384634.174760,0.483444,0.389229
3384649.871013,0.480605,0.386781
3384665.350390,0.479659,0.386781
3384679.012208,0.482498,0.389229
3384696.004359,0.482498,0.389229
3384710.149015,0.484390,0.389229
3384723.259719,0.484390,0.391677
3384744.012384,0.484390,0.392901
3384772.068310,0.483444,0.394125
3384789.209060,0.478713,0.395349
3384800.055067,0.477767,0.394125
3384813.569177,0.479659,0.390453
3384829.941046,0.480605,0.391677
3384845.544480,0.481552,0.392901
