tstamp,gaze_x,gaze_y
3395179.182897,0.466414,0.376989
3395195.134849,0.467360,0.376989
3395209.041656,0.464522,0.375765
3395226.140013,0.463576,0.372093
3395240.211039,0.461684,0.373317
3395252.563571,0.459792,0.370869
3395286.205156,0.460738,0.370869
3395304.754705,0.460738,0.363525
3395318.671776,0.460738,0.367197
3395344.830710,0.456954,0.361077
3395361.940670,0.456008,0.367197
3395376.082648,0.373699,0.358629
3395387.467273,0.350993,0.357405
3395433.933519,0.240303,0.341493
3395478.020382,0.242195,0.339045
3395494.942026,0.242195,0.339045
3395510.208098,0.247871,0.337821
3395523.956041,0.251656,0.339045
3395539.864261,0.255440,0.350061
3395553.951797,0.255440,0.341493
3395584.658870,0.240303,0.319461
3395599.022632,0.235572,0.313341
3395613.629153,0.237465,0.314565
3395629.858223,0.235572,0.318237
3395644.647258,0.243141,0.324357
3395658.645992,0.247871,0.329253
3395675.258388,0.241249,0.323133
3395689.703367,0.242195,0.326805
3395702.604336,0.243141,0.332925
3395735.106655,0.232734,0.348837
3395748.262430,0.228950,0.346389
3395764.301400,0.210974,0.348837
3395807.480152,0.226112,0.347613
3395812.723988,0.221381,0.347613
3395825.289379,0.214759,0.350061
3395838.051119,0.212867,0.350061
3395853.757636,0.209082,0.345165
3395884.066210,0.208136,0.347613
3395898.625429,0.202460,0.343941
3395913.812961,0.200568,0.340269
3395927.608207,0.200568,0.340269
3395943.604337,0.200568,0.337821
3395959.521482,0.200568,0.341493
3395974.780414,0.202460,0.353733
3395991.285264,0.203406,0.353733
3396004.404893,0.204352,0.353733
3396034.818336,0.205298,0.359853
3396048.710863,0.206244,0.357405
3396062.439171,0.207190,0.356181
3396078.739641,0.210974,0.353733
3396096.551099,0.210974,0.353733
3396109.661804,0.211921,0.350061
3396127.334926,0.210028,0.348837
3396141.391671,0.209082,0.348837
3396153.066356,0.207190,0.350061
3396184.425840,0.207190,0.348837
3396197.677558,0.205298,0.351285
3396213.676366,0.209082,0.347613
3396228.996879,0.214759,0.348837
3396244.362910,0.223273,0.354957
3396261.373357,0.222327,0.356181
3396285.382279,0.216651,0.350061
3396303.043352,0.220435,0.356181
3396364.138431,0.238411,0.362301
3396378.258990,0.241249,0.358629
3396395.625095,0.585620,0.361077
3396409.459163,0.771050,0.367197
3396423.691730,0.771050,0.368421
3396439.246969,0.785241,0.383109
3396453.770934,0.782403,0.369645
3396484.364213,0.781457,0.347613
3396499.201889,0.778619,0.334149
3396512.480828,0.779565,0.328029
3396528.696511,0.778619,0.321909
3396543.660028,0.778619,0.320685
3396557.909106,0.778619,0.320685
3396574.827180,0.784295,0.325581
3396588.583602,0.783349,0.324357
3396602.305217,0.786187,0.325581
3396635.115000,0.787133,0.326805
3396650.453810,0.786187,0.328029
3396663.792099,0.788079,0.332925
3396678.757848,0.789026,0.336597
3396693.351873,0.789026,0.341493
3396709.372993,0.789026,0.342717
3396724.283407,0.787133,0.341493
3396737.867578,0.787133,0.341493
3396754.367966,0.787133,0.342717
3396787.357586,0.784295,0.336597
3396807.496663,0.783349,0.332925
3396815.474647,0.783349,0.326805
3396828.106083,0.782403,0.328029
3396845.362858,0.782403,0.328029
3396859.643619,0.783349,0.331701
3396874.342066,0.788079,0.342717
3396891.911659,0.789026,0.342717
3396903.878635,0.789026,0.341493
3396934.798121,0.791864,0.334149
3396948.373813,0.791864,0.329253
3396961.939242,0.790918,0.326805
3396978.690866,0.794702,0.318237
3396994.784724,0.793756,0.314565
3397010.835296,0.793756,0.315789
3397027.126841,0.790918,0.318237
3397040.183550,0.790918,0.323133
3397052.547685,0.791864,0.325581
3397084.705949,0.791864,0.334149
3397096.729598,0.790918,0.334149
