tstamp,gaze_x,gaze_y
3525433.097701,0.567644,0.493268
3525449.258942,0.569536,0.492044
3525477.736569,0.583728,0.501836
3525494.056674,0.578051,0.493268
3525508.645345,0.526017,0.460220
3525521.835034,0.487228,0.441860
3525541.795167,0.443709,0.421053
3525555.169602,0.410596,0.407589
3525566.829115,0.389782,0.399021
3525583.114859,0.368969,0.396573
3525599.277885,0.349101,0.399021
3525631.580732,0.378430,0.445532
3525643.613307,0.343425,0.413709
3525656.589244,0.353832,0.439412
3525673.143628,0.350993,0.443084
3525688.147308,0.363292,0.454100
3525702.621739,0.358562,0.457772
3525719.002533,0.361400,0.444308
3525736.863525,0.359508,0.441860
3525750.710535,0.350047,0.429621
3525781.387262,0.354778,0.432069
3525790.916843,0.352886,0.428397
3525807.948710,0.354778,0.424725
3525822.979611,0.350993,0.422277
3525836.698102,0.347209,0.402693
3525853.275690,0.341533,0.380661
3525869.637742,0.337748,0.375765
3525882.315588,0.337748,0.375765
3525899.732119,0.334910,0.384333
3525927.371250,0.331126,0.367197
3525942.920242,0.332072,0.359853
3525957.633415,0.334910,0.341493
3525972.399245,0.334910,0.337821
3525988.185640,0.331126,0.329253
3526004.891747,0.325449,0.329253
3526044.347470,0.325449,0.329253
3526055.033721,0.325449,0.320685
3526079.584831,0.328288,0.320685
3526094.430093,0.326395,0.319461
3526106.918730,0.329234,0.342717
3526123.067030,0.325449,0.353733
3526138.656630,0.323557,0.361077
3526151.580358,0.322611,0.364749
3526168.081638,0.323557,0.358629
3526183.686857,0.324503,0.356181
3526197.414719,0.337748,0.365973
3526228.202115,0.454115,0.384333
3526241.942026,0.465468,0.372093
3526258.693651,0.500473,0.384333
3526273.565688,0.571429,0.406365
3526286.570632,0.755913,0.479804
3526303.161161,0.815516,0.509180
3526317.889507,0.859981,0.527540
3526332.078341,0.854305,0.521420
3526348.891994,0.848628,0.517748
3526377.884143,0.840114,0.509180
3526392.668269,0.846736,0.515300
3526407.816978,0.856197,0.501836
3526421.151698,0.856197,0.492044
3526438.130908,0.850520,0.484700
3526452.952965,0.858089,0.479804
3526466.481356,0.854305,0.489596
3526483.693952,0.867550,0.516524
3526533.442336,0.863765,0.520196
3526545.277670,0.870388,0.527540
3526557.469554,0.875118,0.521420
3526572.447797,0.861873,0.511628
3526587.488515,0.837275,0.489596
3526601.674225,0.817408,0.476132
3526618.960452,0.793756,0.467564
3526637.027610,0.807001,0.493268
3526649.550162,0.746452,0.505508
3526680.796745,0.668874,0.515300
3526691.708350,0.412488,0.510404
3526708.401962,0.393567,0.521420
3526722.617125,0.376537,0.507956
3526737.282996,0.383160,0.512852
3526753.197017,0.383160,0.506732
3526769.079355,0.387890,0.504284
3526782.299835,0.386944,0.503060
3526799.741356,0.385052,0.500612
3526827.203774,0.375591,0.487148
3526843.118241,0.376537,0.487148
3526857.602490,0.374645,0.493268
3526871.704753,0.374645,0.489596
3526888.576418,0.373699,0.490820
3526903.830887,0.373699,0.490820
3526917.183010,0.371807,0.487148
3526934.003357,0.372753,0.487148
3526948.970890,0.362346,0.483476
3526980.160354,0.334910,0.476132
3526992.406680,0.331126,0.472460
3527014.873822,0.311258,0.456548
3527037.404777,0.310312,0.456548
3527050.639091,0.295175,0.424725
3527057.411319,0.293283,0.422277
3527069.009696,0.295175,0.425949
3527083.839785,0.293283,0.425949
3527097.369961,0.293283,0.422277
3527128.518370,0.290445,0.414933
3527141.895483,0.292337,0.421053
3527158.453437,0.292337,0.432069
3527173.288881,0.291391,0.441860
3527186.821288,0.293283,0.445532
3527203.260540,0.293283,0.444308
3527217.819759,0.292337,0.445532
3527231.915328,0.293283,0.449204
3527249.443866,0.293283,0.456548
3527279.984042,0.296121,0.462668
3527293.755190,0.298959,0.461444
3527308.288973,0.299905,0.461444
3527321.492496,0.299905,0.458996
3527337.903189,0.302744,0.454100
3527353.134007,0.309366,0.427173
3527367.298298,0.309366,0.427173
3527385.248539,0.312204,0.425949
3527399.909055,0.312204,0.428397
3527431.014625,0.311258,0.429621
3527442.957504,0.311258,0.454100
3527456.966501,0.304636,0.455324
3527473.424495,0.298013,0.449204
3527487.117551,0.299905,0.451652
