tstamp,mouse_x,mouse_y
1429984137743,0.466414,0.621787
1429984137825,0.46736,0.621787
1429984137915,0.465468,0.620563
1429984138015,0.461684,0.621787
1429984138095,0.459792,0.623011
1429984138188,0.454115,0.624235
1429984138297,0.450331,0.624235
1429984138381,0.448439,0.625459
1429984138467,0.446547,0.625459
1429984138556,0.444655,0.627907
1429984138652,0.438978,0.642595
1429984138746,0.429518,0.671971
1429984138824,0.424787,0.692778
1429984138896,0.419111,0.711138
1429984138993,0.410596,0.73317
1429984139083,0.403974,0.74541
1429984139181,0.402081,0.74541
1429984139299,0.403027,0.74541
1429984139392,0.403027,0.746634
1429984139489,0.403027,0.742962
1429984139579,0.402081,0.736842
1429984139646,0.401135,0.731946
1429984139727,0.401135,0.725826
1429984139827,0.403027,0.711138
1429984139920,0.40492,0.689106
1429984140014,0.406812,0.651163
1429984140080,0.405866,0.620563
1429984140157,0.405866,0.586291
1429984140254,0.405866,0.536108
1429984140352,0.40492,0.488372
1429984140456,0.403974,0.443084
1429984140529,0.402081,0.416157
1429984140624,0.399243,0.383109
1429984140714,0.392621,0.359853
1429984140814,0.385052,0.342717
1429984140938,0.380322,0.330477
1429984140990,0.376537,0.326805
1429984141088,0.373699,0.323133
1429984141185,0.371807,0.321909
1429984141277,0.372753,0.323133
1429984141358,0.373699,0.325581
1429984141458,0.375591,0.328029
1429984141549,0.37843,0.332925
1429984141645,0.394513,0.340269
1429984141762,0.443709,0.350061
1429984141854,0.506149,0.364749
1429984141967,0.556291,0.374541
1429984142043,0.59035,0.379437
1429984142110,0.607379,0.380661
1429984142191,0.620624,0.380661
1429984142283,0.637654,0.383109
1429984142381,0.652791,0.388005
1429984142483,0.659413,0.390453
1429984142545,0.657521,0.391677
1429984142653,0.657521,0.396573
1429984142750,0.657521,0.401469
1429984142843,0.659413,0.405141
1429984142942,0.664144,0.410037
1429984143027,0.666982,0.412485
1429984143114,0.668874,0.414933
1429984143212,0.672658,0.418605
1429984143278,0.673605,0.421053
1429984143371,0.670766,0.422277
1429984143451,0.664144,0.421053
1429984143554,0.642384,0.421053
1429984143644,0.610218,0.425949
1429984143741,0.571429,0.440636
1429984143823,0.546831,0.455324
1429984143915,0.512772,0.479804
1429984143980,0.497635,0.495716
1429984144083,0.486282,0.520196
1429984144178,0.477767,0.541004
1429984144253,0.473037,0.554468
1429984144349,0.465468,0.570379
1429984144449,0.456954,0.582619
1429984144525,0.450331,0.588739
1429984144612,0.434248,0.591187
1429984144689,0.416272,0.589963
1429984144779,0.391675,0.586291
1429984144879,0.384106,0.583843
1429984144977,0.385052,0.582619
1429984145049,0.385998,0.583843
1429984145148,0.386944,0.583843
1429984145230,0.390728,0.583843
1429984145309,0.395459,0.583843
