tstamp,mouse_x,mouse_y
1429984165888,0.543992,0.636475
1429984165980,0.543992,0.634027
1429984166059,0.543046,0.632803
1429984166158,0.540208,0.632803
1429984166365,0.549669,0.636475
1429984166466,0.577105,0.643819
1429984166556,0.609272,0.651163
1429984166655,0.630085,0.651163
1429984166753,0.633869,0.648715
1429984166859,0.634816,0.647491
1429984166929,0.636708,0.646267
1429984167024,0.6386,0.642595
1429984167083,0.641438,0.637699
1429984167180,0.649953,0.632803
1429984167289,0.654683,0.627907
1429984167388,0.653737,0.626683
1429984167469,0.651845,0.626683
1429984167552,0.649007,0.626683
1429984167642,0.647114,0.624235
1429984167725,0.644276,0.614443
1429984167818,0.635762,0.583843
1429984167916,0.629139,0.547124
1429984168016,0.624409,0.512852
1429984168098,0.622517,0.494492
1429984168188,0.62157,0.471236
1429984168255,0.620624,0.461444
1429984168350,0.620624,0.451652
1429984168444,0.618732,0.444308
1429984168531,0.615894,0.439412
1429984168623,0.61211,0.436965
1429984168715,0.608325,0.436965
1429984168814,0.607379,0.436965
1429984168922,0.614002,0.434517
1429984168987,0.629139,0.433293
1429984169087,0.655629,0.433293
1429984169183,0.677389,0.434517
1429984169274,0.692526,0.435741
1429984169357,0.700095,0.436965
1429984169456,0.703879,0.435741
1429984169517,0.701041,0.434517
1429984169617,0.697256,0.429621
1429984169713,0.692526,0.425949
1429984169786,0.688742,0.421053
1429984169886,0.684957,0.414933
1429984169984,0.681173,0.410037
