tstamp,mouse_x,mouse_y
1429984352878,0.243141,0.293758
1429984352946,0.245033,0.296206
1429984353040,0.246925,0.294982
1429984353130,0.245033,0.294982
1429984353228,0.243141,0.294982
1429984353310,0.244087,0.294982
1429984353413,0.244087,0.296206
1429984353501,0.245033,0.301102
1429984353600,0.254494,0.305998
1429984353710,0.284768,0.326805
1429984353807,0.332072,0.354957
1429984353898,0.380322,0.391677
1429984353998,0.426679,0.427173
1429984354110,0.488174,0.46022
1429984354203,0.565752,0.482252
1429984354269,0.610218,0.488372
1429984354364,0.649953,0.49082
1429984354471,0.66982,0.487148
1429984354542,0.682119,0.487148
1429984354638,0.705771,0.49082
1429984354731,0.730369,0.499388
1429984354829,0.751183,0.514076
1429984354893,0.762535,0.52142
1429984354994,0.773888,0.526316
1429984355072,0.788079,0.529988
1429984355164,0.79281,0.534884
1429984355260,0.789026,0.537332
1429984355339,0.786187,0.538556
1429984355408,0.782403,0.538556
1429984355561,0.776727,0.538556
1429984355625,0.769158,0.53978
1429984355694,0.761589,0.542228
1429984355777,0.754021,0.543452
1429984355867,0.736991,0.548348
1429984355968,0.706717,0.566707
1429984356058,0.668874,0.594859
1429984356135,0.641438,0.609547
1429984356206,0.609272,0.619339
1429984356304,0.562914,0.634027
1429984356395,0.53264,0.647491
1429984356494,0.519395,0.658507
1429984356574,0.514664,0.663403
1429984356645,0.509934,0.670747
1429984356733,0.503311,0.682987
1429984356829,0.501419,0.694002
1429984356924,0.501419,0.705018
1429984357007,0.501419,0.711138
1429984357104,0.498581,0.717258
1429984357176,0.497635,0.717258
1429984357259,0.496689,0.716034
1429984357408,0.497635,0.716034
1429984357497,0.499527,0.712362
1429984357598,0.508988,0.691554
1429984357700,0.526017,0.660955
1429984357805,0.541154,0.630355
1429984357902,0.561022,0.591187
1429984357995,0.588458,0.534884
1429984358059,0.608325,0.499388
1429984358157,0.632923,0.443084
1429984358242,0.644276,0.406365
1429984358331,0.656575,0.359853
1429984358428,0.664144,0.331701
1429984358523,0.664144,0.318237
1429984358590,0.66036,0.313341
1429984358668,0.656575,0.313341
1429984358772,0.654683,0.315789
1429984358860,0.653737,0.318237
1429984358958,0.653737,0.314565
1429984359067,0.654683,0.312118
1429984359163,0.655629,0.312118
