tstamp,mouse_x,mouse_y
1429984428187,0.474929,0.764994
1429984428287,0.464522,0.779682
1429984428384,0.456008,0.791922
1429984428474,0.446547,0.809058
1429984428544,0.438978,0.822521
1429984428621,0.434248,0.834761
1429984428716,0.433302,0.839657
1429984428813,0.435194,0.840881
1429984428911,0.435194,0.839657
1429984429039,0.43614,0.835985
1429984429124,0.438032,0.828641
1429984429216,0.437086,0.824969
1429984429306,0.425733,0.823745
1429984429421,0.410596,0.822521
1429984429521,0.401135,0.822521
1429984429592,0.398297,0.823745
1429984429677,0.392621,0.823745
1429984429770,0.379376,0.818849
1429984429852,0.368023,0.816401
1429984429950,0.348155,0.813953
1429984430043,0.333018,0.812729
1429984430152,0.328288,0.811505
1429984430252,0.328288,0.810282
1429984430348,0.333018,0.810282
1429984430412,0.337748,0.809058
1429984430510,0.343425,0.804162
1429984430602,0.351939,0.785802
1429984430687,0.360454,0.758874
1429984430784,0.372753,0.701346
1429984430873,0.382214,0.634027
1429984430972,0.391675,0.566707
1429984431036,0.398297,0.520196
1429984431120,0.405866,0.473684
1429984431216,0.421949,0.417381
1429984431309,0.437086,0.384333
1429984431401,0.449385,0.365973
1429984431484,0.456008,0.358629
1429984431551,0.460738,0.354957
1429984431648,0.464522,0.350061
1429984431717,0.464522,0.346389
1429984431803,0.461684,0.339045
1429984431886,0.460738,0.329253
1429984431979,0.461684,0.313341
1429984432079,0.464522,0.302326
1429984432173,0.46736,0.29743
