tstamp,mouse_x,mouse_y
1429984561730,0.267739,0.823745
1429984561804,0.268685,0.824969
1429984561887,0.272469,0.823745
1429984561969,0.274361,0.821297
1429984562060,0.282876,0.815178
1429984562128,0.293283,0.809058
1429984562223,0.31315,0.798042
1429984562313,0.333964,0.779682
1429984562399,0.349101,0.764994
1429984562496,0.371807,0.73929
1429984562588,0.389782,0.711138
1429984562685,0.403027,0.674419
1429984562770,0.40965,0.645043
1429984562826,0.41438,0.615667
1429984562926,0.421003,0.571603
1429984563023,0.428571,0.523868
1429984563114,0.437086,0.473684
1429984563196,0.443709,0.444308
1429984563295,0.454115,0.406365
1429984563364,0.459792,0.383109
1429984563435,0.46263,0.365973
1429984563518,0.465468,0.348837
1429984563595,0.466414,0.341493
1429984563692,0.468307,0.331701
1429984563791,0.466414,0.324357
1429984563882,0.464522,0.320685
1429984563951,0.461684,0.317013
1429984564028,0.4579,0.312118
1429984564128,0.453169,0.301102
1429984564219,0.450331,0.296206
1429984564318,0.448439,0.301102
1429984564399,0.447493,0.30355
1429984564493,0.445601,0.30355
1429984564560,0.441816,0.299878
1429984564657,0.430464,0.28519
1429984564747,0.408704,0.258262
1429984564829,0.389782,0.244798
1429984564936,0.35667,0.231334
1429984565021,0.326395,0.214198
1429984565087,0.311258,0.204406
1429984565184,0.297067,0.190942
1429984565259,0.291391,0.184823
1429984565325,0.287606,0.182375
1429984565423,0.28666,0.179927
1429984565522,0.289499,0.179927
1429984565627,0.294229,0.182375
1429984565727,0.297067,0.189718
1429984565794,0.298959,0.19951
1429984565887,0.307474,0.228886
1429984565983,0.319773,0.282742
1429984566060,0.33018,0.324357
1429984566158,0.350993,0.388005
1429984566255,0.368023,0.443084
1429984566346,0.377483,0.47858
1429984566460,0.382214,0.49694
1429984566529,0.384106,0.50306
1429984566626,0.384106,0.507956
1429984566718,0.381268,0.5153
1429984566818,0.379376,0.523868
1429984566890,0.377483,0.543452
1429984566989,0.371807,0.559364
1429984567059,0.368023,0.567931
1429984567155,0.360454,0.574051
1429984567243,0.349101,0.575275
1429984567326,0.343425,0.575275
1429984567426,0.341533,0.572827
1429984567517,0.340587,0.569155
1429984567603,0.341533,0.567931
1429984567704,0.342479,0.566707
1429984567791,0.346263,0.565483
1429984567888,0.352886,0.565483
1429984567979,0.353832,0.564259
1429984568076,0.351939,0.564259
1429984568167,0.350993,0.565483
1429984568259,0.347209,0.571603
1429984568350,0.340587,0.577723
1429984568447,0.333964,0.582619
1429984568524,0.332072,0.583843
1429984568621,0.332072,0.580171
1429984568722,0.332072,0.566707
1429984568810,0.33491,0.553244
1429984568924,0.345317,0.541004
1429984568991,0.355724,0.53366
1429984569083,0.382214,0.531212
1429984569182,0.417219,0.537332
1429984569281,0.453169,0.55202
1429984569356,0.475875,0.560588
1429984569455,0.506149,0.567931
1429984569552,0.530747,0.571603
1429984569612,0.543046,0.574051
1429984569709,0.557237,0.577723
1429984569793,0.56386,0.582619
1429984569883,0.571429,0.594859
1429984569982,0.582781,0.618115
1429984570078,0.59508,0.653611
1429984570155,0.602649,0.675643
1429984570221,0.611164,0.69645
1429984570319,0.620624,0.728274
1429984570410,0.627247,0.756426
1429984570507,0.632923,0.780906
1429984570589,0.636708,0.795594
1429984570684,0.6386,0.817625
1429984570792,0.639546,0.833537
1429984570877,0.639546,0.840881
1429984571085,0.639546,0.839657
