tstamp,mouse_x,mouse_y
1429984628542,0.755913,0.572827
1429984628620,0.756859,0.572827
1429984628718,0.757805,0.572827
1429984628814,0.756859,0.576499
1429984628907,0.752129,0.577723
1429984628974,0.745506,0.578947
1429984629054,0.734153,0.578947
1429984629154,0.707663,0.580171
1429984629244,0.680227,0.580171
1429984629341,0.657521,0.580171
1429984629420,0.647114,0.580171
1429984629495,0.640492,0.580171
1429984629584,0.631977,0.581395
1429984629674,0.629139,0.582619
1429984629773,0.626301,0.580171
1429984629855,0.618732,0.576499
1429984629953,0.592242,0.567931
1429984630021,0.567644,0.563035
1429984630108,0.526017,0.560588
1429984630173,0.498581,0.560588
1429984630258,0.473983,0.559364
1429984630350,0.443709,0.560588
1429984630447,0.421949,0.565483
1429984630517,0.411542,0.569155
1429984630606,0.402081,0.578947
1429984630687,0.397351,0.586291
1429984630784,0.389782,0.592411
1429984630875,0.384106,0.594859
1429984630973,0.381268,0.596083
1429984631049,0.380322,0.593635
1429984631165,0.377483,0.589963
1429984631245,0.348155,0.576499
1429984631338,0.312204,0.572827
1429984631404,0.297067,0.569155
1429984631490,0.293283,0.570379
1429984631589,0.299905,0.570379
1429984631674,0.309366,0.569155
1429984631773,0.321665,0.564259
1429984631873,0.332072,0.560588
1429984631947,0.336802,0.559364
1429984632014,0.33964,0.55814
1429984632117,0.343425,0.55814
1429984632203,0.350993,0.561812
1429984632319,0.372753,0.570379
1429984632411,0.421949,0.587515
1429984632507,0.48439,0.616891
1429984632604,0.53737,0.653611
1429984632673,0.55913,0.680539
1429984632749,0.576159,0.706242
1429984632845,0.59508,0.741738
1429984632945,0.606433,0.768666
1429984633037,0.609272,0.790698
1429984633152,0.611164,0.809058
1429984633252,0.618732,0.823745
1429984633340,0.634816,0.829865
1429984633438,0.655629,0.834761
1429984633548,0.663198,0.837209
1429984633647,0.666982,0.834761
1429984633730,0.667928,0.833537
1429984633803,0.666982,0.829865
1429984633900,0.664144,0.826193
