tstamp,mouse_x,mouse_y
1429984798393,0.655629,0.678091
1429984798479,0.661306,0.679315
1429984798560,0.662252,0.680539
1429984798650,0.663198,0.679315
1429984798717,0.664144,0.675643
1429984798816,0.663198,0.663403
1429984798916,0.659413,0.640147
1429984798987,0.654683,0.615667
1429984799086,0.649953,0.575275
1429984799180,0.646168,0.531212
1429984799245,0.644276,0.501836
1429984799340,0.64333,0.452876
1429984799427,0.644276,0.417381
1429984799516,0.646168,0.367197
1429984799615,0.648061,0.334149
1429984799706,0.649953,0.324357
1429984799818,0.653737,0.326805
1429984799918,0.66036,0.325581
1429984799988,0.664144,0.325581
1429984800077,0.667928,0.323133
1429984800176,0.66982,0.312118
1429984800250,0.668874,0.304774
1429984800348,0.664144,0.296206
1429984800415,0.66036,0.296206
1429984800515,0.652791,0.299878
1429984800619,0.631031,0.305998
1429984800717,0.584674,0.30967
1429984800812,0.525071,0.302326
1429984800911,0.470199,0.277846
1429984800992,0.445601,0.253366
1429984801082,0.425733,0.228886
1429984801148,0.417219,0.225214
1429984801246,0.40965,0.228886
1429984801339,0.397351,0.231334
1429984801451,0.379376,0.23623
1429984801552,0.35667,0.235006
1429984801645,0.333964,0.226438
1429984801711,0.314097,0.21787
1429984801809,0.28193,0.210526
1429984801883,0.265847,0.210526
1429984801983,0.256386,0.209302
1429984802082,0.258278,0.209302
1429984802170,0.262062,0.210526
1429984802286,0.264901,0.214198
1429984802384,0.269631,0.215422
1429984802477,0.274361,0.216646
1429984802559,0.2772,0.21787
1429984802641,0.289499,0.226438
1429984802716,0.305582,0.241126
1429984802816,0.349101,0.286414
1429984802912,0.407758,0.351285
1429984803003,0.461684,0.410037
1429984803089,0.48439,0.443084
1429984803184,0.502365,0.4847
1429984803276,0.51088,0.517748
1429984803375,0.516556,0.547124
1429984803474,0.521287,0.581395
1429984803546,0.523179,0.603427
1429984803618,0.524125,0.623011
1429984803713,0.521287,0.647491
1429984803803,0.517502,0.663403
1429984803917,0.512772,0.678091
1429984804016,0.504257,0.695226
1429984804109,0.496689,0.713586
1429984804194,0.494797,0.723378
