tstamp,mouse_x,mouse_y
1429984955596,0.543992,0.607099
1429984955696,0.547777,0.605875
1429984955777,0.548723,0.604651
1429984955866,0.548723,0.600979
1429984955933,0.543046,0.594859
1429984956030,0.525071,0.578947
1429984956123,0.494797,0.559364
1429984956207,0.470199,0.541004
1429984956302,0.432356,0.511628
1429984956396,0.395459,0.481028
1429984956493,0.365184,0.455324
1429984956557,0.350993,0.440636
1429984956665,0.335856,0.424725
1429984956766,0.326395,0.417381
1429984956864,0.316935,0.405141
1429984956955,0.30842,0.389229
1429984957037,0.301798,0.381885
1429984957134,0.292337,0.376989
1429984957205,0.289499,0.374541
1429984957304,0.283822,0.379437
1429984957409,0.282876,0.383109
1429984957497,0.285714,0.380661
1429984957598,0.298013,0.390453
1429984957663,0.312204,0.399021
1429984957765,0.337748,0.412485
1429984957868,0.355724,0.427173
1429984957967,0.369915,0.444308
1429984958061,0.389782,0.465116
1429984958159,0.410596,0.4847
1429984958241,0.418165,0.494492
1429984958316,0.421949,0.50306
1429984958398,0.427625,0.512852
1429984958497,0.435194,0.520196
1429984958586,0.438978,0.518972
1429984958668,0.441816,0.5153
1429984958766,0.454115,0.50918
1429984958843,0.470199,0.50306
1429984958926,0.506149,0.494492
1429984958991,0.535478,0.489596
1429984959100,0.58562,0.479804
1429984959199,0.630085,0.471236
1429984959297,0.663198,0.462668
1429984959379,0.680227,0.456548
1429984959468,0.697256,0.445532
1429984959567,0.709555,0.435741
1429984959661,0.723746,0.427173
1429984959757,0.745506,0.419829
1429984959856,0.77105,0.416157
1429984959943,0.785241,0.414933
1429984960032,0.802271,0.408813
1429984960127,0.815516,0.400245
1429984960218,0.825922,0.392901
1429984960300,0.827815,0.389229
1429984960398,0.823084,0.389229
1429984960502,0.812677,0.392901
1429984960590,0.799432,0.397797
1429984960690,0.767266,0.402693
1429984960763,0.734153,0.405141
1429984960831,0.694418,0.406365
1429984960928,0.629139,0.405141
1429984961030,0.577105,0.399021
1429984961132,0.53737,0.392901
1429984961233,0.503311,0.386781
1429984961324,0.470199,0.385557
1429984961421,0.44087,0.385557
1429984961542,0.416272,0.388005
1429984961646,0.403027,0.391677
1429984961726,0.38316,0.395349
1429984961818,0.375591,0.395349
1429984961916,0.372753,0.396573
1429984961997,0.371807,0.395349
1429984962069,0.372753,0.391677
1429984962155,0.374645,0.389229
1429984962223,0.375591,0.389229
1429984962321,0.372753,0.389229
1429984962395,0.368023,0.390453
1429984962493,0.35667,0.391677
1429984962594,0.343425,0.388005
1429984962682,0.322611,0.381885
1429984962765,0.305582,0.374541
1429984962831,0.289499,0.368421
1429984962931,0.279092,0.363525
1429984963022,0.28193,0.362301
1429984963106,0.284768,0.363525
