tstamp,mouse_x,mouse_y
1429984986459,0.626301,0.397797
1429984986554,0.627247,0.397797
1429984986734,0.625355,0.397797
1429984986853,0.618732,0.399021
1429984986923,0.59508,0.400245
1429984987023,0.554399,0.400245
1429984987132,0.496689,0.402693
1429984987229,0.43141,0.419829
1429984987334,0.368969,0.440636
1429984987420,0.322611,0.455324
1429984987500,0.302744,0.461444
1429984987599,0.28666,0.467564
1429984987690,0.280038,0.477356
1429984987758,0.278146,0.482252
1429984987873,0.272469,0.487148
1429984987964,0.264901,0.492044
1429984988061,0.254494,0.494492
1429984988159,0.240303,0.494492
1429984988253,0.23368,0.495716
1429984988334,0.23368,0.49694
1429984988435,0.234626,0.495716
1429984988523,0.238411,0.494492
1429984988623,0.242195,0.476132
1429984988705,0.243141,0.449204
1429984988795,0.247871,0.414933
1429984988892,0.25544,0.394125
1429984988959,0.26017,0.384333
1429984989053,0.268685,0.372093
1429984989134,0.275307,0.365973
1429984989219,0.280984,0.359853
