tstamp,mouse_x,mouse_y
1429984990765,0.449385,0.372093
1429984990865,0.450331,0.373317
1429984990955,0.451277,0.370869
1429984991169,0.455061,0.372093
1429984991258,0.466414,0.378213
1429984991357,0.491012,0.389229
1429984991455,0.519395,0.401469
1429984991547,0.5421,0.417381
1429984991633,0.550615,0.429621
1429984991722,0.562914,0.452876
1429984991822,0.575213,0.474908
1429984991918,0.583728,0.494492
1429984992001,0.587512,0.506732
1429984992091,0.591296,0.518972
1429984992161,0.59508,0.516524
1429984992257,0.605487,0.505508
1429984992347,0.61684,0.495716
1429984992429,0.625355,0.488372
1429984992529,0.636708,0.481028
1429984992621,0.654683,0.47246
1429984992690,0.668874,0.465116
1429984992784,0.685903,0.458996
1429984992857,0.69158,0.455324
1429984992955,0.69158,0.450428
1429984993055,0.690634,0.435741
1429984993146,0.693472,0.417381
1429984993232,0.695364,0.407589
1429984993329,0.701041,0.397797
1429984993420,0.707663,0.388005
1429984993518,0.71334,0.380661
1429984993633,0.719016,0.374541
1429984993736,0.721854,0.370869
1429984993820,0.721854,0.372093
1429984993921,0.708609,0.380661
1429984993981,0.683065,0.390453
1429984994063,0.644276,0.400245
1429984994162,0.574267,0.417381
1429984994253,0.496689,0.443084
1429984994351,0.419111,0.474908
1429984994460,0.344371,0.492044
1429984994556,0.274361,0.499388
1429984994654,0.225166,0.499388
1429984994749,0.203406,0.49694
1429984994866,0.20719,0.49694
1429984994962,0.218543,0.498164
1429984995053,0.22895,0.500612
1429984995151,0.241249,0.504284
1429984995243,0.247871,0.501836
