tstamp,mouse_x,mouse_y
1429985014866,0.824976,0.357405
1429985014961,0.824976,0.356181
1429985015037,0.824976,0.357405
1429985015132,0.820246,0.361077
1429985015231,0.79754,0.363525
1429985015328,0.74929,0.368421
1429985015445,0.684011,0.370869
1429985015534,0.619678,0.369645
1429985015632,0.569536,0.368421
1429985015723,0.535478,0.367197
1429985015822,0.509934,0.376989
1429985015930,0.483444,0.385557
1429985016011,0.464522,0.388005
1429985016095,0.438978,0.390453
1429985016192,0.429518,0.391677
1429985016267,0.43141,0.391677
1429985016365,0.438978,0.391677
1429985016430,0.443709,0.392901
1429985016532,0.450331,0.392901
1429985016622,0.456954,0.392901
1429985016726,0.463576,0.396573
1429985016829,0.492904,0.411261
1429985016926,0.525071,0.425949
1429985017019,0.558184,0.438188
1429985017099,0.574267,0.445532
1429985017164,0.586566,0.451652
1429985017263,0.599811,0.458996
1429985017356,0.609272,0.462668
1429985017455,0.614002,0.465116
1429985017535,0.615894,0.46634
1429985017605,0.61684,0.46634
1429985017693,0.61684,0.467564
1429985017791,0.614948,0.468788
1429985017849,0.613056,0.471236
1429985017930,0.61211,0.471236
1429985018029,0.609272,0.468788
1429985018113,0.602649,0.46634
1429985018189,0.578997,0.461444
1429985018285,0.53737,0.449204
1429985018370,0.502365,0.436965
1429985018427,0.46263,0.424725
1429985018527,0.397351,0.407589
1429985018627,0.33964,0.394125
1429985018730,0.30369,0.385557
1429985018830,0.293283,0.381885
1429985018896,0.293283,0.383109
1429985018988,0.298013,0.386781
1429985019054,0.300851,0.390453
1429985019169,0.30369,0.392901
1429985019261,0.30369,0.395349
1429985019357,0.30369,0.397797
1429985019450,0.312204,0.396573
1429985019563,0.335856,0.395349
1429985019630,0.359508,0.395349
1429985019729,0.394513,0.390453
1429985019819,0.420057,0.386781
1429985019919,0.428571,0.384333
1429985020000,0.427625,0.384333
1429985020093,0.423841,0.381885
1429985020160,0.419111,0.380661
1429985020256,0.408704,0.381885
1429985020347,0.398297,0.378213
1429985020429,0.396405,0.374541
1429985020526,0.395459,0.370869
1429985020619,0.392621,0.367197
1429985020732,0.393567,0.367197
1429985020826,0.390728,0.369645
1429985020925,0.382214,0.374541
1429985021022,0.364238,0.378213
1429985021115,0.337748,0.385557
1429985021229,0.31315,0.396573
1429985021298,0.298959,0.403917
1429985021394,0.276254,0.422277
1429985021483,0.257332,0.449204
1429985021549,0.246925,0.467564
1429985021631,0.238411,0.482252
1429985021725,0.22895,0.500612
1429985021825,0.224219,0.50918
1429985021914,0.224219,0.510404
