tstamp,mouse_x,mouse_y
1429985051050,0.416272,0.505508
1429985051151,0.415326,0.506732
1429985051265,0.405866,0.504284
1429985051334,0.390728,0.498164
1429985051421,0.359508,0.479804
1429985051519,0.324503,0.451652
1429985051611,0.297067,0.425949
1429985051693,0.28666,0.413709
1429985051790,0.280038,0.400245
1429985051881,0.2772,0.397797
1429985051950,0.276254,0.397797
1429985052016,0.2772,0.399021
1429985052123,0.282876,0.402693
1429985052220,0.298959,0.408813
1429985052319,0.337748,0.421053
1429985052402,0.382214,0.429621
1429985052493,0.471145,0.445532
1429985052589,0.557237,0.456548
1429985052684,0.624409,0.461444
1429985052747,0.667928,0.46634
1429985052845,0.736991,0.474908
1429985052932,0.782403,0.47858
1429985053020,0.837275,0.481028
1429985053118,0.874172,0.487148
1429985053218,0.894986,0.489596
1429985053325,0.9035,0.493268
1429985053422,0.902554,0.495716
1429985053515,0.900662,0.495716
1429985053586,0.891201,0.494492
1429985053680,0.880795,0.495716
1429985053754,0.868496,0.495716
1429985053852,0.832545,0.493268
1429985053917,0.79281,0.488372
1429985054015,0.717124,0.47858
1429985054126,0.635762,0.468788
1429985054221,0.566698,0.458996
1429985054314,0.513718,0.449204
1429985054414,0.470199,0.439412
1429985054511,0.43614,0.433293
1429985054599,0.422895,0.429621
1429985054684,0.418165,0.425949
1429985054783,0.422895,0.419829
1429985054876,0.429518,0.410037
1429985054955,0.434248,0.405141
1429985055054,0.43614,0.402693
1429985055118,0.434248,0.402693
1429985055214,0.430464,0.401469
