tstamp,mouse_x,mouse_y
1429985070207,0.254494,0.474908
1429985070305,0.25544,0.47246
1429985070495,0.251656,0.473684
1429985070610,0.239357,0.47246
1429985070699,0.217597,0.468788
1429985070797,0.192053,0.467564
1429985070899,0.170293,0.473684
1429985071006,0.147588,0.483476
1429985071105,0.12772,0.488372
1429985071194,0.121097,0.493268
1429985071295,0.125828,0.495716
1429985071393,0.135289,0.494492
1429985071469,0.143803,0.495716
1429985071564,0.164617,0.499388
1429985071664,0.209082,0.510404
1429985071756,0.279092,0.526316
1429985071858,0.329234,0.542228
1429985071941,0.395459,0.567931
1429985072028,0.450331,0.592411
1429985072127,0.491958,0.609547
1429985072233,0.523179,0.621787
1429985072330,0.550615,0.635251
1429985072436,0.578051,0.642595
1429985072530,0.608325,0.645043
1429985072622,0.646168,0.637699
1429985072704,0.675497,0.634027
1429985072796,0.711447,0.629131
1429985072894,0.731315,0.624235
1429985072975,0.736045,0.621787
1429985073065,0.738884,0.619339
1429985073164,0.736991,0.615667
1429985073261,0.7228,0.610771
1429985073362,0.68685,0.599755
1429985073470,0.629139,0.582619
1429985073570,0.567644,0.549572
1429985073659,0.516556,0.499388
1429985073760,0.466414,0.443084
1429985073856,0.415326,0.390453
1429985073930,0.384106,0.361077
1429985073995,0.360454,0.342717
1429985074101,0.33964,0.335373
1429985074187,0.33018,0.343941
1429985074302,0.326395,0.350061
1429985074400,0.321665,0.359853
1429985074492,0.31315,0.369645
1429985074573,0.305582,0.372093
1429985074657,0.292337,0.374541
1429985074731,0.284768,0.375765
1429985074827,0.276254,0.378213
1429985074927,0.268685,0.380661
