tstamp,mouse_x,mouse_y
1429985087678,0.456954,0.405141
1429985087781,0.458846,0.407589
1429985087887,0.463576,0.407589
1429985087984,0.471145,0.407589
1429985088075,0.479659,0.405141
1429985088174,0.498581,0.400245
1429985088291,0.530747,0.394125
1429985088379,0.575213,0.391677
1429985088477,0.620624,0.385557
1429985088571,0.658467,0.376989
1429985088670,0.68685,0.373317
1429985088750,0.703879,0.373317
1429985088819,0.721854,0.373317
1429985088908,0.743614,0.374541
1429985089008,0.754021,0.376989
1429985089121,0.750237,0.378213
1429985089213,0.742668,0.384333
1429985089315,0.736991,0.386781
1429985089404,0.731315,0.395349
1429985089470,0.730369,0.405141
1429985089551,0.732261,0.422277
1429985089649,0.734153,0.4541
1429985089740,0.735099,0.489596
1429985089844,0.734153,0.523868
1429985089948,0.730369,0.559364
1429985090044,0.725639,0.594859
1429985090142,0.724693,0.621787
1429985090237,0.723746,0.631579
1429985090350,0.721854,0.642595
1429985090449,0.71807,0.641371
1429985090540,0.705771,0.632803
1429985090638,0.674551,0.618115
1429985090704,0.642384,0.607099
1429985090780,0.601703,0.596083
1429985090891,0.535478,0.578947
1429985090976,0.473037,0.55814
1429985091069,0.419111,0.53366
1429985091183,0.376537,0.512852
1429985091282,0.351939,0.495716
1429985091373,0.337748,0.477356
1429985091476,0.333964,0.455324
1429985091579,0.333018,0.428397
1429985091676,0.331126,0.397797
1429985091775,0.326395,0.368421
1429985091868,0.318827,0.343941
1429985091949,0.314097,0.331701
1429985092015,0.307474,0.326805
1429985092106,0.298959,0.326805
1429985092206,0.291391,0.334149
1429985092303,0.284768,0.342717
1429985092410,0.278146,0.352509
1429985092480,0.274361,0.356181
1429985092573,0.271523,0.361077
1429985092668,0.270577,0.362301
1429985092766,0.268685,0.362301
1429985092846,0.266793,0.368421
1429985092938,0.256386,0.402693
1429985093020,0.245033,0.430845
1429985093102,0.230842,0.445532
1429985093194,0.223273,0.443084
1429985093274,0.222327,0.443084
1429985093341,0.224219,0.444308
1429985093438,0.228004,0.449204
1429985093546,0.230842,0.46022
1429985093646,0.232734,0.473684
1429985093738,0.232734,0.487148
1429985093837,0.232734,0.493268
