tstamp,mouse_x,mouse_y
1429985096163,0.360454,0.609547
1429985096247,0.364238,0.602203
1429985096335,0.368023,0.600979
1429985096432,0.372753,0.598531
1429985096490,0.37843,0.592411
1429985096571,0.390728,0.585067
1429985096669,0.421003,0.575275
1429985096739,0.445601,0.567931
1429985096829,0.486282,0.55814
1429985096896,0.514664,0.549572
1429985097003,0.555345,0.541004
1429985097068,0.575213,0.53366
1429985097166,0.589404,0.523868
1429985097267,0.59508,0.514076
1429985097338,0.598865,0.510404
1429985097436,0.602649,0.507956
1429985097537,0.601703,0.504284
1429985097629,0.600757,0.500612
1429985097724,0.602649,0.495716
1429985097811,0.607379,0.487148
1429985097901,0.615894,0.47246
1429985098002,0.623463,0.457772
1429985098090,0.631031,0.439412
1429985098171,0.6386,0.425949
1429985098237,0.648061,0.410037
1429985098337,0.661306,0.388005
1429985098426,0.673605,0.372093
1429985098523,0.684957,0.369645
1429985098608,0.690634,0.370869
1429985098700,0.700095,0.373317
1429985098797,0.708609,0.379437
1429985098902,0.714286,0.383109
1429985099004,0.712394,0.383109
1429985099103,0.705771,0.375765
1429985099197,0.706717,0.373317
1429985099294,0.716178,0.380661
1429985099362,0.725639,0.390453
1429985099484,0.736991,0.402693
1429985099567,0.757805,0.438188
1429985099665,0.772942,0.458996
1429985099754,0.790918,0.47246
1429985099837,0.803217,0.481028
1429985099937,0.820246,0.492044
1429985100028,0.833491,0.500612
1429985100127,0.844844,0.506732
1429985100241,0.85052,0.512852
1429985100333,0.851466,0.5153
1429985100432,0.846736,0.512852
1429985100531,0.831599,0.5153
1429985100637,0.795648,0.517748
1429985100704,0.758751,0.522644
1429985100802,0.69158,0.529988
1429985100891,0.62157,0.532436
1429985100998,0.549669,0.538556
1429985101074,0.504257,0.542228
1429985101164,0.438032,0.543452
1429985101263,0.377483,0.532436
1429985101356,0.328288,0.52142
1429985101420,0.305582,0.517748
1429985101510,0.292337,0.514076
1429985101601,0.28193,0.505508
1429985101693,0.278146,0.49694
1429985101789,0.284768,0.495716
1429985101872,0.292337,0.494492
1429985101967,0.301798,0.494492
1429985102065,0.310312,0.492044
1429985102162,0.329234,0.481028
1429985102253,0.357616,0.470012
1429985102336,0.374645,0.462668
1429985102434,0.392621,0.451652
1429985102523,0.402081,0.443084
1429985102590,0.405866,0.434517
1429985102705,0.406812,0.418605
1429985102794,0.40492,0.405141
1429985102893,0.398297,0.399021
1429985102986,0.393567,0.394125
1429985103116,0.391675,0.391677
1429985103200,0.388836,0.392901
1429985103292,0.385052,0.395349
1429985103389,0.376537,0.396573
1429985103486,0.366131,0.395349
1429985103565,0.355724,0.396573
1429985103644,0.342479,0.395349
1429985103727,0.320719,0.392901
1429985103818,0.30369,0.391677
1429985103885,0.297067,0.390453
1429985103968,0.293283,0.391677
1429985104064,0.28666,0.392901
1429985104150,0.283822,0.396573
1429985104223,0.280984,0.402693
1429985104337,0.290445,0.417381
1429985104427,0.322611,0.444308
1429985104493,0.355724,0.462668
1429985104585,0.412488,0.492044
1429985104649,0.450331,0.506732
1429985104766,0.505203,0.522644
1429985104864,0.549669,0.532436
1429985104955,0.584674,0.538556
1429985105053,0.613056,0.53978
1429985105169,0.640492,0.547124
1429985105264,0.657521,0.559364
1429985105358,0.664144,0.578947
1429985105450,0.662252,0.592411
1429985105566,0.655629,0.598531
1429985105663,0.649007,0.600979
