tstamp,mouse_x,mouse_y
1429985231708,0.539262,0.381885
1429985231871,0.53737,0.380661
1429985231946,0.533586,0.381885
1429985232044,0.519395,0.380661
1429985232143,0.491012,0.378213
1429985232235,0.450331,0.380661
1429985232303,0.421949,0.384333
1429985232416,0.389782,0.394125
1429985232507,0.365184,0.399021
1429985232610,0.341533,0.401469
1429985232705,0.315989,0.406365
1429985232779,0.304636,0.411261
1429985232878,0.297067,0.413709
1429985232976,0.295175,0.412485
1429985233066,0.295175,0.410037
1429985233151,0.296121,0.410037
1429985233248,0.295175,0.408813
1429985233340,0.2772,0.411261
1429985233439,0.231788,0.421053
1429985233540,0.193945,0.433293
1429985233611,0.179754,0.439412
1429985233680,0.172185,0.444308
1429985233776,0.15894,0.44798
1429985233868,0.14948,0.451652
1429985233980,0.148534,0.4541
1429985234074,0.14948,0.46022
1429985234176,0.151372,0.470012
1429985234270,0.152318,0.483476
1429985234377,0.15421,0.485924
1429985234446,0.156102,0.485924
1429985234543,0.160833,0.4847
1429985234642,0.177862,0.479804
1429985234717,0.201514,0.473684
1429985234812,0.254494,0.467564
1429985234906,0.309366,0.458996
1429985234974,0.341533,0.452876
1429985235070,0.381268,0.439412
1429985235162,0.412488,0.418605
1429985235246,0.425733,0.406365
1429985235342,0.432356,0.395349
1429985235441,0.425733,0.390453
1429985235530,0.413434,0.386781
1429985235611,0.401135,0.386781
1429985235712,0.385998,0.386781
1429985235816,0.381268,0.388005
1429985235902,0.380322,0.386781
1429985235994,0.37843,0.388005
1429985236075,0.37843,0.390453
1429985236143,0.377483,0.394125
1429985236240,0.368969,0.400245
1429985236334,0.348155,0.407589
1429985236444,0.315989,0.417381
1429985236539,0.2772,0.438188
1429985236637,0.232734,0.46022
1429985236703,0.210028,0.470012
1429985236804,0.198675,0.4847
1429985236876,0.197729,0.500612
1429985236976,0.194891,0.522644
1429985237073,0.195837,0.529988
1429985237163,0.201514,0.529988
1429985237279,0.210028,0.529988
1429985237345,0.213813,0.528764
