tstamp,gaze_x,gaze_y
11064276.505109,0.376537,0.326805
11064291.835441,0.375591,0.331701
11064307.084555,0.374645,0.299878
11064319.536600,0.374645,0.299878
11064335.654556,0.378430,0.313341
11064355.699029,0.384106,0.310894
11064366.170635,0.384106,0.309670
11064382.202464,0.384106,0.312118
11064396.483225,0.377483,0.319461
11064427.351839,0.376537,0.336597
11064442.023065,0.373699,0.329253
11064455.616607,0.372753,0.326805
11064470.720692,0.378430,0.326805
11064486.633374,0.384106,0.350061
11064501.104682,0.389782,0.339045
11064520.794835,0.528855,0.328029
11064530.810378,0.574267,0.343941
11064544.948787,0.588458,0.348837
11064577.261451,0.630085,0.363525
11064591.437345,0.630085,0.364749
11064607.678910,0.631977,0.359853
11064623.936094,0.631977,0.335373
11064637.154790,0.633869,0.320685
11064650.451132,0.633869,0.318237
11064665.659638,0.645222,0.314565
11064680.008229,0.654683,0.341493
11064695.111421,0.655629,0.354957
11064727.476297,0.658467,0.413709
11064744.135994,0.652791,0.481028
11064758.452455,0.647114,0.528764
11064770.668882,0.642384,0.561812
11064785.805989,0.639546,0.598531
11064800.817701,0.632923,0.654835
11064814.454529,0.627247,0.724602
11064830.357840,0.627247,0.720930
11064846.145573,0.623463,0.716034
11064878.594343,0.626301,0.708690
11064893.654696,0.625355,0.708690
11064909.500441,0.623463,0.714810
11064920.661497,0.620624,0.717258
11064935.891869,0.613056,0.719706
11064949.947722,0.598865,0.708690
11064965.335173,0.583728,0.689106
11064980.847573,0.575213,0.675643
11064995.533971,0.557237,0.668299
11065028.156331,0.555345,0.664627
11065040.859612,0.559130,0.643819
11065056.745966,0.563860,0.625459
11065071.177112,0.558184,0.642595
11065084.734062,0.517502,0.659731
11065100.407556,0.518448,0.664627
11065116.218494,0.516556,0.667075
11065131.719738,0.489120,0.724602
11065147.146012,0.480605,0.722154
11065176.179662,0.473037,0.725826
11065191.988369,0.474929,0.736842
11065207.197321,0.472091,0.742962
11065219.736831,0.470199,0.745410
11065235.836936,0.465468,0.738066
11065251.758990,0.456008,0.731946
11065266.123645,0.429518,0.735618
11065282.825736,0.424787,0.736842
11065295.797212,0.429518,0.733170
11065326.739902,0.425733,0.733170
11065341.744920,0.428571,0.729498
11065357.753098,0.437086,0.708690
11065372.314994,0.438032,0.706242
11065386.807276,0.430464,0.707466
11065401.317853,0.429518,0.708690
11065415.760155,0.428571,0.708690
11065431.007931,0.423841,0.713586
11065445.299402,0.421949,0.714810
11065477.325131,0.420057,0.717258
11065491.846864,0.421003,0.713586
11065507.679669,0.419111,0.713586
11065523.499085,0.421003,0.717258
11065535.960056,0.431410,0.697674
11065550.688401,0.431410,0.700122
11065565.617557,0.424787,0.720930
11065579.967040,0.424787,0.718482
