tstamp,gaze_x,gaze_y
11150673.357826,0.521287,0.381885
11150687.204390,0.524125,0.381885
11150701.851965,0.527909,0.367197
11150715.992159,0.532640,0.365973
11150732.576441,0.561022,0.352509
11150762.544084,0.581835,0.364749
11150777.921271,0.589404,0.372093
11150823.237094,0.663198,0.418605
11150850.970384,0.668874,0.408813
11150867.982616,0.666982,0.412485
11150882.500334,0.655629,0.401469
11150898.494232,0.666036,0.411261
11150913.629108,0.672658,0.418605
11150930.150470,0.678335,0.423501
11150940.957206,0.679281,0.425949
11150972.653606,0.682119,0.429621
11150985.726379,0.683065,0.440636
11151001.664051,0.682119,0.440636
11151017.325497,0.695364,0.412485
11151031.953883,0.695364,0.411261
11151049.200841,0.698202,0.407589
11151064.784640,0.693472,0.412485
11151077.135833,0.670766,0.413709
11151091.741015,0.662252,0.418605
11151122.103139,0.660360,0.421053
11151138.512939,0.646168,0.438188
11151152.571470,0.629139,0.452876
11151167.011094,0.626301,0.457772
11151183.203572,0.625355,0.461444
11151198.835566,0.619678,0.471236
11151212.233653,0.617786,0.472460
11151228.038789,0.619678,0.470012
11151242.021904,0.619678,0.461444
11151272.571006,0.621570,0.456548
11151287.171279,0.622517,0.452876
11151302.352117,0.623463,0.451652
11151319.059117,0.623463,0.449204
11151332.071647,0.623463,0.451652
11151346.729486,0.616840,0.460220
11151363.126791,0.616840,0.456548
11151377.501264,0.615894,0.456548
11151390.898012,0.619678,0.457772
11151423.874691,0.621570,0.454100
11151441.010086,0.623463,0.445532
11151451.994875,0.621570,0.445532
11151468.405568,0.620624,0.438188
11151481.120006,0.619678,0.435741
11151497.701611,0.619678,0.435741
11151512.441112,0.617786,0.443084
11151527.037369,0.615894,0.461444
11151542.935771,0.615894,0.457772
11151573.006497,0.624409,0.452876
11151586.777199,0.626301,0.446756
11151601.974549,0.619678,0.509180
11151615.471702,0.603595,0.550796
11151631.550834,0.602649,0.552020
11151648.019092,0.590350,0.604651
11151662.833563,0.589404,0.605875
11151679.728433,0.590350,0.608323
11151695.256897,0.588458,0.625459
11151722.712622,0.588458,0.623011
11151736.974640,0.591296,0.616891
11151751.609274,0.592242,0.611995
11151766.968165,0.592242,0.609547
11151783.156181,0.580889,0.599755
11151798.056778,0.580889,0.604651
11151814.891404,0.579943,0.602203
11151828.900847,0.581835,0.608323
11151841.325672,0.587512,0.610771
11151872.992619,0.594134,0.615667
11151886.020767,0.596026,0.619339
11151901.548339,0.577105,0.647491
11151917.972866,0.559130,0.670747
11151931.738659,0.517502,0.718482
11151948.765171,0.514664,0.716034
11151964.004022,0.513718,0.730722
11151976.834037,0.511826,0.734394
11151991.782828,0.515610,0.740514
11152021.692905,0.512772,0.750306
11152037.063399,0.515610,0.745410
11152055.291204,0.527909,0.711138
11152067.130108,0.516556,0.697674
11152082.475612,0.511826,0.703794
11152097.497141,0.502365,0.697674
11152111.502568,0.495743,0.696450
11152127.635249,0.481552,0.701346
11152141.734388,0.450331,0.711138
11152188.083718,0.412488,0.717258
11152201.424238,0.411542,0.719706
11152216.809904,0.415326,0.725826
11152231.826525,0.418165,0.723378
11152247.116694,0.420057,0.724602
11152263.158787,0.416272,0.740514
11152277.823766,0.415326,0.718482
11152291.184814,0.415326,0.716034
11152323.538534,0.431410,0.667075
11152336.909399,0.431410,0.651163
11152351.585088,0.431410,0.649939
11152366.889983,0.432356,0.648715
11152381.176545,0.440870,0.667075
11152396.991499,0.438978,0.662179
11152412.724345,0.439924,0.669523
11152428.343397,0.438032,0.656059
11152448.528883,0.445601,0.624235
11152472.817155,0.441816,0.649939
11152486.705666,0.434248,0.635251
11152501.865977,0.425733,0.621787
11152515.667916,0.418165,0.616891
11152532.058974,0.421949,0.609547
11152548.641471,0.424787,0.605875
11152563.235051,0.423841,0.607099
11152579.851463,0.418165,0.610771
11152594.009952,0.409650,0.613219
11152622.864211,0.408704,0.614443
11152636.809842,0.407758,0.616891
11152651.000907,0.403974,0.618115
11152667.123325,0.404920,0.614443
11152682.853493,0.404920,0.605875
11152697.874575,0.407758,0.603427
11152714.204944,0.406812,0.605875
11152728.765055,0.410596,0.608323
11152741.072070,0.410596,0.607099
11152772.820234,0.409650,0.609547
11152785.559215,0.411542,0.607099
11152801.818630,0.414380,0.577723
11152817.585837,0.421003,0.444308
11152831.854549,0.421949,0.421053
11152849.109539,0.417219,0.370869
11152863.003404,0.417219,0.365973
11152876.815607,0.417219,0.363525
11152891.981274,0.424787,0.378213
11152921.741412,0.424787,0.370869
11152937.564399,0.421949,0.383109
11152953.090632,0.402081,0.434517
11152967.284821,0.408704,0.428397
11152981.819050,0.438032,0.397797
11152997.656317,0.445601,0.394125
11153012.006692,0.473037,0.390453
11153028.287081,0.475875,0.392901
11153041.599488,0.492904,0.375765
11153073.345867,0.491012,0.391677
11153088.104557,0.491012,0.390453
11153102.214406,0.496689,0.390453
11153116.830744,0.497635,0.394125
11153131.866553,0.500473,0.391677
11153146.744391,0.502365,0.388005
11153162.715531,0.502365,0.389229
11153177.287244,0.507096,0.384333
11153191.352915,0.519395,0.381885
11153223.796776,0.581835,0.372093
11153236.220708,0.564806,0.383109
11153251.995946,0.567644,0.385557
11153267.108956,0.582781,0.403917
11153280.818968,0.585620,0.396573
11153297.726779,0.587512,0.397797
11153313.510942,0.586566,0.405141
11153327.466836,0.586566,0.407589
11153344.781623,0.582781,0.411261
11153372.116415,0.587512,0.400245
11153386.846545,0.589404,0.400245
11153401.318300,0.588458,0.392901
11153416.272892,0.588458,0.390453
11153432.423869,0.581835,0.388005
11153449.522227,0.578997,0.391677
11153463.365221,0.582781,0.390453
11153479.602770,0.595080,0.399021
11153494.072293,0.645222,0.417381
11153522.798479,0.649007,0.395349
11153536.183625,0.656575,0.399021
11153550.666535,0.672658,0.402693
11153567.075889,0.667928,0.411261
11153582.373198,0.666036,0.425949
11153597.721379,0.666036,0.446756
11153613.358728,0.665090,0.425949
11153628.751087,0.665090,0.422277
11153641.124593,0.665090,0.418605
11153672.782615,0.665090,0.413709
11153685.633158,0.662252,0.421053
11153702.537845,0.664144,0.423501
11153717.767771,0.664144,0.444308
11153731.456364,0.666982,0.439412
11153748.112491,0.666036,0.441860
11153762.752034,0.666036,0.441860
11153777.358555,0.665090,0.441860
11153791.232786,0.665090,0.439412
11153821.869351,0.664144,0.434517
11153837.329093,0.665090,0.428397
11153853.133784,0.665090,0.424725
11153866.599254,0.663198,0.418605
11153882.096927,0.660360,0.422277
11153897.261255,0.664144,0.436965
11153911.822258,0.664144,0.436965
11153927.641229,0.661306,0.432069
11153941.484669,0.658467,0.424725
