tstamp,gaze_x,gaze_y
11187226.129750,0.528855,0.380661
11187240.871036,0.530747,0.375765
11187271.721800,0.531693,0.370869
11187300.469852,0.531693,0.368421
11187316.239736,0.531693,0.370869
11187329.817659,0.533586,0.370869
11187345.233224,0.537370,0.378213
11187361.174912,0.534532,0.378213
11187377.341508,0.529801,0.380661
11187391.933302,0.533586,0.379437
11187421.196769,0.557237,0.383109
11187435.251283,0.580889,0.384333
11187451.087657,0.578051,0.364749
11187465.372435,0.649953,0.392901
11187479.871410,0.669820,0.396573
11187496.059426,0.687796,0.402693
11187510.666839,0.702933,0.406365
11187524.593727,0.707663,0.410037
11187540.121745,0.708609,0.419829
11187570.643625,0.697256,0.416157
11187585.861502,0.696310,0.417381
11187601.681812,0.706717,0.414933
11187617.057660,0.707663,0.412485
11187633.214439,0.709555,0.410037
11187645.845875,0.706717,0.425949
11187659.426030,0.707663,0.425949
11187675.069626,0.704825,0.425949
11187689.868924,0.700095,0.433293
11187723.938013,0.698202,0.430845
11187737.949688,0.693472,0.438188
11187754.485775,0.692526,0.438188
11187768.785279,0.680227,0.455324
11187780.116354,0.659413,0.481028
11187794.732246,0.638600,0.506732
11187810.491866,0.649953,0.493268
11187824.992180,0.627247,0.520196
11187839.262231,0.604541,0.549572
11187871.850675,0.606433,0.553244
11187886.008719,0.608325,0.549572
11187901.938805,0.609272,0.553244
11187916.285164,0.605487,0.564259
11187929.366862,0.605487,0.567931
11187944.974758,0.606433,0.565483
11187960.002535,0.608325,0.563035
11187974.295791,0.608325,0.564259
11187991.369604,0.610218,0.569155
11188024.871515,0.585620,0.583843
11188035.797845,0.575213,0.587515
11188051.124160,0.569536,0.591187
11188065.898915,0.549669,0.596083
11188080.082395,0.536424,0.610771
11188094.975851,0.534532,0.614443
11188109.530161,0.532640,0.611995
11188125.899353,0.531693,0.608323
11188142.446597,0.507096,0.575275
11188171.034447,0.501419,0.581395
11188186.118897,0.499527,0.571603
11188200.596452,0.448439,0.548348
11188215.862524,0.439924,0.544676
11188229.873753,0.426679,0.550796
11188244.567291,0.422895,0.552020
11188261.189058,0.422895,0.556916
11188276.253873,0.427625,0.545900
11188289.811269,0.437086,0.536108
11188321.199759,0.438032,0.536108
11188334.244419,0.441816,0.523868
11188352.034457,0.428571,0.526316
11188367.174688,0.407758,0.522644
11188383.015971,0.381268,0.517748
11188396.252070,0.380322,0.520196
11188410.727394,0.380322,0.528764
11188424.473999,0.380322,0.529988
11188440.118041,0.379376,0.529988
11188470.008483,0.380322,0.522644
11188486.850249,0.381268,0.527540
11188503.098955,0.372753,0.536108
11188517.294483,0.372753,0.537332
11188532.880513,0.371807,0.532436
11188545.366473,0.373699,0.528764
11188559.393766,0.372753,0.521420
11188575.210505,0.372753,0.520196
11188589.795160,0.366131,0.521420
11188621.493344,0.369915,0.526316
11188638.369025,0.365184,0.521420
11188651.010278,0.373699,0.518972
11188666.777484,0.368023,0.516524
11188680.158167,0.376537,0.503060
11188694.473736,0.388836,0.465116
11188710.254329,0.389782,0.456548
11188724.830058,0.386944,0.439412
11188739.322786,0.381268,0.414933
11188771.708635,0.391675,0.336597
11188785.630615,0.392621,0.330477
11188801.614250,0.387890,0.337821
11188816.458619,0.382214,0.334149
11188829.267661,0.380322,0.334149
11188844.777384,0.381268,0.334149
11188859.927878,0.388836,0.319461
11188875.420196,0.390728,0.317013
11188890.671542,0.391675,0.358629
11188920.831963,0.393567,0.365973
11188935.849922,0.390728,0.350061
11188950.957577,0.391675,0.340269
11188965.784096,0.392621,0.345165
11188980.180435,0.392621,0.345165
11188994.843629,0.385998,0.350061
11189009.672826,0.385052,0.350061
11189026.155810,0.381268,0.353733
11189040.868984,0.382214,0.353733
11189071.282872,0.397351,0.352509
11189085.435561,0.416272,0.363525
11189099.732833,0.422895,0.381885
11189115.271114,0.490066,0.389229
11189130.912479,0.472091,0.406365
11189145.025898,0.469253,0.417381
11189161.160811,0.479659,0.412485
11189175.113581,0.472091,0.433293
11189189.068582,0.484390,0.419829
11189220.829241,0.480605,0.435741
11189236.073000,0.479659,0.428397
11189250.413112,0.483444,0.400245
11189267.311551,0.484390,0.401469
11189281.386593,0.498581,0.410037
11189295.728936,0.536424,0.427173
11189309.894119,0.555345,0.430845
11189326.228504,0.561968,0.423501
11189339.863993,0.577105,0.423501
11189370.064576,0.660360,0.455324
