tstamp,gaze_x,gaze_y
11297471.286085,0.705771,0.188494
11297485.968914,0.706717,0.187271
11297517.610425,0.708609,0.170135
11297531.940273,0.711447,0.166463
11297545.303998,0.716178,0.167687
11297560.045285,0.719016,0.175031
11297574.775862,0.716178,0.178703
11297589.240476,0.717124,0.187271
11297605.628856,0.709555,0.188494
11297620.842718,0.709555,0.188494
11297635.340800,0.707663,0.190942
11297666.852900,0.713340,0.200734
11297680.505347,0.715232,0.192166
11297696.455067,0.700095,0.434517
11297709.602364,0.700095,0.468788
11297724.923770,0.699149,0.507956
11297740.795398,0.708609,0.503060
11297756.030679,0.706717,0.517748
11297770.240040,0.708609,0.518972
11297784.798366,0.716178,0.511628
11297815.543815,0.720908,0.517748
11297830.882625,0.720908,0.520196
11297846.055878,0.700095,0.587515
11297860.640532,0.707663,0.582619
11297876.183723,0.715232,0.558140
11297891.325292,0.714286,0.559364
11297904.494008,0.715232,0.565483
11297920.063081,0.715232,0.564259
11297935.151101,0.718070,0.563035
11297966.739509,0.719962,0.567931
11297981.657063,0.719962,0.567931
11297997.092262,0.722800,0.571603
11298013.008960,0.721854,0.571603
11298025.627901,0.725639,0.586291
11298039.500347,0.725639,0.593635
11298054.887352,0.727531,0.596083
11298069.844175,0.725639,0.597307
11298084.178932,0.726585,0.607099
11298117.103400,0.730369,0.604651
11298136.382115,0.731315,0.604651
11298149.478539,0.730369,0.603427
11298161.946650,0.728477,0.591187
11298174.298289,0.728477,0.592411
11298190.099410,0.728477,0.596083
11298204.881752,0.728477,0.600979
11298219.073263,0.723746,0.594859
