tstamp,gaze_x,gaze_y
11314465.747281,0.726585,0.178703
11314479.313156,0.726585,0.179927
11314494.458742,0.727531,0.181151
11314509.677511,0.722800,0.173807
11314525.309505,0.723746,0.181151
11314539.906208,0.721854,0.182375
11314554.053541,0.717124,0.192166
11314569.932755,0.719962,0.187271
11314585.626331,0.715232,0.184823
11314615.382453,0.714286,0.186047
11314629.130396,0.709555,0.179927
11314643.255417,0.708609,0.175031
11314661.147200,0.710501,0.179927
11314676.567673,0.710501,0.177479
11314691.038535,0.709555,0.182375
11314705.807935,0.708609,0.186047
11314733.584510,0.684957,0.186047
11314778.115388,0.676443,0.183599
11314794.701455,0.677389,0.183599
11314824.950232,0.562914,0.167687
11314842.319907,0.511826,0.177479
11314854.876374,0.500473,0.173807
11314868.473040,0.494797,0.165239
11314884.146981,0.490066,0.177479
11314914.203427,0.483444,0.184823
11314929.330716,0.482498,0.189718
11314945.027861,0.482498,0.197062
11314961.335917,0.466414,0.243574
11314977.081704,0.464522,0.247246
11314991.327657,0.455061,0.270502
11315003.599866,0.456954,0.264382
11315019.677659,0.456954,0.261934
11315033.925398,0.438032,0.317013
11315065.146991,0.439924,0.324357
11315083.709481,0.442763,0.348837
11315095.103478,0.445601,0.362301
11315114.939108,0.444655,0.359853
11315127.070302,0.444655,0.359853
11315139.358575,0.447493,0.351285
11315154.325216,0.446547,0.351285
11315169.150397,0.448439,0.350061
11315183.496310,0.453169,0.343941
11315216.216397,0.455061,0.341493
11315231.548513,0.456008,0.340269
11315244.180396,0.453169,0.341493
11315260.345207,0.421003,0.359853
11315274.290391,0.326395,0.461444
11315290.253499,0.333018,0.451652
11315304.207162,0.325449,0.457772
11315319.417899,0.323557,0.445532
11315335.406443,0.305582,0.443084
11315364.785041,0.301798,0.443084
11315379.254564,0.298013,0.430845
11315394.164978,0.292337,0.421053
11315409.625613,0.272469,0.413709
11315425.042516,0.274361,0.403917
11315439.699462,0.295175,0.428397
11315454.234137,0.300851,0.446756
11315470.190105,0.298959,0.458996
11315484.575734,0.301798,0.462668
11315515.028000,0.307474,0.492044
11315529.087869,0.309366,0.488372
11315543.228955,0.293283,0.496940
11315559.939525,0.288552,0.515300
11315575.668354,0.307474,0.572827
11315590.287815,0.303690,0.626683
11315606.787757,0.298013,0.626683
11315619.332621,0.293283,0.634027
11315633.499143,0.289499,0.694002
11315664.555180,0.280984,0.722154
11315678.557483,0.281930,0.723378
11315695.214057,0.282876,0.727050
11315711.547103,0.285714,0.728274
11315726.023320,0.283822,0.730722
11315753.955189,0.306528,0.733170
11315768.579113,0.311258,0.725826
11315814.946738,0.375591,0.723378
11315845.822938,0.480605,0.695226
11315862.155091,0.466414,0.706242
11315876.261370,0.484390,0.695226
11315890.371665,0.498581,0.691554
11315903.506020,0.488174,0.698898
11315919.077770,0.505203,0.717258
11315934.059584,0.508988,0.727050
11315965.596227,0.510880,0.722154
11315980.596336,0.520341,0.713586
11315994.066715,0.526963,0.695226
11316009.762075,0.533586,0.697674
11316025.006281,0.533586,0.698898
11316039.666797,0.521287,0.706242
11316054.055996,0.514664,0.698898
11316068.837445,0.511826,0.698898
11316083.672889,0.509934,0.702570
11316116.625917,0.508988,0.698898
11316128.502751,0.509934,0.701346
11316144.359653,0.508988,0.708690
11316159.858665,0.501419,0.719706
