tstamp,gaze_x,gaze_y
11343353.361593,0.578051,0.842105
11343369.533544,0.577105,0.849449
11343384.977221,0.578997,0.849449
11343416.301005,0.564806,0.842105
11343427.999341,0.567644,0.847001
11343444.230197,0.566698,0.847001
11343457.910311,0.567644,0.849449
11343472.870704,0.571429,0.844553
11343488.392475,0.564806,0.840881
11343503.832583,0.564806,0.839657
11343522.197832,0.563860,0.840881
11343534.021117,0.561022,0.834761
11343565.468511,0.556291,0.835985
11343577.358287,0.556291,0.831089
11343592.729673,0.560076,0.840881
11343608.521422,0.563860,0.840881
11343622.770054,0.571429,0.842105
11343638.811254,0.577105,0.811505
11343655.970301,0.591296,0.714810
11343667.335292,0.566698,0.518972
11343683.983387,0.563860,0.500612
11343714.453949,0.552507,0.357405
11343727.676661,0.546831,0.332925
11343743.676361,0.532640,0.277846
11343761.930942,0.530747,0.274174
11343777.424153,0.532640,0.275398
11343788.066671,0.534532,0.280294
11343802.297452,0.528855,0.258262
11343817.941941,0.525071,0.238678
11343833.818923,0.525071,0.226438
11343866.039661,0.526017,0.210526
11343880.892510,0.530747,0.211750
11343893.914857,0.535478,0.212974
11343908.623568,0.532640,0.211750
11343922.847209,0.528855,0.225214
11343937.069958,0.524125,0.242350
11343952.741222,0.521287,0.244798
11343967.783278,0.521287,0.244798
11343983.404115,0.521287,0.244798
11344015.294185,0.519395,0.242350
11344027.864486,0.519395,0.241126
11344042.993560,0.520341,0.241126
11344058.148517,0.526017,0.250918
11344072.209725,0.493851,0.271726
11344089.011775,0.494797,0.269278
11344103.272009,0.483444,0.270502
11344123.356644,0.488174,0.275398
11344136.922965,0.477767,0.290086
11344168.175796,0.465468,0.319461
11344177.732152,0.463576,0.312118
11344192.641673,0.465468,0.288862
11344207.051399,0.464522,0.277846
11344224.330486,0.465468,0.280294
11344242.906810,0.466414,0.279070
11344254.390502,0.467360,0.282742
11344272.687029,0.466414,0.290086
11344285.207797,0.466414,0.292534
11344316.066592,0.471145,0.309670
11344327.660507,0.472091,0.308446
11344342.509339,0.476821,0.303550
11344359.246683,0.477767,0.299878
11344374.689915,0.477767,0.297430
11344388.447229,0.477767,0.292534
11344404.844535,0.474929,0.292534
11344417.907937,0.471145,0.287638
11344433.408288,0.468307,0.287638
