tstamp,gaze_x,gaze_y
11349008.612099,0.549669,0.706242
11349022.158786,0.551561,0.709914
11349037.574350,0.546831,0.706242
11349052.265211,0.545885,0.728274
11349067.231406,0.544939,0.719706
11349083.813903,0.543046,0.713586
11349116.330948,0.538316,0.712362
11349130.105220,0.534532,0.719706
11349143.124890,0.531693,0.729498
11349157.209749,0.541154,0.716034
11349172.307140,0.542100,0.714810
11349187.455403,0.539262,0.720930
11349201.731256,0.530747,0.738066
11349218.513225,0.534532,0.746634
11349233.966720,0.576159,0.756426
11349266.001820,0.588458,0.749082
11349279.600271,0.611164,0.744186
11349291.884528,0.633869,0.735618
11349307.715993,0.631977,0.731946
11349322.201135,0.632923,0.728274
11349336.675566,0.645222,0.701346
11349353.059484,0.649953,0.701346
11349368.410343,0.681173,0.722154
11349383.263637,0.685903,0.723378
11349414.238011,0.674551,0.720930
11349427.693663,0.684011,0.756426
11349443.124846,0.681173,0.751530
11349457.299400,0.690634,0.739290
11349473.177275,0.683065,0.749082
11349487.874384,0.690634,0.738066
11349503.706741,0.693472,0.718482
11349518.032573,0.709555,0.697674
11349532.530656,0.736045,0.587515
11349563.667017,0.763482,0.483476
11349578.173578,0.757805,0.504284
11349592.471296,0.758751,0.405141
11349607.710593,0.766320,0.421053
11349638.931295,0.757805,0.403917
11349652.162039,0.753075,0.396573
11349667.756994,0.751183,0.380661
11349682.741931,0.751183,0.384333
11349714.550338,0.756859,0.383109
11349728.537469,0.754967,0.388005
11349742.413931,0.751183,0.456548
11349758.951358,0.750237,0.489596
11349773.619460,0.753075,0.520196
11349787.046553,0.754021,0.536108
11349802.742806,0.763482,0.527540
11349817.660360,0.758751,0.536108
11349832.236535,0.758751,0.536108
11349865.214553,0.757805,0.558140
11349879.565374,0.755913,0.565483
11349895.384791,0.737938,0.572827
11349908.346895,0.738884,0.575275
11349921.981046,0.741722,0.581395
11349937.578232,0.742668,0.580171
11349952.361466,0.752129,0.586291
11349966.990299,0.751183,0.587515
11349983.989590,0.749290,0.588739
11350016.548136,0.760643,0.587515
11350030.464761,0.757805,0.587515
11350042.754819,0.744560,0.582619
11350057.045397,0.741722,0.580171
11350072.678729,0.733207,0.586291
11350087.568616,0.733207,0.576499
11350101.877490,0.734153,0.576499
11350117.870497,0.740776,0.575275
11350133.857702,0.745506,0.578947
