tstamp,gaze_x,gaze_y
11416641.685524,0.613056,0.603427
11416654.412011,0.661306,0.567931
11416670.441609,0.677389,0.544676
11416685.183342,0.679281,0.544676
11416698.900495,0.683065,0.538556
11416714.571758,0.701987,0.543452
11416729.801684,0.697256,0.543452
11416777.432185,0.698202,0.548348
11416790.755302,0.697256,0.555692
11416807.723802,0.701041,0.552020
11416819.479258,0.710501,0.552020
11416834.133527,0.716178,0.545900
11416849.561586,0.719016,0.545900
11416864.131960,0.716178,0.547124
11416879.176694,0.713340,0.549572
11416911.087291,0.707663,0.550796
11416925.486754,0.704825,0.545900
11416942.382516,0.701987,0.541004
11416955.429853,0.698202,0.512852
11416969.027858,0.698202,0.499388
11416984.429588,0.701041,0.500612
11416999.443085,0.712394,0.495716
11417013.646646,0.711447,0.499388
11417030.395593,0.711447,0.499388
11417060.996012,0.711447,0.489596
11417076.041638,0.710501,0.458996
11417091.033715,0.664144,0.605875
11417104.107827,0.572375,0.764994
11417119.782660,0.580889,0.757650
11417134.342325,0.579943,0.769890
11417149.316552,0.578051,0.774786
11417165.802660,0.588458,0.767442
11417180.510032,0.601703,0.757650
11417210.462949,0.581835,0.779682
11417225.284114,0.579943,0.779682
11417240.149903,0.554399,0.788250
11417253.790747,0.558184,0.787026
11417269.178644,0.559130,0.787026
11417284.275143,0.552507,0.787026
11417300.273950,0.552507,0.789474
11417315.509231,0.559130,0.791922
11417329.333929,0.562914,0.793146
11417360.529640,0.562914,0.798042
11417374.402533,0.576159,0.804162
11417390.256310,0.566698,0.790698
11417405.878040,0.575213,0.795594
11417425.791763,0.565752,0.785802
11417436.712739,0.578051,0.773562
11417450.960924,0.668874,0.713586
11417464.179619,0.665090,0.709914
11417479.650518,0.674551,0.708690
11417509.400393,0.685903,0.703794
11417526.466621,0.684957,0.696450
11417541.315899,0.678335,0.705018
11417555.678769,0.670766,0.703794
11417570.190685,0.672658,0.691554
11417584.342481,0.673605,0.701346
11417598.555413,0.673605,0.703794
11417614.282010,0.672658,0.697674
11417629.121025,0.678335,0.691554
11417660.883022,0.686850,0.705018
11417675.708650,0.686850,0.711138
11417690.911355,0.689688,0.717258
11417708.857133,0.689688,0.714810
11417719.452349,0.689688,0.698898
11417734.147226,0.692526,0.689106
11417749.143766,0.698202,0.675643
11417764.113977,0.656575,0.624235
11417779.234126,0.618732,0.570379
11417811.098314,0.573321,0.496940
11417825.825767,0.460738,0.312118
11417841.912039,0.453169,0.301102
11417854.387289,0.452223,0.293758
11417869.141517,0.457900,0.287638
11417884.737364,0.453169,0.285190
11417899.301938,0.447493,0.274174
11417914.761234,0.454115,0.271726
11417930.121464,0.455061,0.271726
11417961.171253,0.455061,0.266830
11417975.544833,0.452223,0.268054
11417991.127293,0.454115,0.271726
11418004.165705,0.455061,0.271726
11418019.491128,0.455061,0.272950
11418034.513996,0.455061,0.274174
11418049.540434,0.454115,0.280294
11418066.051532,0.453169,0.286414
11418081.302877,0.458846,0.288862
11418110.709589,0.466414,0.291310
11418125.509334,0.481552,0.293758
11418139.753949,0.508988,0.292534
11418156.464519,0.538316,0.310894
11418170.154004,0.530747,0.309670
11418184.573994,0.534532,0.310894
11418200.573247,0.535478,0.305998
11418215.254737,0.533586,0.305998
11418228.775095,0.531693,0.304774
11418260.683461,0.536424,0.302326
11418274.613473,0.540208,0.301102
11418291.423556,0.543046,0.302326
11418307.227800,0.543992,0.304774
11418319.777127,0.548723,0.310894
11418335.643846,0.547777,0.310894
11418349.597062,0.547777,0.312118
11418363.975105,0.545885,0.312118
11418379.386653,0.550615,0.317013
11418409.631414,0.576159,0.319461
11418427.218857,0.572375,0.325581
11418442.517951,0.613056,0.343941
11418459.968397,0.628193,0.341493
11418469.014247,0.661306,0.347613
11418484.702914,0.672658,0.352509
11418499.135399,0.674551,0.356181
11418514.168530,0.695364,0.368421
11418529.345353,0.684011,0.365973
11418560.741875,0.708609,0.451652
11418577.339991,0.710501,0.458996
11418590.493088,0.709555,0.450428
11418606.954207,0.710501,0.485924
11418619.517813,0.716178,0.505508
11418633.907458,0.718070,0.507956
11418649.136938,0.727531,0.481028
11418664.297696,0.730369,0.472460
11418679.737358,0.727531,0.494492
11418711.403412,0.699149,0.528764
11418725.250868,0.727531,0.474908
11418740.624485,0.686850,0.543452
11418755.977129,0.620624,0.694002
11418768.700046,0.611164,0.713586
11418784.239220,0.614002,0.700122
11418799.194258,0.603595,0.717258
11418814.122076,0.602649,0.711138
11418830.094555,0.602649,0.745410
11418859.979196,0.594134,0.752754
11418875.302834,0.593188,0.757650
11418890.837992,0.595080,0.762546
11418903.659975,0.593188,0.763770
11418919.092497,0.615894,0.725826
11418934.913698,0.620624,0.724602
11418953.600691,0.611164,0.761322
11418980.156338,0.572375,0.791922
11419010.489456,0.530747,0.774786
11419025.728307,0.521287,0.809058
11419039.679738,0.406812,0.778458
11419057.737524,0.404920,0.774786
11419070.862955,0.380322,0.760098
11419084.744326,0.352886,0.767442
11419101.423658,0.344371,0.767442
11419114.633429,0.341533,0.773562
11419129.390781,0.338694,0.793146
11419160.533835,0.334910,0.794370
11419176.151102,0.334910,0.791922
11419191.533198,0.333964,0.790698
11419206.189252,0.323557,0.756426
11419219.781902,0.271523,0.789474
11419235.129637,0.291391,0.776010
11419249.546949,0.242195,0.839657
11419263.997283,0.233680,0.855569
11419279.261570,0.249763,0.844553
11419309.531768,0.250710,0.842105
11419326.821565,0.263955,0.838433
11419342.240699,0.263955,0.839657
11419357.097563,0.275307,0.783354
11419370.841937,0.259224,0.790698
11419383.542987,0.263009,0.779682
11419398.766219,0.260170,0.802938
11419413.630670,0.261116,0.810282
11419429.045788,0.247871,0.815178
11419460.880970,0.234626,0.820073
