tstamp,gaze_x,gaze_y
11424679.534762,0.565752,0.291310
11424711.043738,0.563860,0.296206
11424724.005842,0.561968,0.299878
11424740.263026,0.554399,0.318237
11424754.480867,0.549669,0.331701
11424770.028966,0.553453,0.328029
11424783.868390,0.553453,0.332925
11424799.085821,0.572375,0.329253
11424814.495137,0.600757,0.352509
11424830.220843,0.623463,0.374541
11424863.679913,0.669820,0.428397
11424874.620970,0.676443,0.441860
11424889.783959,0.711447,0.465116
11424905.222728,0.712394,0.467564
11424920.797602,0.709555,0.454100
11424934.229603,0.712394,0.462668
11424949.703180,0.714286,0.461444
11424965.653793,0.715232,0.461444
11424978.666769,0.715232,0.462668
11425010.202966,0.699149,0.531212
11425024.201700,0.707663,0.500612
11425040.964034,0.695364,0.528764
11425056.107834,0.679281,0.559364
11425071.414515,0.670766,0.569155
11425085.871097,0.672658,0.565483
11425099.827883,0.676443,0.550796
11425113.653027,0.678335,0.547124
11425129.099382,0.676443,0.554468
11425159.262034,0.670766,0.544676
11425175.621409,0.668874,0.552020
11425191.808532,0.670766,0.550796
11425204.911650,0.674551,0.552020
11425222.120676,0.677389,0.554468
11425234.680713,0.677389,0.556916
11425248.990926,0.674551,0.560588
11425264.298499,0.671712,0.566707
11425279.191510,0.664144,0.571603
11425310.208276,0.623463,0.642595
11425325.212848,0.607379,0.687882
11425340.443220,0.585620,0.728274
11425357.648231,0.583728,0.729498
11425371.143153,0.582781,0.729498
11425383.649640,0.577105,0.740514
11425399.434696,0.574267,0.749082
11425413.752049,0.569536,0.757650
11425428.546439,0.567644,0.769890
11425461.986321,0.562914,0.780906
11425475.333089,0.562914,0.778458
11425490.694658,0.538316,0.784578
11425505.190509,0.514664,0.777234
11425520.478001,0.486282,0.766218
11425534.144727,0.484390,0.762546
11425548.700822,0.464522,0.755202
11425564.188232,0.457900,0.747858
11425579.485095,0.457900,0.746634
11425609.999389,0.435194,0.766218
11425623.845952,0.431410,0.777234
11425640.007193,0.434248,0.777234
11425654.489658,0.433302,0.784578
11425669.580355,0.428571,0.790698
11425683.841927,0.434248,0.791922
11425699.858138,0.446547,0.779682
11425714.701169,0.439924,0.798042
11425733.260090,0.433302,0.872705
11425760.078575,0.438032,0.858017
11425773.925585,0.438032,0.844553
11425789.281798,0.439924,0.835985
11425804.897281,0.443709,0.828641
11425819.935321,0.441816,0.821297
11425833.897909,0.442763,0.812729
11425849.952497,0.441816,0.816401
11425864.596502,0.445601,0.807834
11425878.746513,0.454115,0.813953
11425910.135003,0.458846,0.802938
11425923.657146,0.461684,0.798042
11425955.908675,0.458846,0.850673
11425974.095426,0.458846,0.839657
11425986.787552,0.649953,0.634027
11425998.972296,0.653737,0.629131
11426013.560966,0.684011,0.600979
11426028.368744,0.689688,0.593635
11426059.131150,0.709555,0.558140
11426075.941233,0.708609,0.554468
11426091.258177,0.713340,0.548348
11426106.226603,0.711447,0.545900
11426121.297219,0.708609,0.544676
11426133.988006,0.715232,0.541004
11426148.509293,0.716178,0.545900
11426163.579463,0.715232,0.545900
11426179.225290,0.716178,0.545900
11426210.184045,0.713340,0.561812
11426225.301071,0.719016,0.556916
11426240.448441,0.722800,0.550796
11426256.388791,0.719016,0.544676
11426270.370567,0.711447,0.547124
11426283.800337,0.710501,0.547124
11426299.595657,0.710501,0.547124
11426313.784045,0.711447,0.545900
11426329.244233,0.716178,0.534884
11426360.828179,0.719016,0.523868
11426373.285133,0.719016,0.521420
11426390.039435,0.714286,0.520196
11426405.319340,0.713340,0.520196
11426418.214061,0.710501,0.526316
11426433.875507,0.710501,0.525092
11426449.184865,0.710501,0.522644
11426463.692765,0.706717,0.534884
11426479.683540,0.711447,0.536108
11426509.487857,0.714286,0.538556
11426523.923912,0.703879,0.552020
11426553.822386,0.673605,0.548348
11426570.273241,0.683065,0.554468
11426584.336680,0.545885,0.549572
11426598.564338,0.495743,0.536108
11426614.904970,0.405866,0.514076
11426629.076847,0.380322,0.525092
11426659.929841,0.362346,0.522644
11426674.048615,0.358562,0.526316
11426690.035374,0.318827,0.542228
11426705.377754,0.319773,0.539780
11426720.646057,0.321665,0.532436
11426734.106172,0.343425,0.427173
11426749.867577,0.352886,0.348837
11426764.133165,0.351939,0.335373
11426778.525934,0.357616,0.292534
11426809.759130,0.357616,0.269278
11426824.338429,0.354778,0.261934
11426841.285063,0.362346,0.258262
11426856.874663,0.360454,0.266830
11426871.251367,0.361400,0.271726
11426886.747256,0.365184,0.272950
11426899.136827,0.372753,0.272950
11426913.342172,0.365184,0.279070
11426928.630110,0.358562,0.303550
11426959.318440,0.357616,0.303550
11426974.797817,0.357616,0.304774
11426992.481203,0.355724,0.310894
11427004.428990,0.354778,0.312118
11427021.484508,0.350047,0.305998
11427034.018663,0.346263,0.291310
11427048.595285,0.347209,0.285190
11427063.839491,0.342479,0.283966
11427078.886010,0.353832,0.288862
11427110.732794,0.364238,0.292534
11427124.871649,0.384106,0.302326
11427139.745024,0.403974,0.287638
11427155.011096,0.421949,0.288862
11427170.532867,0.432356,0.255814
11427183.689980,0.432356,0.255814
11427198.640557,0.444655,0.266830
11427213.794174,0.445601,0.268054
11427229.417689,0.448439,0.280294
11427261.094007,0.456008,0.281518
11427273.627270,0.460738,0.283966
11427289.800113,0.483444,0.186047
11427304.897504,0.481552,0.164015
11427319.547757,0.483444,0.161567
11427333.714279,0.483444,0.156671
11427349.442215,0.484390,0.155447
11427363.892549,0.486282,0.151775
11427380.056468,0.493851,0.148103
11427409.558230,0.495743,0.146879
11427424.055420,0.495743,0.148103
11427440.184978,0.496689,0.149327
11427454.069472,0.499527,0.154223
11427469.415422,0.497635,0.152999
11427485.994350,0.494797,0.151775
11427499.316574,0.493851,0.152999
11427515.464428,0.495743,0.155447
11427529.031642,0.495743,0.148103
11427560.266177,0.505203,0.154223
11427574.449656,0.504257,0.154223
