tstamp,gaze_x,gaze_y
11590076.275025,0.752129,0.582619
11590092.609856,0.753075,0.588739
11590107.778200,0.752129,0.599755
11590121.384237,0.754967,0.608323
11590153.124368,0.764428,0.603427
11590166.557262,0.771996,0.602203
11590183.401259,0.771996,0.588739
11590200.059618,0.777673,0.564259
11590212.364403,0.780511,0.561812
11590228.354285,0.784295,0.561812
11590241.867950,0.784295,0.567931
11590257.947974,0.782403,0.574051
11590278.467252,0.784295,0.572827
11590304.533814,0.784295,0.572827
11590319.295628,0.774834,0.577723
11590334.773220,0.767266,0.586291
11590346.534923,0.771996,0.582619
11590361.700143,0.770104,0.585067
11590378.979230,0.761589,0.592411
11590391.005557,0.759697,0.588739
11590406.467085,0.760643,0.588739
11590421.556889,0.772942,0.571603
11590453.507203,0.778619,0.559364
11590470.125846,0.779565,0.555692
11590482.951399,0.782403,0.547124
11590496.715407,0.779565,0.550796
11590511.955597,0.758751,0.552020
11590526.123904,0.453169,0.642595
11590541.832652,0.393567,0.651163
11590556.635966,0.360454,0.687882
11590571.445529,0.346263,0.687882
11590604.152675,0.343425,0.674419
11590617.678834,0.333964,0.660955
11590632.956508,0.334910,0.647491
11590646.075245,0.333964,0.638923
11590661.174421,0.337748,0.635251
11590676.481994,0.336802,0.641371
11590691.533868,0.340587,0.641371
11590706.636613,0.338694,0.635251
11590724.324908,0.339640,0.635251
11590761.358854,0.335856,0.627907
11590779.979357,0.335856,0.640147
11590795.502466,0.349101,0.727050
11590803.124792,0.346263,0.718482
11590816.143124,0.346263,0.719706
11590827.595578,0.348155,0.766218
11590841.821897,0.348155,0.768666
11590858.116566,0.348155,0.762546
11590872.030066,0.350047,0.746634
11590902.654583,0.350047,0.725826
11590917.895665,0.355724,0.724602
11590932.483889,0.366131,0.725826
11590949.056569,0.421949,0.739290
11590961.883461,0.442763,0.742962
11590976.886694,0.479659,0.758874
11590992.026478,0.482498,0.763770
11591006.985533,0.495743,0.771114
11591021.480492,0.519395,0.769890
11591052.695392,0.512772,0.779682
11591066.914125,0.514664,0.779682
11591083.774633,0.516556,0.794370
11591099.545856,0.514664,0.809058
11591111.993885,0.529801,0.837209
11591127.476386,0.521287,0.826193
11591141.865138,0.513718,0.833537
11591156.464519,0.501419,0.831089
11591171.365562,0.499527,0.837209
11591203.262771,0.496689,0.828641
11591220.992121,0.494797,0.840881
11591234.789151,0.492904,0.839657
11591249.534900,0.474929,0.869033
11591264.100812,0.479659,0.859241
