tstamp,gaze_x,gaze_y
10756745.570675,0.841060,0.346389
10756759.772897,0.838221,0.350061
10756792.221220,0.812677,0.357405
10756804.375619,0.759697,0.347613
10756820.904567,0.657521,0.359853
10756835.630682,0.576159,0.379437
10756848.872136,0.508042,0.381885
10756865.291753,0.511826,0.384333
10756879.790729,0.475875,0.383109
10756894.051408,0.477767,0.380661
10756911.263112,0.476821,0.385557
10756942.850181,0.479659,0.364749
10756955.960886,0.477767,0.368421
10756970.554911,0.484390,0.339045
10756983.939164,0.485336,0.343941
10757000.173143,0.488174,0.353733
10757014.502545,0.489120,0.361077
10757029.314339,0.491012,0.379437
10757046.688922,0.487228,0.391677
10757062.266474,0.480605,0.384333
10757093.753584,0.487228,0.397797
10757104.802632,0.482498,0.390453
10757118.457310,0.476821,0.379437
10757134.693967,0.481552,0.381885
10757149.364747,0.487228,0.381885
10757164.659825,0.489120,0.388005
10757179.862529,0.488174,0.386781
10757196.349084,0.488174,0.383109
10757210.517391,0.495743,0.373317
10757242.843889,0.503311,0.367197
10757253.886244,0.523179,0.391677
10757269.819453,0.536424,0.414933
10757284.676764,0.546831,0.419829
10757299.293994,0.609272,0.474908
10757315.214263,0.619678,0.467564
10757331.919031,0.619678,0.467564
10757346.707620,0.620624,0.467564
10757361.268177,0.607379,0.468788
10757390.892211,0.599811,0.466340
10757404.329567,0.596973,0.473684
10757419.301116,0.400189,0.351285
10757434.149056,0.395459,0.354957
10757450.507538,0.370861,0.374541
10757465.893650,0.359508,0.373317
10757478.919567,0.358562,0.375765
10757495.807743,0.358562,0.374541
10757510.619983,0.346263,0.374541
10757541.027624,0.344371,0.383109
10757554.765750,0.333964,0.373317
10757568.880954,0.330180,0.369645
10757585.421950,0.332072,0.372093
10757600.758083,0.334910,0.373317
10757613.750978,0.342479,0.365973
10757629.661429,0.340587,0.363525
10757645.230502,0.338694,0.362301
10757659.904851,0.340587,0.361077
10757691.452205,0.338694,0.357405
10757704.836904,0.338694,0.354957
10757720.945934,0.337748,0.348837
10757734.321262,0.337748,0.348837
10757749.050947,0.333018,0.353733
10757764.624928,0.334910,0.353733
10757779.146216,0.338694,0.368421
10757795.081210,0.339640,0.368421
10757811.294216,0.340587,0.368421
10757844.142822,0.341533,0.369645
10757854.693860,0.339640,0.375765
10757869.802407,0.338694,0.376989
10757884.027387,0.302744,0.406365
10757899.517028,0.282876,0.428397
10757914.505089,0.263955,0.446756
10757929.805522,0.258278,0.460220
10757949.580462,0.258278,0.466340
10757962.541228,0.254494,0.465116
10757992.545016,0.251656,0.473684
10758004.830166,0.252602,0.470012
10758018.637013,0.254494,0.468788
10758034.139149,0.255440,0.471236
10758050.216496,0.256386,0.477356
10758064.167035,0.257332,0.481028
10758080.180569,0.258278,0.479804
10758097.188339,0.259224,0.479804
10758110.203100,0.260170,0.483476
10758141.869601,0.257332,0.479804
10758153.756699,0.254494,0.476132
10758169.122283,0.252602,0.471236
10758184.486083,0.250710,0.468788
10758198.881529,0.254494,0.470012
10758215.620659,0.263955,0.476132
10758230.908151,0.263955,0.478580
10758244.357109,0.271523,0.460220
10758260.092632,0.312204,0.381885
