tstamp,gaze_x,gaze_y
10768942.162070,0.460738,0.402693
10768954.610546,0.458846,0.400245
10768968.772605,0.456954,0.397797
10768984.162287,0.457900,0.401469
10768998.005281,0.460738,0.412485
10769013.943399,0.488174,0.429621
10769029.663749,0.505203,0.441860
10769044.330067,0.501419,0.439412
10769060.286927,0.553453,0.500612
10769090.241629,0.580889,0.494492
10769105.164538,0.574267,0.496940
10769120.106635,0.580889,0.487148
10769133.206183,0.577105,0.484700
10769149.098338,0.597919,0.470012
10769164.791467,0.601703,0.454100
10769179.490360,0.597919,0.451652
10769198.449563,0.595080,0.452876
10769209.284860,0.596026,0.447980
10769240.737163,0.592242,0.447980
10769254.705551,0.596973,0.451652
10769268.385665,0.600757,0.450428
10769284.693275,0.621570,0.438188
10769315.064324,0.646168,0.429621
10769330.270153,0.660360,0.427173
10769358.187742,0.698202,0.408813
10769405.232322,0.712394,0.397797
10769420.171296,0.712394,0.395349
10769434.975950,0.721854,0.384333
10769448.925150,0.735099,0.380661
10769464.003798,0.741722,0.378213
10769478.937863,0.751183,0.376989
10769493.348036,0.751183,0.376989
10769508.749320,0.751183,0.373317
10769541.264134,0.755913,0.372093
10769557.291502,0.734153,0.383109
10769572.140780,0.695364,0.406365
10769583.440618,0.667928,0.439412
10769599.011922,0.660360,0.450428
10769614.159739,0.649953,0.457772
10769628.337417,0.646168,0.463892
10769643.802515,0.645222,0.466340
10769660.182416,0.643330,0.458996
10769694.260430,0.634816,0.479804
10769707.582209,0.626301,0.492044
10769717.773126,0.623463,0.492044
10769734.200776,0.621570,0.494492
10769748.916627,0.617786,0.492044
10769762.824326,0.587512,0.489596
10769778.737454,0.558184,0.504284
10769794.458697,0.561022,0.515300
10769809.087976,0.554399,0.515300
10769841.473825,0.554399,0.507956
10769854.484570,0.554399,0.517748
10769868.616285,0.542100,0.507956
10769883.825684,0.537370,0.505508
10769898.934677,0.528855,0.512852
10769913.940141,0.528855,0.507956
10769931.002353,0.525071,0.505508
10769945.046157,0.524125,0.507956
10769959.250610,0.521287,0.510404
10769990.086201,0.523179,0.510404
10770005.025621,0.525071,0.511628
10770021.380533,0.526963,0.506732
10770033.299761,0.527909,0.506732
10770049.216905,0.526017,0.505508
10770064.601679,0.514664,0.504284
10770078.905198,0.504257,0.485924
10770093.695126,0.488174,0.478580
10770108.905863,0.414380,0.468788
10770140.876704,0.390728,0.468788
10770155.075802,0.364238,0.481028
10770169.001797,0.273415,0.505508
10770184.582026,0.273415,0.504284
10770201.210933,0.274361,0.498164
10770214.032916,0.275307,0.492044
10770229.065601,0.277200,0.494492
10770244.238854,0.283822,0.492044
10770257.995722,0.286660,0.490820
10770290.864856,0.289499,0.489596
10770305.203629,0.289499,0.495716
10770322.305110,0.287606,0.494492
10770335.249364,0.288552,0.496940
10770348.460028,0.278146,0.488372
10770364.066139,0.277200,0.487148
10770379.148358,0.278146,0.487148
10770392.994921,0.277200,0.484700
10770409.025412,0.276254,0.485924
10770441.411708,0.278146,0.484700
10770457.690312,0.277200,0.482252
10770471.799714,0.275307,0.482252
10770483.417726,0.274361,0.484700
10770499.104608,0.274361,0.487148
10770514.081958,0.269631,0.481028
10770529.759915,0.266793,0.468788
10770544.353941,0.266793,0.471236
10770559.786016,0.270577,0.474908
10770591.830041,0.275307,0.463892
10770606.402647,0.277200,0.465116
10770618.507067,0.277200,0.466340
10770633.689690,0.279092,0.471236
10770648.990123,0.290445,0.472460
10770663.033035,0.285714,0.476132
10770679.155899,0.275307,0.482252
