tstamp,gaze_x,gaze_y
10876844.899209,0.831599,0.379437
10876859.141592,0.833491,0.383109
10876875.311312,0.835383,0.384333
10876890.845132,0.833491,0.341493
10876905.325365,0.833491,0.318237
10876936.687079,0.832545,0.314565
10876948.824968,0.828761,0.329253
10876963.933515,0.830653,0.334149
10876979.525792,0.828761,0.354957
10876993.937750,0.827815,0.373317
10877010.448401,0.834437,0.369645
10877029.620910,0.835383,0.370869
10877038.740837,0.833491,0.372093
10877055.425078,0.833491,0.378213
10877085.749718,0.833491,0.381885
10877099.106750,0.833491,0.378213
10877114.986856,0.833491,0.378213
10877129.083763,0.832545,0.390453
10877145.842082,0.821192,0.400245
10877159.351730,0.810785,0.406365
10877174.066242,0.819300,0.403917
10877189.207365,0.809839,0.418605
10877204.782239,0.720908,0.577723
10877236.221600,0.721854,0.588739
10877251.699639,0.709555,0.648715
10877264.119108,0.709555,0.647491
10877280.085340,0.731315,0.636475
10877294.266588,0.729423,0.632803
10877308.924873,0.731315,0.638923
10877324.407374,0.730369,0.640147
10877339.506104,0.729423,0.638923
10877355.091242,0.727531,0.643819
10877386.514092,0.733207,0.640147
10877399.717616,0.735099,0.636475
10877414.991274,0.738884,0.632803
10877429.738362,0.737938,0.635251
10877443.704965,0.736045,0.637699
10877458.616718,0.733207,0.638923
10877474.008631,0.724693,0.640147
10877490.039122,0.719962,0.641371
10877537.579036,0.725639,0.624235
10877549.827593,0.751183,0.621787
10877564.390381,0.838221,0.485924
10877579.202621,0.877010,0.417381
10877609.199270,0.895932,0.391677
10877624.893291,0.895932,0.390453
10877642.657894,0.904447,0.389229
10877656.173343,0.906339,0.388005
10877687.245445,0.893094,0.444308
10877699.506497,0.899716,0.424725
10877714.765875,0.899716,0.424725
10877728.937752,0.894986,0.430845
10877744.063702,0.882687,0.443084
10877758.714401,0.880795,0.436965
10877775.264323,0.880795,0.435741
10877790.295669,0.880795,0.433293
10877804.356877,0.878903,0.425949
10877836.885971,0.851466,0.399021
10877864.140439,0.687796,0.396573
10877879.812595,0.581835,0.401469
10877894.055425,0.517502,0.406365
10877910.399180,0.375591,0.418605
10877925.179290,0.186377,0.432069
10877938.299366,0.184484,0.432069
10877954.757807,0.183538,0.427173
10877985.515305,0.181646,0.425949
10877998.903574,0.182592,0.424725
10878014.758244,0.183538,0.455324
10878029.362087,0.184484,0.488372
10878045.580001,0.184484,0.492044
10878059.307864,0.184484,0.495716
10878073.674750,0.186377,0.500612
10878088.937252,0.185430,0.501836
10878104.953909,0.186377,0.505508
10878137.319678,0.189215,0.507956
10878152.463924,0.195837,0.511628
10878164.641528,0.446547,0.587515
10878179.917418,0.513718,0.611995
10878194.518583,0.583728,0.638923
10878208.725267,0.619678,0.651163
10878224.169838,0.620624,0.654835
10878239.951323,0.607379,0.673195
10878254.790338,0.616840,0.663403
10878288.398008,0.614002,0.670747
10878299.072210,0.612110,0.679315
10878313.643031,0.612110,0.673195
10878329.137134,0.606433,0.670747
10878343.458950,0.602649,0.658507
10878358.910214,0.608325,0.660955
10878374.339612,0.610218,0.659731
10878389.120168,0.612110,0.660955
10878407.571990,0.613056,0.660955
10878436.182598,0.614002,0.669523
10878449.423606,0.613056,0.669523
10878464.376414,0.614002,0.669523
10878478.402815,0.617786,0.664627
10878494.086126,0.622517,0.652387
10878509.237959,0.619678,0.653611
10878524.072065,0.619678,0.651163
10878540.119067,0.617786,0.637699
10878556.023271,0.596026,0.600979
10878587.126609,0.564806,0.552020
10878599.397033,0.530747,0.488372
10878613.544366,0.496689,0.406365
10878628.977780,0.497635,0.401469
10878644.568273,0.495743,0.397797
10878659.032887,0.496689,0.403917
10878675.683660,0.495743,0.400245
10878689.869370,0.497635,0.390453
10878704.127373,0.498581,0.392901
10878736.394967,0.497635,0.392901
10878748.222268,0.496689,0.390453
10878765.496446,0.491958,0.390453
10878779.858424,0.489120,0.388005
10878794.619792,0.489120,0.383109
10878810.251339,0.490066,0.384333
10878824.070682,0.493851,0.388005
10878838.815985,0.494797,0.390453
10878855.233817,0.492904,0.380661
10878885.105963,0.491012,0.374541
10878899.384939,0.489120,0.374541
10878914.539450,0.483444,0.353733
10878929.764913,0.488174,0.369645
10878945.083196,0.488174,0.372093
10878959.318440,0.489120,0.374541
10878973.504597,0.491012,0.375765
10878988.707302,0.493851,0.376989
10879005.817708,0.495743,0.376989
10879037.044656,0.498581,0.378213
