tstamp,gaze_x,gaze_y
10886113.928361,0.336802,0.424725
10886127.877561,0.320719,0.396573
10886143.306512,0.326395,0.414933
10886159.126375,0.301798,0.369645
10886173.838656,0.300851,0.370869
10886193.370839,0.296121,0.358629
10886206.033512,0.286660,0.350061
10886235.972595,0.283822,0.341493
10886249.890112,0.285714,0.335373
10886262.759843,0.288552,0.328029
10886278.445833,0.289499,0.321909
10886294.360300,0.288552,0.317013
10886308.835624,0.285714,0.313341
10886327.135275,0.284768,0.320685
10886339.423102,0.285714,0.328029
10886353.158551,0.295175,0.326805
10886398.912588,0.295175,0.341493
10886414.771721,0.306528,0.347613
10886446.117371,0.345317,0.403917
10886459.333389,0.343425,0.392901
10886488.188094,0.342479,0.378213
10886503.700940,0.333964,0.361077
10886535.588333,0.333964,0.364749
10886549.862846,0.338694,0.373317
10886564.828595,0.350993,0.390453
10886578.946922,0.353832,0.374541
10886593.669020,0.357616,0.359853
10886608.621828,0.365184,0.353733
10886623.523763,0.373699,0.359853
10886638.251662,0.469253,0.348837
10886653.969781,0.502365,0.343941
10886686.915669,0.555345,0.339045
10886701.659633,0.558184,0.337821
10886715.596338,0.561968,0.339045
10886728.828868,0.563860,0.347613
10886743.830316,0.564806,0.347613
10886758.412293,0.564806,0.348837
10886773.401246,0.564806,0.357405
10886788.942652,0.564806,0.363525
10886803.479111,0.560076,0.367197
10886836.604836,0.557237,0.367197
10886849.759719,0.556291,0.353733
10886864.998124,0.554399,0.346389
10886878.719738,0.547777,0.352509
10886893.211574,0.546831,0.362301
10886908.434806,0.544939,0.363525
10886924.164974,0.544939,0.363525
10886938.914293,0.544939,0.365973
10886954.901498,0.547777,0.380661
10886985.967798,0.545885,0.373317
10886999.885315,0.547777,0.376989
10887015.100515,0.544939,0.368421
10887027.851098,0.541154,0.361077
10887043.550921,0.540208,0.359853
10887059.090542,0.535478,0.365973
10887073.545339,0.534532,0.365973
