tstamp,gaze_x,gaze_y
10892084.888017,0.169347,0.417381
10892099.341475,0.177862,0.410037
10892113.995744,0.162725,0.434517
10892128.399669,0.155156,0.450428
10892143.295803,0.145695,0.473684
10892158.312869,0.131504,0.507956
10892174.418330,0.138127,0.518972
10892190.111459,0.139073,0.517748
10892203.226626,0.135289,0.511628
10892234.531221,0.140019,0.522644
10892248.281396,0.140019,0.520196
10892264.867016,0.139073,0.520196
10892281.891743,0.140019,0.514076
10892293.412474,0.136235,0.510404
10892309.750874,0.135289,0.511628
10892324.501978,0.136235,0.518972
10892338.000917,0.135289,0.516524
10892355.638339,0.137181,0.517748
10892383.999050,0.160833,0.511628
10892399.983578,0.195837,0.504284
10892414.954681,0.221381,0.487148
10892431.191784,0.276254,0.443084
10892444.487681,0.305582,0.450428
10892458.435542,0.321665,0.432069
10892473.346849,0.336802,0.410037
10892488.585700,0.352886,0.411261
10892503.179725,0.362346,0.406365
10892534.823021,0.363292,0.396573
10892552.129775,0.365184,0.391677
10892565.288228,0.368969,0.386781
10892581.565047,0.368023,0.386781
10892593.692671,0.366131,0.389229
10892607.854731,0.367077,0.390453
10892623.171675,0.369915,0.400245
10892638.265496,0.367077,0.401469
10892653.042928,0.361400,0.397797
10892685.274823,0.364238,0.390453
10892700.131241,0.366131,0.341493
10892715.535649,0.365184,0.361077
10892729.674950,0.365184,0.362301
10892742.476406,0.366131,0.356181
10892758.391766,0.366131,0.376989
10892773.333863,0.367077,0.386781
10892788.155474,0.367077,0.388005
