tstamp,gaze_x,gaze_y
10894498.923432,0.824976,0.376989
10894514.724999,0.825922,0.373317
10894530.032571,0.823084,0.379437
10894542.541290,0.815516,0.389229
10894558.126428,0.813623,0.392901
10894573.965479,0.811731,0.396573
10894588.335489,0.811731,0.395349
10894604.261113,0.811731,0.396573
10894633.900318,0.809839,0.400245
10894649.515355,0.811731,0.395349
10894664.850148,0.813623,0.395349
10894677.770306,0.814570,0.394125
10894693.301001,0.814570,0.401469
10894710.050395,0.815516,0.402693
10894724.194604,0.815516,0.407589
10894739.682907,0.815516,0.408813
10894754.306384,0.822138,0.416157
10894784.707332,0.841060,0.449204
10894799.777056,0.842006,0.451652
10894813.806134,0.853359,0.450428
10894829.086932,0.863765,0.466340
10894845.869347,0.866604,0.473684
10894860.661506,0.867550,0.476132
10894874.119390,0.867550,0.473684
10894888.605870,0.865658,0.470012
10894902.874136,0.866604,0.468788
10894934.317514,0.864711,0.465116
10894949.285493,0.832545,0.452876
10894965.251279,0.826868,0.449204
10894981.483919,0.779565,0.419829
10894995.025697,0.766320,0.411261
10895009.048082,0.737938,0.405141
10895022.937485,0.722800,0.396573
10895037.865302,0.722800,0.395349
10895054.611126,0.722800,0.389229
10895084.304327,0.724693,0.383109
10895100.799360,0.722800,0.385557
10895118.232848,0.720908,0.390453
10895130.351548,0.720908,0.383109
10895143.586309,0.719962,0.384333
10895159.029540,0.718070,0.386781
10895172.706977,0.716178,0.392901
10895188.199295,0.715232,0.396573
10895203.412264,0.706717,0.412485
10895235.597302,0.670766,0.455324
10895251.475177,0.634816,0.511628
10895264.590344,0.612110,0.542228
10895279.764043,0.607379,0.542228
10895293.789105,0.590350,0.556916
10895308.005160,0.583728,0.561812
10895324.424332,0.547777,0.591187
10895338.664484,0.562914,0.572827
10895353.332587,0.490066,0.598531
10895385.733608,0.468307,0.597307
10895398.664475,0.470199,0.597307
10895414.786447,0.466414,0.596083
10895429.770491,0.422895,0.596083
10895442.941439,0.421949,0.594859
10895458.227145,0.421003,0.596083
10895473.842182,0.421949,0.597307
10895489.022128,0.419111,0.605875
10895504.711687,0.415326,0.608323
10895533.922051,0.408704,0.609547
10895549.747269,0.399243,0.608323
10895564.788433,0.399243,0.607099
10895578.462745,0.396405,0.607099
10895593.392794,0.397351,0.607099
10895609.517889,0.398297,0.614443
10895626.706835,0.409650,0.616891
10895639.293646,0.412488,0.616891
10895653.651608,0.414380,0.619339
10895684.459532,0.414380,0.615667
10895698.264594,0.415326,0.603427
10895715.135366,0.253548,0.376989
10895729.703956,0.250710,0.373317
10895747.069169,0.250710,0.363525
10895758.485477,0.245033,0.358629
10895778.478632,0.243141,0.361077
10895788.532998,0.245979,0.356181
10895802.714692,0.246925,0.361077
10895834.139328,0.239357,0.372093
10895850.283165,0.235572,0.365973
10895866.894222,0.238411,0.364749
10895881.334739,0.241249,0.362301
10895894.331651,0.245979,0.365973
10895908.278174,0.245033,0.364749
10895923.564327,0.246925,0.362301
10895937.311377,0.247871,0.362301
10895953.029496,0.263009,0.369645
10895984.089995,0.270577,0.372093
10896000.682310,0.269631,0.372093
10896015.753372,0.262062,0.367197
10896030.065371,0.260170,0.368421
10896043.541996,0.260170,0.367197
10896058.335048,0.257332,0.365973
10896072.738080,0.253548,0.367197
10896088.107681,0.250710,0.367197
10896103.339838,0.248817,0.367197
