tstamp,mouse_x,mouse_y
1429995924044,0.319773,0.50918
1429995924143,0.323557,0.505508
1429995924237,0.337748,0.493268
1429995924317,0.352886,0.482252
1429995924415,0.389782,0.462668
1429995924509,0.435194,0.418605
1429995924606,0.474929,0.365973
1429995924705,0.503311,0.326805
1429995924780,0.51561,0.305998
1429995924877,0.525071,0.271726
1429995924976,0.527909,0.238678
1429995925068,0.525071,0.225214
1429995925149,0.521287,0.228886
1429995925248,0.512772,0.246022
1429995925341,0.498581,0.27907
1429995925438,0.481552,0.334149
1429995925504,0.470199,0.378213
1429995925579,0.461684,0.429621
1429995925677,0.455061,0.5153
1429995925775,0.449385,0.602203
1429995925869,0.450331,0.659731
1429995925981,0.454115,0.689106
1429995926075,0.4579,0.70869
1429995926141,0.459792,0.722154
1429995926238,0.463576,0.75153
1429995926332,0.469253,0.761322
1429995926411,0.475875,0.756426
1429995926509,0.491012,0.73317
1429995926608,0.508988,0.690331
1429995926699,0.520341,0.634027
1429995926781,0.528855,0.596083
1429995926881,0.554399,0.529988
1429995926974,0.582781,0.462668
1429995927070,0.596973,0.422277
1429995927164,0.601703,0.407589
1429995927244,0.610218,0.402693
1429995927311,0.630085,0.400245
1429995927412,0.66036,0.410037
1429995927513,0.670766,0.419829
