tstamp,mouse_x,mouse_y
1429995940157,0.613056,0.329253
1429995940253,0.604541,0.331701
1429995940365,0.58562,0.341493
1429995940463,0.560076,0.376989
1429995940555,0.53264,0.457772
1429995940621,0.51088,0.52754
1429995940719,0.48439,0.610771
1429995940795,0.46736,0.647491
1429995940892,0.441816,0.686659
1429995940990,0.423841,0.724602
1429995941084,0.40965,0.741738
1429995941149,0.405866,0.735618
1429995941229,0.40965,0.723378
1429995941323,0.421949,0.698898
1429995941420,0.446547,0.681763
1429995941518,0.479659,0.671971
1429995941596,0.499527,0.674419
1429995941692,0.521287,0.695226
1429995941789,0.535478,0.72093
1429995941884,0.543046,0.728274
1429995941981,0.53737,0.724602
1429995942061,0.527909,0.716034
1429995942155,0.495743,0.691554
1429995942254,0.454115,0.669523
1429995942351,0.43141,0.654835
1429995942427,0.426679,0.648715
1429995942491,0.424787,0.645043
1429995942589,0.420057,0.642595
1429995942684,0.415326,0.630355
1429995942781,0.410596,0.618115
1429995942861,0.407758,0.607099
1429995942955,0.407758,0.589963
1429995943052,0.410596,0.559364
1429995943150,0.420057,0.494492
1429995943259,0.433302,0.432069
1429995943356,0.447493,0.385557
1429995943455,0.461684,0.350061
1429995943548,0.474929,0.321909
1429995943660,0.48439,0.298654
1429995943722,0.48912,0.287638
1429995943818,0.494797,0.275398
1429995943918,0.500473,0.259486
1429995944017,0.511826,0.241126
1429995944092,0.523179,0.228886
1429995944188,0.533586,0.222766
1429995944288,0.526963,0.233782
1429995944381,0.51561,0.264382
1429995944493,0.501419,0.318237
1429995944588,0.487228,0.389229
1429995944685,0.474929,0.457772
1429995944782,0.469253,0.500612
1429995944891,0.468307,0.536108
1429995944956,0.470199,0.561812
1429995945055,0.476821,0.598531
1429995945149,0.480605,0.637699
1429995945244,0.485336,0.684211
1429995945326,0.48912,0.70257
1429995945419,0.488174,0.703794
1429995945486,0.480605,0.695226
1429995945583,0.465468,0.671971
1429995945675,0.453169,0.640147
1429995945755,0.446547,0.619339
1429995945853,0.433302,0.593635
1429995945947,0.422895,0.574051
1429995946044,0.421949,0.556916
1429995946125,0.421949,0.548348
1429995946187,0.421949,0.542228
1429995946284,0.423841,0.534884
1429995946382,0.423841,0.528764
1429995946476,0.423841,0.52142
1429995946555,0.425733,0.5153
1429995946653,0.429518,0.506732
1429995946719,0.43141,0.49694
1429995946813,0.434248,0.44186
1429995946908,0.434248,0.386781
1429995946991,0.434248,0.362301
1429995947084,0.435194,0.337821
1429995947182,0.434248,0.324357
1429995947275,0.43141,0.315789
