tstamp,mouse_x,mouse_y
1429996004910,0.385998,0.281518
1429996004987,0.38789,0.287638
1429996005084,0.394513,0.296206
1429996005182,0.402081,0.30355
1429996005276,0.411542,0.310894
1429996005388,0.428571,0.317013
1429996005453,0.445601,0.326805
1429996005550,0.483444,0.373317
1429996005647,0.539262,0.449204
1429996005743,0.586566,0.494492
1429996005819,0.602649,0.510404
1429996005919,0.61211,0.52142
1429996006015,0.61684,0.52754
1429996006107,0.62157,0.534884
1429996006171,0.624409,0.541004
1429996006252,0.629139,0.555692
1429996006347,0.641438,0.585067
1429996006446,0.662252,0.608323
1429996006544,0.689688,0.619339
1429996006620,0.705771,0.624235
1429996006719,0.708609,0.625459
1429996006813,0.684011,0.620563
1429996006907,0.646168,0.614443
1429996007003,0.61211,0.613219
1429996007085,0.592242,0.614443
1429996007179,0.56859,0.615667
1429996007276,0.556291,0.619339
1429996007340,0.551561,0.621787
1429996007451,0.550615,0.614443
1429996007548,0.557237,0.587515
1429996007646,0.576159,0.534884
1429996007739,0.59508,0.4847
1429996007852,0.611164,0.456548
1429996007947,0.628193,0.443084
1429996008044,0.648061,0.429621
1429996008140,0.66982,0.417381
