tstamp,mouse_x,mouse_y
1429996016608,0.600757,0.446756
1429996016698,0.599811,0.44798
1429996016861,0.598865,0.450428
1429996016939,0.597919,0.452876
1429996017035,0.59035,0.4541
1429996017133,0.570482,0.4541
1429996017228,0.543046,0.455324
1429996017293,0.526017,0.46022
1429996017372,0.514664,0.467564
1429996017467,0.500473,0.492044
1429996017563,0.446547,0.574051
1429996017667,0.366131,0.635251
1429996017740,0.333018,0.648715
1429996017835,0.327342,0.670747
1429996017932,0.345317,0.71481
1429996017999,0.35667,0.73929
1429996018092,0.375591,0.747858
1429996018173,0.389782,0.746634
1429996018267,0.403974,0.744186
1429996018362,0.408704,0.73317
1429996018461,0.401135,0.698898
1429996018526,0.392621,0.657283
1429996018603,0.381268,0.605875
1429996018700,0.360454,0.52754
1429996018798,0.337748,0.47246
1429996018893,0.324503,0.432069
1429996018973,0.324503,0.421053
1429996019070,0.33491,0.425949
1429996019163,0.359508,0.458996
1429996019228,0.385052,0.49694
1429996019326,0.427625,0.572827
1429996019403,0.4579,0.607099
1429996019499,0.492904,0.627907
1429996019597,0.509934,0.637699
1429996019693,0.51561,0.637699
1429996019805,0.51561,0.629131
1429996019898,0.513718,0.620563
1429996019995,0.51088,0.608323
1429996020093,0.511826,0.592411
1429996020203,0.521287,0.559364
1429996020299,0.53737,0.505508
1429996020397,0.557237,0.449204
1429996020492,0.574267,0.414933
1429996020604,0.584674,0.391677
