tstamp,mouse_x,mouse_y
1429995464207,0.280984,0.181151
1429995464282,0.280038,0.183599
1429995464347,0.280984,0.184823
1429995464445,0.28666,0.187271
1429995464539,0.295175,0.197062
1429995464652,0.31315,0.212974
1429995464752,0.363292,0.23011
1429995464843,0.437086,0.259486
1429995464940,0.498581,0.307222
1429995465052,0.530747,0.370869
1429995465147,0.548723,0.434517
1429995465244,0.565752,0.485924
1429995465340,0.579943,0.52754
1429995465437,0.587512,0.554468
1429995465518,0.594134,0.561812
1429995465579,0.604541,0.560588
1429995465675,0.61684,0.554468
1429995465773,0.617786,0.543452
1429995465884,0.614948,0.534884
1429995465979,0.615894,0.53366
1429995466077,0.61684,0.538556
1429995466173,0.623463,0.5459
1429995466285,0.633869,0.554468
1429995466378,0.649007,0.55814
1429995466475,0.66036,0.560588
1429995466572,0.659413,0.563035
1429995466668,0.655629,0.564259
1429995466747,0.651845,0.566707
1429995466812,0.648061,0.574051
1429995466911,0.64333,0.596083
1429995467005,0.637654,0.635251
1429995467116,0.633869,0.681763
1429995467211,0.632923,0.717258
1429995467307,0.636708,0.740514
1429995467374,0.640492,0.752754
1429995467468,0.645222,0.764994
1429995467547,0.647114,0.768666
1429995467644,0.650899,0.768666
1429995467739,0.651845,0.76989
