tstamp,mouse_x,mouse_y
1429995503070,0.527909,0.777234
1429995503164,0.526963,0.783354
1429995503262,0.526963,0.77601
1429995503344,0.525071,0.766218
1429995503435,0.518448,0.740514
1429995503533,0.505203,0.691554
1429995503598,0.498581,0.643819
1429995503692,0.491012,0.559364
1429995503774,0.485336,0.494492
1429995503869,0.480605,0.395349
1429995503963,0.482498,0.307222
1429995504061,0.48439,0.257038
1429995504143,0.485336,0.24847
1429995504235,0.482498,0.25459
1429995504332,0.478713,0.265606
1429995504430,0.473037,0.27295
1429995504524,0.472091,0.27907
1429995504604,0.472091,0.283966
1429995504702,0.471145,0.287638
1429995504795,0.469253,0.288862
1429995504861,0.46736,0.292534
1429995504977,0.468307,0.294982
1429995505067,0.469253,0.298654
1429995505164,0.472091,0.302326
1429995505263,0.473983,0.30355
1429995505357,0.473983,0.302326
1429995505501,0.473037,0.302326
1429995505595,0.471145,0.299878
1429995505694,0.469253,0.301102
1429995505809,0.464522,0.310894
1429995505900,0.438978,0.357405
1429995505997,0.377483,0.449204
1429995506096,0.319773,0.522644
1429995506156,0.298013,0.560588
1429995506236,0.287606,0.598531
1429995506334,0.274361,0.664627
1429995506428,0.265847,0.73317
1429995506525,0.262062,0.78213
1429995506635,0.26017,0.812729
1429995506731,0.26017,0.834761
1429995506796,0.258278,0.838433
1429995506895,0.261116,0.826193
1429995506986,0.295175,0.798042
1429995507105,0.335856,0.777234
1429995507195,0.434248,0.729498
1429995507294,0.493851,0.69645
1429995507357,0.526017,0.681763
1429995507435,0.555345,0.674419
1429995507530,0.593188,0.678091
1429995507628,0.623463,0.692778
1429995507723,0.636708,0.72093
1429995507818,0.633869,0.762546
1429995507900,0.632923,0.787026
1429995507995,0.639546,0.804162
1429995508060,0.644276,0.807834
