tstamp,mouse_x,mouse_y
1429995530075,0.336802,0.310894
1429995530270,0.33491,0.290086
1429995530365,0.336802,0.215422
1429995530460,0.33018,0.171359
1429995530541,0.324503,0.166463
1429995530635,0.316935,0.164015
1429995530733,0.298959,0.170135
1429995530831,0.280038,0.177479
1429995530907,0.271523,0.183599
1429995531004,0.268685,0.195838
1429995531070,0.28193,0.21175
1429995531176,0.33018,0.249694
1429995531261,0.393567,0.318237
1429995531342,0.438978,0.365973
1429995531435,0.493851,0.425949
1429995531533,0.540208,0.482252
1429995531631,0.582781,0.529988
1429995531738,0.603595,0.565483
1429995531803,0.609272,0.576499
1429995531902,0.614948,0.583843
1429995531995,0.615894,0.588739
1429995532091,0.614948,0.583843
1429995532173,0.61684,0.577723
1429995532241,0.626301,0.565483
1429995532343,0.650899,0.55814
1429995532438,0.692526,0.556916
1429995532539,0.712394,0.567931
