tstamp,mouse_x,mouse_y
1429995645072,0.670766,0.22399
1429995645165,0.666036,0.241126
1429995645262,0.666036,0.24847
1429995645344,0.666982,0.257038
1429995645435,0.66982,0.277846
1429995645533,0.674551,0.308446
1429995645632,0.68685,0.362301
1429995645707,0.701041,0.403917
1429995645804,0.720908,0.470012
1429995645899,0.736991,0.522644
1429995645964,0.741722,0.541004
1429995646061,0.743614,0.554468
1429995646144,0.74456,0.555692
1429995646235,0.745506,0.554468
1429995646333,0.742668,0.55202
1429995646431,0.73983,0.547124
1429995646545,0.733207,0.550796
1429995646637,0.721854,0.559364
1429995646731,0.704825,0.565483
1429995646829,0.684957,0.571603
1429995646941,0.653737,0.588739
1429995647035,0.601703,0.632803
1429995647132,0.550615,0.681763
1429995647198,0.534532,0.711138
1429995647291,0.528855,0.746634
1429995647371,0.528855,0.760098
1429995647469,0.530747,0.773562
1429995647564,0.535478,0.77601
1429995647661,0.540208,0.774786
1429995647777,0.5421,0.766218
1429995647835,0.53737,0.746634
1429995647932,0.521287,0.690331
1429995648030,0.498581,0.632803
1429995648125,0.477767,0.574051
1429995648204,0.472091,0.522644
1429995648301,0.478713,0.421053
1429995648396,0.491012,0.334149
1429995648461,0.495743,0.292534
1429995648560,0.495743,0.261934
1429995648635,0.493851,0.26071
1429995648732,0.493851,0.274174
1429995648830,0.497635,0.296206
1429995648923,0.504257,0.318237
1429995649003,0.508042,0.326805
1429995649068,0.508988,0.332925
1429995649163,0.504257,0.341493
1429995649259,0.492904,0.351285
1429995649356,0.472091,0.367197
1429995649435,0.452223,0.396573
1429995649531,0.422895,0.461444
1429995649629,0.400189,0.531212
1429995649695,0.389782,0.572827
1429995649787,0.371807,0.626683
1429995649868,0.355724,0.648715
1429995649967,0.312204,0.670747
1429995650061,0.261116,0.711138
1429995650157,0.242195,0.756426
1429995650238,0.235572,0.778458
1429995650331,0.222327,0.804162
1429995650429,0.220435,0.815178
1429995650523,0.269631,0.811505
1429995650619,0.3614,0.784578
1429995650701,0.413434,0.761322
1429995650799,0.463576,0.735618
1429995650892,0.498581,0.717258
1429995650956,0.516556,0.706242
1429995651067,0.536424,0.689106
1429995651164,0.557237,0.665851
1429995651262,0.602649,0.616891
1429995651355,0.671712,0.559364
1429995651467,0.720908,0.512852
1429995651532,0.733207,0.481028
1429995651632,0.741722,0.424725
1429995651723,0.743614,0.385557
1429995651820,0.737938,0.374541
1429995651899,0.733207,0.373317
1429995651996,0.724693,0.383109
1429995652093,0.712394,0.402693
1429995652187,0.701987,0.417381
1429995652300,0.692526,0.430845
1429995652397,0.679281,0.44186
1429995652493,0.66036,0.444308
1429995652588,0.633869,0.443084
1429995652703,0.597919,0.433293
1429995652796,0.553453,0.411261
1429995652892,0.506149,0.388005
1429995652998,0.472091,0.370869
1429995653098,0.463576,0.354957
1429995653199,0.474929,0.356181
1429995653291,0.499527,0.375765
1429995653387,0.5421,0.413709
1429995653452,0.578051,0.450428
1429995653531,0.614002,0.485924
1429995653628,0.66036,0.534884
1429995653726,0.68685,0.571603
1429995653819,0.69158,0.588739
1429995653915,0.68685,0.596083
1429995653996,0.680227,0.604651
1429995654072,0.672658,0.618115
1429995654155,0.649953,0.637699
1429995654252,0.593188,0.653611
1429995654363,0.508042,0.674419
1429995654460,0.451277,0.689106
