tstamp,mouse_x,mouse_y
1429995704763,0.565752,0.310894
1429995704861,0.564806,0.312118
1429995704972,0.561968,0.308446
1429995705067,0.558184,0.307222
1429995705166,0.546831,0.30967
1429995705228,0.528855,0.310894
1429995705325,0.498581,0.314565
1429995705408,0.485336,0.315789
1429995705500,0.475875,0.317013
1429995705597,0.473037,0.315789
1429995705694,0.472091,0.314565
1429995705802,0.472091,0.320685
1429995705867,0.470199,0.329253
1429995705964,0.450331,0.370869
1429995706060,0.421949,0.440636
1429995706156,0.395459,0.494492
1429995706237,0.380322,0.517748
1429995706331,0.362346,0.537332
1429995706428,0.350993,0.554468
1429995706493,0.347209,0.563035
1429995706587,0.347209,0.566707
1429995706666,0.348155,0.564259
1429995706764,0.358562,0.566707
1429995706860,0.386944,0.586291
1429995706956,0.432356,0.615667
1429995707036,0.46263,0.637699
1429995707130,0.497635,0.665851
1429995707196,0.512772,0.682987
1429995707293,0.530747,0.705018
1429995707386,0.539262,0.717258
1429995707466,0.540208,0.717258
