tstamp,mouse_x,mouse_y
1429995794061,0.478713,0.695226
1429995794155,0.477767,0.692778
1429995794271,0.478713,0.689106
1429995794367,0.481552,0.689106
1429995794458,0.481552,0.685435
1429995794522,0.482498,0.682987
1429995794620,0.494797,0.645043
1429995794705,0.518448,0.556916
1429995794796,0.558184,0.435741
1429995794892,0.591296,0.391677
1429995794987,0.615894,0.364749
1429995795101,0.627247,0.339045
1429995795199,0.634816,0.324357
1429995795292,0.646168,0.339045
1429995795389,0.705771,0.343941
1429995795504,0.785241,0.331701
1429995795595,0.802271,0.336597
1429995795694,0.779565,0.353733
1429995795787,0.750237,0.400245
1429995795883,0.716178,0.481028
1429995795970,0.687796,0.53978
1429995796058,0.636708,0.611995
1429995796154,0.603595,0.653611
1429995796252,0.593188,0.671971
1429995796341,0.59035,0.676867
1429995796396,0.58562,0.679315
1429995796491,0.572375,0.676867
1429995796587,0.554399,0.676867
1429995796683,0.545885,0.681763
1429995796765,0.546831,0.682987
1429995796858,0.547777,0.681763
1429995796954,0.547777,0.675643
1429995797019,0.546831,0.664627
1429995797119,0.541154,0.627907
1429995797195,0.535478,0.597307
1429995797291,0.528855,0.553244
1429995797391,0.526963,0.522644
1429995797483,0.522233,0.514076
1429995797565,0.519395,0.510404
1429995797664,0.541154,0.47246
1429995797754,0.604541,0.370869
1429995797851,0.661306,0.281518
1429995797947,0.69631,0.237454
1429995798027,0.716178,0.21787
1429995798123,0.732261,0.200734
1429995798218,0.731315,0.195838
1429995798282,0.719016,0.210526
1429995798397,0.680227,0.27295
1429995798497,0.625355,0.358629
1429995798586,0.562914,0.44186
1429995798683,0.507096,0.520196
1429995798797,0.46736,0.588739
1429995798894,0.445601,0.645043
1429995798995,0.432356,0.690331
1429995799083,0.419111,0.724602
1429995799181,0.384106,0.750306
1429995799264,0.352886,0.761322
1429995799355,0.331126,0.773562
1429995799452,0.335856,0.774786
