tstamp,mouse_x,mouse_y
1429995306398,0.192053,0.296206
1429995306491,0.193945,0.30355
1429995306588,0.20246,0.314565
1429995306670,0.216651,0.323133
1429995306763,0.261116,0.339045
1429995306859,0.318827,0.353733
1429995306958,0.373699,0.372093
1429995307034,0.407758,0.392901
1429995307098,0.438032,0.416157
1429995307196,0.473983,0.436965
1429995307291,0.503311,0.445532
1429995307389,0.536424,0.462668
1429995307469,0.555345,0.47858
1429995307563,0.574267,0.500612
1429995307659,0.587512,0.518972
1429995307757,0.600757,0.534884
1429995307866,0.609272,0.531212
1429995307964,0.614948,0.501836
1429995308062,0.626301,0.455324
1429995308156,0.640492,0.408813
1429995308222,0.650899,0.388005
1429995308301,0.659413,0.379437
1429995308394,0.672658,0.380661
1429995308492,0.685903,0.392901
1429995308590,0.699149,0.416157
1429995308666,0.716178,0.433293
1429995308763,0.760643,0.457772
1429995308861,0.811731,0.474908
1429995308923,0.842006,0.482252
1429995309020,0.876064,0.4847
1429995309100,0.891201,0.4847
1429995309194,0.896878,0.4847
1429995309292,0.878903,0.47858
1429995309390,0.807947,0.457772
1429995309499,0.682119,0.427173
1429995309564,0.59035,0.410037
1429995309661,0.468307,0.396573
1429995309757,0.376537,0.394125
1429995309854,0.323557,0.396573
1429995309933,0.306528,0.397797
1429995310027,0.300851,0.401469
1429995310125,0.304636,0.403917
1429995310223,0.309366,0.401469
