tstamp,gaze_x,gaze_y
21740231.045148,0.547777,0.257038
21740241.434645,0.548723,0.252142
21740259.408983,0.547777,0.252142
21740274.264062,0.545885,0.253366
21740289.135207,0.545885,0.257038
21740306.391535,0.545885,0.260710
21740321.946328,0.546831,0.264382
21740331.878423,0.546831,0.265606
21740349.089681,0.546831,0.263158
21740377.520453,0.546831,0.265606
21740393.829401,0.547777,0.263158
21740411.118752,0.547777,0.259486
21740423.595341,0.546831,0.253366
21740440.594185,0.550615,0.257038
21740456.925446,0.561968,0.280294
21740466.625939,0.557237,0.326805
21740485.305792,0.564806,0.351285
21740499.312112,0.568590,0.374541
21740530.222672,0.567644,0.388005
21740544.323150,0.588458,0.493268
21740557.659655,0.589404,0.492044
21740575.048964,0.589404,0.493268
21740591.344972,0.591296,0.495716
21740602.795195,0.592242,0.500612
21740620.674037,0.590350,0.504284
21740635.862908,0.588458,0.504284
21740646.519706,0.587512,0.511628
21740680.322832,0.590350,0.522644
21740693.014958,0.594134,0.528764
21740712.120529,0.599811,0.528764
21740724.866204,0.598865,0.527540
21740737.439629,0.604541,0.520196
21740755.112304,0.610218,0.517748
21740770.675576,0.609272,0.523868
21740781.580041,0.608325,0.525092
21740799.170161,0.606433,0.527540
21740828.853099,0.601703,0.536108
21740845.393649,0.599811,0.539780
21740859.616398,0.596973,0.545900
21740872.030959,0.590350,0.554468
21740889.599659,0.570482,0.581395
21740905.432464,0.566698,0.597307
21740917.068325,0.563860,0.600979
21740935.953005,0.558184,0.600979
21740950.433684,0.558184,0.615667
21740981.306760,0.555345,0.605875
21740994.393367,0.548723,0.615667
21741006.710646,0.546831,0.619339
21741023.945108,0.549669,0.619339
21741040.320547,0.550615,0.624235
21741053.439730,0.547777,0.626683
21741071.326604,0.545885,0.630355
21741087.402612,0.546831,0.635251
21741096.737184,0.546831,0.637699
21741132.373042,0.544939,0.637699
21741142.472925,0.544939,0.637699
21741159.227673,0.540208,0.635251
21741174.958733,0.540208,0.634027
21741188.212683,0.540208,0.634027
21741207.287909,0.543992,0.632803
21741222.387532,0.545885,0.631579
21741231.931839,0.546831,0.632803
21741249.427801,0.545885,0.631579
21741277.471232,0.551561,0.630355
21741294.115311,0.551561,0.629131
21741309.651808,0.552507,0.632803
21741324.304738,0.552507,0.634027
21741341.178187,0.557237,0.635251
21741356.697727,0.556291,0.635251
21741366.780653,0.546831,0.632803
21741385.884439,0.538316,0.635251
21741399.549827,0.526017,0.640147
21741429.668747,0.516556,0.637699
21741444.666179,0.507096,0.630355
21741457.709500,0.508988,0.632803
21741475.462947,0.512772,0.641371
21741490.215836,0.512772,0.641371
21741502.515265,0.508988,0.636475
21741520.602503,0.508042,0.635251
21741535.625817,0.456954,0.604651
21741546.658801,0.449385,0.602203
21741580.845252,0.442763,0.599755
21741592.368214,0.426679,0.589963
21741612.852239,0.422895,0.581395
21741624.488100,0.403027,0.554468
21741637.616208,0.401135,0.552020
21741655.593224,0.394513,0.542228
21741670.864650,0.391675,0.537332
21741682.044449,0.390728,0.534884
21741699.504712,0.388836,0.527540
21741728.199215,0.389782,0.528764
21741745.310067,0.388836,0.523868
21741759.344054,0.386944,0.526316
21741771.967458,0.381268,0.536108
21741789.254131,0.382214,0.534884
21741804.941013,0.381268,0.532436
21741819.435526,0.378430,0.528764
21741836.472748,0.378430,0.528764
21741853.067293,0.379376,0.529988
21741880.996039,0.380322,0.527540
21741894.436519,0.384106,0.523868
21741906.213394,0.385052,0.525092
21741923.917753,0.387890,0.531212
21741941.822477,0.386944,0.528764
21741954.058539,0.386944,0.528764
21741971.507200,0.385998,0.527540
21741987.250309,0.385052,0.527540
21741996.592466,0.382214,0.527540
21742030.320177,0.381268,0.527540
21742041.345574,0.385052,0.528764
21742059.061982,0.490066,0.511628
21742074.560994,0.571429,0.485924
21742089.092546,0.585620,0.484700
21742107.415848,0.602649,0.484700
21742121.860381,0.604541,0.485924
21742131.741604,0.605487,0.487148
21742149.177323,0.603595,0.492044
21742177.341240,0.609272,0.493268
21742193.841182,0.607379,0.492044
21742209.881044,0.607379,0.492044
21742223.047529,0.609272,0.490820
21742242.193263,0.611164,0.489596
21742255.841247,0.614002,0.489596
21742267.295933,0.617786,0.495716
21742285.435382,0.619678,0.506732
21742299.470708,0.620624,0.509180
21742330.090762,0.622517,0.515300
21742344.670954,0.621570,0.509180
21742357.443850,0.621570,0.509180
21742375.263787,0.620624,0.510404
21742389.129986,0.620624,0.510404
21742402.804298,0.621570,0.515300
21742420.564885,0.618732,0.514076
21742435.470390,0.619678,0.511628
21742447.001384,0.620624,0.509180
21742480.617087,0.620624,0.509180
21742492.546578,0.618732,0.507956
21742509.698485,0.621570,0.512852
21742524.251456,0.620624,0.510404
21742537.623660,0.621570,0.515300
21742555.201286,0.626301,0.514076
21742570.255391,0.627247,0.511628
21742582.467802,0.624409,0.509180
21742599.545186,0.622517,0.498164
21742627.589509,0.601703,0.358629
21742644.014482,0.601703,0.373317
21742659.288140,0.600757,0.368421
21742671.730368,0.596973,0.342717
