tstamp,gaze_x,gaze_y
21827015.704285,0.355724,0.422277
21827030.411657,0.357616,0.424725
21827043.131896,0.361400,0.427173
21827077.582972,0.365184,0.422277
21827090.606212,0.364238,0.425949
21827107.647003,0.525071,0.353733
21827121.383791,0.539262,0.343941
21827132.880424,0.541154,0.341493
21827150.410747,0.548723,0.337821
21827165.283676,0.550615,0.340269
21827177.808906,0.552507,0.337821
21827194.816229,0.554399,0.340269
21827225.833889,0.554399,0.343941
21827242.106245,0.554399,0.345165
21827258.221523,0.551561,0.343941
21827267.849278,0.554399,0.346389
21827285.097128,0.551561,0.343941
21827300.269488,0.553453,0.339045
21827312.432812,0.556291,0.325581
21827331.511163,0.554399,0.326805
21827345.509896,0.554399,0.323133
21827378.816351,0.555345,0.308446
21827393.349241,0.557237,0.307222
21827402.788234,0.556291,0.305998
21827420.186022,0.557237,0.305998
21827435.361060,0.558184,0.304774
21827447.717608,0.558184,0.304774
21827465.035519,0.558184,0.305998
21827480.657249,0.557237,0.302326
21827494.736753,0.556291,0.299878
21827528.264992,0.556291,0.302326
21827537.919968,0.556291,0.305998
21827556.034427,0.556291,0.304774
21827570.525816,0.557237,0.304774
21827584.663778,0.557237,0.303550
21827600.170823,0.557237,0.302326
21827619.056841,0.556291,0.301102
21827630.170149,0.559130,0.305998
21827646.218936,0.563860,0.310894
21827674.605976,0.629139,0.450428
21827691.633827,0.624409,0.430845
21827706.574139,0.631977,0.429621
21827717.944484,0.627247,0.427173
21827735.401177,0.642384,0.479804
21827751.381243,0.658467,0.467564
21827762.675726,0.658467,0.471236
21827780.961098,0.657521,0.474908
21827795.249891,0.655629,0.489596
21827827.368439,0.653737,0.483476
21827841.545671,0.653737,0.487148
21827853.595202,0.664144,0.455324
21827870.656521,0.666982,0.444308
21827887.027052,0.670766,0.439412
21827897.815939,0.673605,0.430845
21827915.362327,0.670766,0.428397
21827930.507466,0.669820,0.435741
21827942.515943,0.669820,0.427173
21827977.236551,0.658467,0.428397
21827990.985387,0.657521,0.427173
21828007.229183,0.655629,0.429621
21828022.166818,0.652791,0.432069
21828032.691528,0.646168,0.439412
21828050.235239,0.632923,0.451652
21828065.474982,0.607379,0.457772
21828077.430356,0.609272,0.457772
21828095.485018,0.605487,0.460220
21828125.591443,0.596973,0.466340
21828142.997264,0.596973,0.465116
21828167.380139,0.572375,0.493268
21828185.052815,0.565752,0.505508
21828212.809310,0.554399,0.528764
21828230.081257,0.527909,0.598531
21828277.776464,0.506149,0.630355
21828292.394140,0.508042,0.631579
21828302.644855,0.508042,0.635251
21828320.252825,0.512772,0.648715
21828335.479627,0.510880,0.649939
21828347.698286,0.511826,0.653611
21828365.206297,0.512772,0.652387
21828380.808839,0.513718,0.645043
21828394.390778,0.512772,0.643819
21828427.639667,0.495743,0.637699
21828437.587381,0.504257,0.634027
21828456.165936,0.483444,0.629131
21828470.259273,0.443709,0.615667
21828482.880446,0.430464,0.613219
21828500.485292,0.422895,0.614443
21828516.490794,0.422895,0.624235
