tstamp,gaze_x,gaze_y
22247401.482072,0.677389,0.689106
22247411.789013,0.677389,0.695226
22247430.046271,0.691580,0.690331
22247446.153070,0.684957,0.675643
22247457.561347,0.687796,0.679315
22247477.411256,0.691580,0.685435
22247503.934327,0.686850,0.681763
22247521.561932,0.689688,0.690331
22247536.665570,0.698202,0.703794
22247547.205006,0.687796,0.705018
22247565.221737,0.561968,0.773562
22247581.066590,0.564806,0.773562
22247592.955027,0.568590,0.774786
22247611.915568,0.566698,0.774786
22247626.484604,0.541154,0.793146
22247656.478576,0.517502,0.801714
22247671.696453,0.541154,0.807834
22247682.343434,0.543046,0.807834
22247701.748882,0.530747,0.815178
22247717.101526,0.519395,0.817625
22247726.882790,0.519395,0.817625
22247746.525641,0.519395,0.818849
22247761.411511,0.513718,0.813953
22247772.890294,0.510880,0.812729
22247806.594800,0.499527,0.798042
22247819.147251,0.497635,0.799266
22247837.977489,0.481552,0.796818
22247854.155687,0.482498,0.796818
22247862.754399,0.479659,0.795594
22247881.653359,0.479659,0.793146
22247896.470061,0.468307,0.795594
22247908.194726,0.467360,0.795594
22247925.571094,0.467360,0.795594
22247955.853787,0.472091,0.796818
22247972.799974,0.473983,0.800490
22247988.313713,0.473037,0.799266
22247998.249377,0.471145,0.795594
22248018.288495,0.470199,0.795594
22248031.415264,0.467360,0.793146
22248041.939527,0.466414,0.794370
22248060.556906,0.466414,0.793146
22248075.745331,0.467360,0.793146
22248107.335078,0.466414,0.793146
22248123.276319,0.467360,0.793146
22248133.413687,0.464522,0.795594
22248152.351917,0.464522,0.796818
22248166.779939,0.462630,0.795594
22248177.201119,0.467360,0.791922
22248195.884988,0.471145,0.790698
22248211.360796,0.472091,0.789474
22248223.309476,0.473037,0.785802
22248258.276857,0.473037,0.787026
22248269.000592,0.472091,0.787026
22248286.740205,0.484390,0.750306
22248302.393618,0.500473,0.711138
22248312.287336,0.501419,0.701346
22248330.522728,0.501419,0.682987
22248346.370704,0.499527,0.680539
22248357.891435,0.499527,0.679315
22248376.855100,0.502365,0.679315
22248403.674032,0.501419,0.674419
22248421.814820,0.503311,0.671971
22248436.892129,0.503311,0.673195
22248447.472619,0.503311,0.673195
22248467.904880,0.503311,0.673195
22248481.651931,0.502365,0.678091
22248492.343536,0.501419,0.680539
22248511.784685,0.498581,0.680539
22248526.252869,0.498581,0.680539
22248556.859982,0.495743,0.680539
22248572.306783,0.496689,0.681763
22248584.728930,0.497635,0.681763
22248602.811706,0.495743,0.678091
22248618.627553,0.494797,0.676867
22248628.546707,0.495743,0.676867
22248646.359504,0.495743,0.674419
22248660.380996,0.496689,0.671971
22248671.675926,0.496689,0.670747
