tstamp,gaze_x,gaze_y
22296406.805339,0.695364,0.443084
22296418.945905,0.699149,0.444308
22296436.226331,0.696310,0.446756
22296447.754201,0.697256,0.458996
22296458.950956,0.701987,0.457772
22296478.205128,0.694418,0.506732
22296492.885279,0.686850,0.567931
22296506.741214,0.683065,0.592411
22296523.775758,0.680227,0.603427
22296552.416712,0.662252,0.723378
22296570.158109,0.665090,0.719706
22296584.444225,0.664144,0.720930
22296594.678875,0.662252,0.723378
22296613.111061,0.665090,0.720930
22296628.069223,0.664144,0.720930
22296640.078147,0.662252,0.736842
22296658.805302,0.661306,0.740514
22296674.728694,0.659413,0.750306
22296708.904435,0.653737,0.779682
22296719.418435,0.653737,0.784578
22296730.117626,0.650899,0.799266
22296748.419509,0.651845,0.805386
22296766.548248,0.654683,0.806610
22296776.751214,0.655629,0.807834
22296794.618007,0.657521,0.810282
22296809.554749,0.657521,0.809058
22296820.476171,0.657521,0.807834
22296855.367691,0.656575,0.804162
22296864.439870,0.651845,0.807834
22296883.919395,0.651845,0.807834
22296898.622751,0.650899,0.812729
22296910.273339,0.648061,0.820073
22296929.577490,0.651845,0.821297
22296944.833744,0.651845,0.816401
22296955.004134,0.653737,0.813953
22296973.477376,0.656575,0.812729
22297001.543118,0.660360,0.821297
22297018.908331,0.664144,0.817625
22297034.988801,0.662252,0.811505
22297045.149374,0.663198,0.811505
22297064.779731,0.663198,0.811505
22297078.701710,0.652791,0.805386
22297089.464268,0.653737,0.804162
22297108.233371,0.655629,0.807834
22297123.519523,0.659413,0.811505
22297155.563995,0.659413,0.813953
22297170.921101,0.664144,0.820073
22297181.362808,0.620624,0.789474
22297199.118932,0.595080,0.763770
22297212.776288,0.578997,0.750306
22297224.301480,0.578051,0.752754
22297243.552974,0.571429,0.747858
22297258.212598,0.571429,0.747858
22297272.388937,0.565752,0.745410
22297306.546829,0.568590,0.746634
22297316.130852,0.568590,0.745410
22297335.483644,0.574267,0.749082
22297348.516255,0.578997,0.745410
22297359.669724,0.579943,0.745410
22297378.441504,0.578051,0.745410
22297393.481776,0.575213,0.741738
22297405.352809,0.575213,0.741738
