tstamp,gaze_x,gaze_y
22299701.784136,0.657521,0.302326
22299720.658998,0.657521,0.303550
22299736.759996,0.657521,0.303550
22299746.007103,0.657521,0.304774
22299763.316089,0.657521,0.303550
22299778.649098,0.658467,0.299878
22299789.627193,0.658467,0.299878
22299807.888021,0.659413,0.299878
22299824.645000,0.657521,0.297430
22299855.374831,0.651845,0.299878
22299870.215184,0.651845,0.294982
22299880.043750,0.575213,0.299878
22299899.118084,0.530747,0.305998
22299913.380995,0.516556,0.308446
22299924.565256,0.491958,0.312118
22299943.040282,0.473037,0.310894
22299957.923475,0.468307,0.303550
22299971.484888,0.473037,0.308446
22300005.857870,0.471145,0.302326
22300017.372352,0.472091,0.302326
22300034.360487,0.467360,0.291310
22300049.545789,0.462630,0.293758
22300061.348100,0.463576,0.294982
22300077.893559,0.459792,0.293758
22300093.616586,0.459792,0.293758
22300105.330095,0.460738,0.293758
22300124.578019,0.452223,0.291310
22300151.555814,0.451277,0.287638
22300169.127192,0.450331,0.287638
22300184.757401,0.450331,0.286414
22300194.963044,0.447493,0.283966
22300213.452350,0.449385,0.281518
22300228.724669,0.450331,0.283966
22300239.913393,0.453169,0.282742
22300259.153730,0.453169,0.282742
22300273.062322,0.451277,0.281518
22300304.362009,0.451277,0.281518
22300318.984594,0.469253,0.294982
22300330.710151,0.569536,0.374541
22300349.395359,0.610218,0.412485
22300374.555149,0.631977,0.430845
22300393.879827,0.644276,0.439412
22300408.358721,0.643330,0.438188
22300419.353327,0.644276,0.436965
22300454.969997,0.647114,0.438188
22300467.228817,0.649007,0.438188
22300485.369605,0.650899,0.444308
22300510.828826,0.643330,0.445532
22300527.882559,0.643330,0.445532
22300542.747009,0.532640,0.580171
22300554.907210,0.495743,0.609547
22300573.901220,0.464522,0.632803
22300602.622944,0.441816,0.652387
22300645.791433,0.432356,0.653611
22300663.110236,0.434248,0.664627
22300678.484299,0.444655,0.671971
22300689.678823,0.450331,0.676867
22300707.718760,0.448439,0.674419
22300723.758176,0.432356,0.662179
22300755.208247,0.419111,0.649939
22300770.435942,0.345317,0.574051
22300779.402361,0.351939,0.581395
22300799.226388,0.334910,0.565483
22300813.636114,0.335856,0.567931
22300825.224674,0.337748,0.571603
22300842.824612,0.333018,0.566707
22300858.850194,0.331126,0.564259
22300870.573520,0.332072,0.565483
22300904.967475,0.328288,0.566707
22300914.686711,0.329234,0.567931
22300936.164526,0.329234,0.554468
22300949.551902,0.329234,0.555692
22300959.822698,0.330180,0.554468
22300978.793503,0.330180,0.556916
22300994.181400,0.329234,0.555692
22301004.765460,0.329234,0.555692
22301024.291841,0.328288,0.554468
22301051.176817,0.326395,0.553244
22301069.173468,0.324503,0.549572
22301084.744326,0.323557,0.552020
22301095.686275,0.322611,0.555692
22301113.603047,0.322611,0.555692
22301129.910657,0.324503,0.553244
22301139.649527,0.325449,0.552020
22301158.602483,0.325449,0.549572
22301172.999714,0.327342,0.544676
22301204.360536,0.321665,0.531212
22301218.328033,0.318827,0.527540
22301230.560079,0.300851,0.495716
22301250.041836,0.300851,0.493268
22301266.030826,0.298013,0.492044
22301274.340370,0.304636,0.492044
22301293.540546,0.304636,0.490820
22301308.534408,0.301798,0.490820
22301321.060976,0.300851,0.489596
22301354.569580,0.298959,0.492044
22301367.585680,0.299905,0.492044
22301386.442247,0.403974,0.369645
22301401.159436,0.433302,0.335373
22301410.859483,0.473983,0.298654
22301428.037272,0.495743,0.276622
22301443.898636,0.496689,0.275398
22301455.167237,0.498581,0.274174
22301474.939054,0.499527,0.272950
22301503.125729,0.499527,0.272950
22301519.852364,0.496689,0.272950
22301536.397377,0.494797,0.271726
22301546.345536,0.498581,0.269278
22301563.115011,0.497635,0.269278
22301578.374389,0.496689,0.269278
22301589.864774,0.494797,0.268054
22301607.808321,0.499527,0.266830
22301624.000800,0.612110,0.227662
22301655.152333,0.645222,0.214198
22301679.708798,0.668874,0.203182
22301698.607757,0.668874,0.198286
22301724.971072,0.667928,0.197062
22301743.092671,0.663198,0.192166
22301759.261053,0.671712,0.198286
22301771.149043,0.670766,0.199510
22301805.127544,0.670766,0.200734
22301814.017208,0.669820,0.203182
22301834.221883,0.669820,0.204406
22301847.421837,0.667928,0.209302
22301860.839112,0.626301,0.204406
22301878.447528,0.602649,0.200734
22301894.718100,0.588458,0.199510
22301904.781391,0.567644,0.195838
22301923.673211,0.561968,0.194614
22301951.377494,0.553453,0.192166
22301968.985464,0.551561,0.192166
22301984.597377,0.551561,0.192166
22301996.235470,0.548723,0.190942
22302013.759100,0.547777,0.189718
22302029.879286,0.549669,0.190942
22302039.318279,0.530747,0.184823
22302058.352451,0.527909,0.183599
22302073.258403,0.523179,0.182375
22302103.859715,0.513718,0.178703
22302119.330167,0.509934,0.179927
22302130.758078,0.509934,0.178703
22302150.204135,0.508988,0.178703
22302166.115925,0.506149,0.181151
22302176.423312,0.506149,0.179927
22302193.216438,0.507096,0.182375
22302208.387013,0.508042,0.184823
22302220.942587,0.509934,0.184823
22302254.936260,0.510880,0.187271
22302267.284777,0.513718,0.188494
22302285.850391,0.512772,0.188494
22302300.811677,0.510880,0.188494
22302311.006610,0.510880,0.188494
22302328.074177,0.510880,0.188494
22302343.798097,0.509934,0.189718
22302355.158179,0.511826,0.188494
22302373.181158,0.510880,0.188494
22302402.593670,0.515610,0.192166
22302419.722819,0.514664,0.190942
22302435.515907,0.513718,0.190942
22302445.821063,0.514664,0.190942
22302463.167980,0.514664,0.192166
