tstamp,gaze_x,gaze_y
22328354.138060,0.336802,0.827417
22328364.436523,0.335856,0.827417
22328397.427482,0.337748,0.824969
22328411.123661,0.336802,0.828641
22328443.854904,0.337748,0.829865
22328454.862898,0.337748,0.828641
22328500.175152,0.339640,0.828641
22328517.231562,0.337748,0.828641
22328533.022865,0.331126,0.829865
22328544.292805,0.333018,0.829865
22328561.952986,0.302744,0.603427
22328577.479666,0.295175,0.542228
22328591.103106,0.294229,0.455324
22328608.112215,0.294229,0.458996
22328621.435778,0.293283,0.433293
22328667.847582,0.290445,0.243574
22328679.738696,0.293283,0.233782
22328696.864275,0.294229,0.231334
22328711.479720,0.292337,0.232558
22328725.808676,0.289499,0.231334
22328743.511696,0.288552,0.231334
22328757.807183,0.289499,0.233782
22328770.546611,0.290445,0.233782
22328805.189126,0.290445,0.228886
22328813.889582,0.292337,0.228886
22328832.048666,0.291391,0.227662
22328846.966220,0.290445,0.225214
22328860.282643,0.288552,0.221542
22328876.809806,0.289499,0.220318
22328893.091980,0.287606,0.219094
22328906.369134,0.289499,0.216646
22328925.114139,0.289499,0.215422
22328950.669302,0.291391,0.211750
22328967.226363,0.291391,0.212974
22328981.591018,0.290445,0.210526
22328995.447846,0.290445,0.205630
22329028.912717,0.290445,0.208078
22329042.236281,0.290445,0.210526
22329073.250370,0.337748,0.215422
22329116.671434,0.351939,0.226438
22329130.195362,0.380322,0.233782
22329146.986702,0.401135,0.246022
22329162.896261,0.404920,0.248470
22329176.194835,0.464522,0.269278
22329195.544503,0.516556,0.389229
22329208.468230,0.562914,0.506732
22329219.520402,0.636708,0.709914
22329252.904949,0.663198,0.757650
22329264.726449,0.667928,0.779682
22329282.010445,0.684011,0.789474
22329297.795054,0.684957,0.793146
22329311.025799,0.683065,0.795594
22329328.559692,0.683065,0.796818
22329343.040818,0.684011,0.796818
22329354.571365,0.680227,0.802938
22329372.904931,0.681173,0.800490
22329400.922480,0.663198,0.788250
22329417.552279,0.662252,0.776010
22329433.273968,0.662252,0.772338
22329444.365409,0.666982,0.763770
22329462.165265,0.666036,0.753978
22329477.796366,0.665090,0.745410
22329491.700050,0.656575,0.741738
22329507.715815,0.653737,0.744186
22329521.701161,0.649007,0.738066
22329553.687174,0.647114,0.736842
22329568.273167,0.652791,0.722154
22329580.079940,0.664144,0.668299
22329597.205073,0.673605,0.642595
22329611.829443,0.673605,0.636475
22329625.341322,0.676443,0.615667
22329642.817650,0.677389,0.613219
22329658.313092,0.678335,0.611995
22329671.056982,0.679281,0.605875
22329704.357636,0.684011,0.594859
22329714.414679,0.684957,0.596083
22329732.160093,0.680227,0.599755
22329747.137444,0.679281,0.602203
22329760.932243,0.675497,0.594859
22329778.301472,0.676443,0.593635
22329794.120889,0.674551,0.588739
22329809.125907,0.672658,0.576499
22329825.140779,0.668874,0.554468
22329850.717363,0.666982,0.543452
22329867.111098,0.665090,0.544676
22329881.723866,0.666036,0.548348
22329895.067957,0.671712,0.515300
22329912.318484,0.678335,0.498164
22329929.547145,0.688742,0.492044
22329941.543573,0.691580,0.490820
22329959.697749,0.694418,0.484700
22329973.854900,0.693472,0.484700
22330003.172808,0.698202,0.478580
22330016.586960,0.696310,0.470012
22330029.889996,0.696310,0.462668
22330047.205675,0.698202,0.467564
22330063.164321,0.698202,0.466340
22330075.990320,0.700095,0.461444
22330093.698249,0.701041,0.460220
22330109.040629,0.700095,0.461444
22330119.154792,0.701041,0.465116
22330153.260473,0.701987,0.461444
22330165.329640,0.698202,0.465116
22330182.787671,0.699149,0.455324
22330199.116255,0.696310,0.455324
22330210.416539,0.697256,0.465116
22330227.547919,0.699149,0.471236
22330242.868433,0.700095,0.466340
22330254.832731,0.700095,0.466340
22330273.108732,0.701041,0.466340
22330301.387780,0.704825,0.478580
22330318.024719,0.704825,0.478580
22330333.215822,0.704825,0.477356
22330344.646410,0.703879,0.474908
22330362.005822,0.701041,0.468788
22330377.868078,0.699149,0.465116
22330391.722674,0.696310,0.452876
22330407.621077,0.697256,0.457772
22330453.469272,0.701041,0.476132
22330467.713887,0.697256,0.478580
22330479.407314,0.508988,0.478580
22330497.148712,0.388836,0.487148
22330525.754412,0.318827,0.484700
22330542.589038,0.368969,0.309670
22330558.758758,0.413434,0.236230
22330570.496364,0.422895,0.206854
22330603.447606,0.429518,0.194614
22330615.025456,0.420057,0.210526
22330631.827953,0.410596,0.216646
22330661.058397,0.420057,0.211750
22330678.399959,0.416272,0.223990
22330693.365707,0.429518,0.232558
22330707.266266,0.444655,0.242350
22330728.100148,0.451277,0.247246
22330750.391023,0.458846,0.257038
22330766.704434,0.459792,0.282742
22330781.590304,0.463576,0.285190
22330795.368592,0.465468,0.282742
22330812.250521,0.466414,0.279070
22330828.993666,0.465468,0.281518
22330841.205631,0.464522,0.281518
22330859.001918,0.463576,0.279070
22330873.117567,0.463576,0.277846
22330902.917422,0.461684,0.274174
22330916.351208,0.462630,0.269278
22330930.328076,0.462630,0.268054
22330947.547812,0.461684,0.269278
22330963.235586,0.461684,0.269278
22330975.382399,0.462630,0.270502
22330992.446842,0.462630,0.270502
22331008.457698,0.462630,0.272950
22331019.540215,0.462630,0.271726
22331052.692268,0.462630,0.271726
22331065.465164,0.463576,0.274174
22331086.300385,0.463576,0.275398
22331098.452553,0.463576,0.287638
22331110.344560,0.461684,0.296206
22331127.364824,0.461684,0.294982
22331142.550126,0.461684,0.297430
22331154.408664,0.461684,0.296206
22331172.290629,0.460738,0.298654
22331200.815113,0.464522,0.292534
22331217.585480,0.466414,0.290086
22331233.218366,0.468307,0.283966
