tstamp,gaze_x,gaze_y
22346518.457846,0.327342,0.559364
22346531.524818,0.317881,0.541004
22346544.186599,0.310312,0.521420
22346561.090839,0.319773,0.527540
22346576.028028,0.315989,0.529988
22346589.275730,0.313150,0.532436
22346623.019951,0.362346,0.533660
22346654.947060,0.392621,0.511628
22346665.981828,0.510880,0.430845
22346678.717239,0.652791,0.346389
22346711.118707,0.714286,0.304774
22346724.248154,0.718070,0.299878
22346741.533488,0.720908,0.296206
22346757.264995,0.725639,0.298654
22346770.543041,0.726585,0.298654
22346804.880770,0.727531,0.288862
22346813.678061,0.728477,0.290086
22346830.939745,0.727531,0.301102
22346846.047399,0.726585,0.303550
22346859.211207,0.729423,0.315789
22346879.465415,0.734153,0.314565
22346892.724719,0.737938,0.315789
22346905.486459,0.742668,0.312118
22346922.337150,0.753075,0.310894
22346950.662608,0.758751,0.308446
22346966.328070,0.760643,0.307222
22346980.983678,0.757805,0.305998
22346994.950728,0.759697,0.299878
22347012.265961,0.759697,0.301102
22347027.461526,0.753075,0.308446
22347038.931384,0.753075,0.304774
22347055.910147,0.751183,0.305998
22347071.689402,0.748344,0.303550
22347103.371075,0.735099,0.297430
22347115.890504,0.705771,0.291310
22347129.907087,0.641438,0.290086
22347147.292381,0.658467,0.291310
22347162.081862,0.642384,0.293758
22347173.791800,0.585620,0.298654
22347191.036973,0.575213,0.285190
22347206.152214,0.574267,0.285190
22347219.203567,0.576159,0.294982
22347254.451191,0.561968,0.296206
22347265.106651,0.551561,0.299878
22347282.084075,0.543046,0.302326
22347296.911934,0.533586,0.303550
22347309.123899,0.525071,0.308446
22347326.247692,0.526963,0.304774
22347340.858229,0.516556,0.302326
22347357.509894,0.517502,0.299878
22347372.730895,0.517502,0.299878
22347402.906042,0.522233,0.290086
22347419.059697,0.522233,0.288862
22347431.045416,0.522233,0.290086
22347443.995025,0.528855,0.304774
22347460.928272,0.533586,0.307222
22347475.938199,0.533586,0.304774
22347489.607603,0.535478,0.302326
22347506.739429,0.534532,0.301102
22347523.391540,0.534532,0.296206
22347554.631430,0.534532,0.302326
22347566.163762,0.534532,0.303550
22347579.222256,0.536424,0.307222
22347596.221993,0.538316,0.309670
22347610.405472,0.537370,0.309670
22347624.244896,0.538316,0.308446
22347641.463740,0.538316,0.308446
22347657.110460,0.538316,0.305998
22347670.259541,0.537370,0.299878
22347703.242467,0.537370,0.301102
22347713.699347,0.537370,0.299878
22347731.236364,0.538316,0.298654
22347745.856718,0.541154,0.296206
22347759.860361,0.536424,0.318237
22347777.187642,0.533586,0.317013
22347793.581824,0.535478,0.315789
22347804.401948,0.535478,0.315789
22347821.796613,0.535478,0.317013
22347851.269815,0.526017,0.309670
22347865.520677,0.512772,0.303550
22347880.999609,0.485336,0.304774
22347894.536478,0.482498,0.304774
22347912.318484,0.464522,0.298654
22347926.809427,0.451277,0.297430
22347938.724638,0.451277,0.297430
22347955.880115,0.453169,0.299878
22347971.675435,0.452223,0.294982
22348002.475772,0.448439,0.302326
22348017.978354,0.447493,0.305998
22348029.947562,0.446547,0.309670
22348047.167298,0.450331,0.309670
22348062.000065,0.451277,0.313341
22348073.928218,0.451277,0.314565
22348090.870389,0.452223,0.313341
22348106.257840,0.453169,0.313341
22348119.456455,0.454115,0.312118
22348154.278360,0.456954,0.294982
22348165.048951,0.455061,0.301102
22348181.733192,0.454115,0.301102
22348196.140241,0.451277,0.301102
