tstamp,gaze_x,gaze_y
22398938.509994,0.667928,0.646267
22398954.573507,0.666036,0.649939
22398966.730138,0.666982,0.652387
22399000.479268,0.668874,0.687882
22399012.522106,0.668874,0.687882
22399029.648577,0.671712,0.689106
22399046.717036,0.685903,0.682987
22399057.126614,0.671712,0.694002
22399073.582823,0.677389,0.691554
22399088.374536,0.678335,0.691554
22399101.320129,0.682119,0.690331
22399119.779090,0.679281,0.684211
22399148.374527,0.684957,0.680539
22399164.083275,0.687796,0.676867
22399178.527362,0.683065,0.671971
22399191.114173,0.676443,0.651163
22399208.515532,0.645222,0.645043
22399223.400063,0.497635,0.597307
22399238.235954,0.467360,0.591187
22399255.285225,0.450331,0.583843
22399270.500425,0.431410,0.582619
22399301.941125,0.335856,0.563035
22399313.512727,0.333018,0.556916
22399326.353453,0.335856,0.538556
22399343.309011,0.333964,0.529988
22399358.524211,0.333018,0.523868
22399372.441282,0.333964,0.516524
22399389.590065,0.334910,0.518972
22399405.794146,0.333964,0.526316
22399418.347935,0.335856,0.518972
22399450.926563,0.328288,0.529988
22399461.046527,0.305582,0.527540
22399493.151241,0.315989,0.529988
22399506.788962,0.315043,0.531212
22399539.559029,0.295175,0.529988
22399551.891926,0.295175,0.525092
22399569.449025,0.290445,0.520196
22399597.482191,0.278146,0.521420
22399612.811184,0.280984,0.509180
22399628.369547,0.289499,0.500612
22399642.506617,0.299905,0.485924
22399659.369803,0.308420,0.450428
22399674.478350,0.313150,0.438188
22399687.358345,0.315043,0.432069
22399704.337108,0.318827,0.428397
22399719.617460,0.332072,0.412485
22399750.031795,0.368969,0.374541
22399763.905133,0.483444,0.309670
22399777.619162,0.507096,0.297430
22399794.818817,0.508988,0.296206
22399809.291018,0.604541,0.242350
22399821.519494,0.599811,0.247246
22399838.583491,0.600757,0.246022
22399854.330616,0.603595,0.236230
22399867.395356,0.604541,0.236230
22399901.050775,0.612110,0.226438
22399912.356415,0.615894,0.221542
22399929.394529,0.615894,0.221542
22399943.355778,0.614948,0.225214
22399956.492811,0.614948,0.233782
22399972.812469,0.619678,0.242350
22399988.336471,0.641438,0.253366
22400003.191997,0.651845,0.264382
22400020.349259,0.649007,0.265606
22400048.346726,0.671712,0.286414
22400064.248252,0.675497,0.277846
22400078.469216,0.673605,0.283966
22400091.483977,0.668874,0.298654
22400108.066475,0.670766,0.305998
22400123.282121,0.670766,0.307222
22400138.599065,0.671712,0.308446
22400155.446186,0.671712,0.308446
22400170.992946,0.671712,0.304774
22400203.936156,0.672658,0.305998
22400213.543384,0.672658,0.302326
22400226.354211,0.672658,0.294982
22400243.443198,0.670766,0.294982
22400258.198764,0.671712,0.292534
22400273.069908,0.670766,0.294982
22400289.744779,0.670766,0.293758
22400305.036733,0.672658,0.293758
22400317.366507,0.673605,0.294982
22400350.867524,0.673605,0.292534
22400361.336007,0.674551,0.292534
22400378.064873,0.675497,0.293758
22400393.577718,0.673605,0.292534
22400407.100308,0.673605,0.290086
22400424.924261,0.671712,0.291310
22400439.317030,0.666982,0.297430
22400452.055565,0.662252,0.298654
22400469.680046,0.618732,0.304774
22400497.001004,0.568590,0.309670
22400513.508532,0.532640,0.288862
22400528.797363,0.526963,0.286414
22400542.483278,0.488174,0.277846
22400559.723988,0.491958,0.279070
22400574.060530,0.495743,0.282742
22400586.696428,0.497635,0.285190
22400604.295920,0.489120,0.288862
22400619.334853,0.493851,0.288862
22400650.198557,0.492904,0.287638
22400663.867515,0.489120,0.286414
22400677.142438,0.489120,0.292534
22400694.427772,0.488174,0.288862
22400708.248900,0.488174,0.288862
22400721.230639,0.487228,0.286414
22400738.533823,0.486282,0.282742
22400753.625413,0.484390,0.281518
22400767.558102,0.482498,0.281518
22400802.309055,0.482498,0.277846
22400813.974815,0.482498,0.277846
22400843.272196,0.484390,0.277846
22400855.978602,0.479659,0.287638
22400873.644138,0.529801,0.378213
22400889.725947,0.620624,0.600979
22400904.453846,0.618732,0.607099
22400922.187658,0.629139,0.634027
22400950.380581,0.627247,0.686659
22400963.536802,0.656575,0.676867
22400978.357074,0.648061,0.684211
22400990.685956,0.645222,0.685435
22401008.339889,0.645222,0.681763
22401023.738943,0.649953,0.662179
22401037.452079,0.650899,0.642595
22401056.832092,0.651845,0.635251
22401070.576465,0.653737,0.631579
22401101.254977,0.654683,0.610771
22401113.579396,0.659413,0.587515
22401125.950671,0.662252,0.567931
22401143.024931,0.661306,0.566707
22401158.551165,0.656575,0.569155
22401172.554361,0.658467,0.565483
22401190.804032,0.655629,0.572827
22401205.774243,0.653737,0.574051
22401217.256596,0.658467,0.572827
22401250.789744,0.664144,0.567931
22401261.114535,0.666982,0.565483
22401278.239221,0.666036,0.561812
22401293.999733,0.667928,0.559364
22401307.378185,0.668874,0.555692
22401324.764371,0.668874,0.554468
22401339.235679,0.668874,0.553244
22401351.888535,0.665090,0.550796
22401369.812894,0.664144,0.549572
22401396.965171,0.662252,0.550796
22401413.842190,0.662252,0.553244
22401428.985099,0.661306,0.556916
22401442.173896,0.660360,0.558140
22401459.567668,0.661306,0.559364
22401473.274557,0.662252,0.559364
22401486.858728,0.662252,0.560588
22401504.528726,0.661306,0.558140
22401519.066525,0.662252,0.558140
