tstamp,gaze_x,gaze_y
22423148.957324,0.669820,0.711138
22423163.528591,0.673605,0.709914
22423176.079257,0.675497,0.707466
22423193.536842,0.673605,0.702570
22423208.687783,0.671712,0.702570
22423221.295568,0.670766,0.702570
22423239.476518,0.670766,0.703794
22423258.599047,0.670766,0.705018
22423265.056225,0.669820,0.707466
22423298.682638,0.669820,0.691554
22423311.596101,0.670766,0.636475
22423328.486508,0.682119,0.466340
22423343.786941,0.682119,0.424725
22423357.304175,0.683065,0.381885
22423373.492191,0.684011,0.374541
22423388.681955,0.688742,0.302326
22423400.620371,0.685903,0.310894
22423417.633496,0.686850,0.310894
22423447.037530,0.706717,0.279070
22423464.424608,0.706717,0.280294
22423481.437287,0.708609,0.276622
22423496.606077,0.707663,0.269278
22423511.362536,0.707663,0.255814
22423522.480306,0.704825,0.248470
22423535.645452,0.700095,0.238678
22423552.866527,0.699149,0.230110
22423567.410573,0.701041,0.217870
22423598.728110,0.701041,0.215422
22423614.861684,0.699149,0.216646
22423627.128091,0.689688,0.249694
22423644.818170,0.689688,0.249694
22423658.394755,0.676443,0.296206
22423670.394754,0.675497,0.299878
22423687.490434,0.675497,0.302326
22423702.291964,0.678335,0.293758
22423716.161732,0.681173,0.290086
22423749.589119,0.681173,0.290086
22423762.126397,0.682119,0.290086
22423780.974039,0.680227,0.292534
22423793.901336,0.680227,0.293758
22423805.477847,0.679281,0.296206
22423822.761396,0.678335,0.294982
22423837.202360,0.677389,0.296206
22423851.229207,0.675497,0.304774
22423868.943383,0.675497,0.303550
22423896.361623,0.675497,0.303550
22423913.111909,0.675497,0.302326
22423939.989745,0.666036,0.303550
22423986.173071,0.584674,0.280294
22424062.598481,0.368969,0.204406
22424076.183991,0.368023,0.198286
22424093.034236,0.359508,0.203182
22424107.314996,0.333964,0.194614
22424123.111208,0.330180,0.195838
22424138.415658,0.324503,0.204406
22424152.643315,0.322611,0.204406
22424165.339903,0.314097,0.206854
22424199.298323,0.312204,0.206854
22424211.953410,0.310312,0.206854
22424229.058908,0.310312,0.203182
22424244.684654,0.310312,0.205630
22424256.675281,0.311258,0.203182
22424275.191808,0.312204,0.201958
22424287.500608,0.316935,0.198286
22424300.609081,0.318827,0.195838
22424317.729305,0.320719,0.193390
22424346.976260,0.322611,0.192166
22424364.283014,0.320719,0.193390
22424379.001096,0.318827,0.194614
22424392.346526,0.313150,0.195838
22424409.855876,0.311258,0.199510
22424422.470355,0.310312,0.201958
22424435.462358,0.309366,0.201958
22424452.402744,0.309366,0.200734
22424467.194457,0.308420,0.216646
22424498.771262,0.310312,0.259486
22424514.520618,0.315989,0.339045
22424527.399274,0.335856,0.481028
22424544.426679,0.335856,0.523868
22424558.305819,0.336802,0.560588
22424570.210766,0.347209,0.705018
22424587.567947,0.341533,0.706242
22424602.337347,0.339640,0.706242
22424615.913932,0.337748,0.716034
22424649.425213,0.337748,0.709914
22424660.935679,0.333964,0.696450
22424678.435658,0.333964,0.698898
22424693.359013,0.335856,0.706242
22424704.877958,0.339640,0.717258
22424722.199885,0.347209,0.719706
22424737.812690,0.381268,0.720930
22424751.100554,0.437086,0.716034
22424768.509499,0.444655,0.716034
22424796.406114,0.483444,0.713586
22424812.905610,0.483444,0.713586
22424828.215860,0.480605,0.717258
22424840.127948,0.491958,0.720930
22424857.947438,0.492904,0.718482
22424872.873025,0.488174,0.719706
22424886.452733,0.487228,0.719706
22424903.779123,0.486282,0.714810
22424918.425805,0.491012,0.709914
22424948.649593,0.487228,0.706242
22424963.290028,0.487228,0.709914
22424976.029010,0.487228,0.735618
22424993.689637,0.488174,0.734394
22425009.152503,0.498581,0.738066
22425020.727675,0.499527,0.739290
22425039.074183,0.498581,0.733170
22425053.011780,0.498581,0.730722
22425065.837334,0.499527,0.728274
22425098.139735,0.499527,0.725826
22425113.198302,0.505203,0.731946
