tstamp,gaze_x,gaze_y
22451903.741192,0.613056,0.515300
22451923.066762,0.599811,0.515300
22451947.801726,0.604541,0.468788
22451961.136892,0.604541,0.472460
22451973.422041,0.585620,0.438188
22451991.106319,0.563860,0.384333
22452006.418355,0.543046,0.330477
22452021.777246,0.537370,0.319461
22452038.403475,0.535478,0.317013
22452053.586991,0.533586,0.312118
22452064.009510,0.531693,0.304774
22452097.097304,0.533586,0.294982
22452108.516290,0.532640,0.297430
22452125.632052,0.532640,0.296206
22452140.881612,0.535478,0.299878
22452156.066467,0.537370,0.302326
22452171.951036,0.537370,0.305998
22452188.126111,0.530747,0.302326
22452200.163147,0.610218,0.298654
22452219.628393,0.608325,0.298654
22452244.815404,0.630085,0.297430
22452260.612508,0.629139,0.296206
22452276.550180,0.634816,0.291310
22452290.021897,0.635762,0.286414
22452307.021188,0.634816,0.286414
22452321.755781,0.638600,0.286414
22452334.884782,0.639546,0.286414
22452352.182165,0.644276,0.290086
22452366.891768,0.657521,0.287638
22452396.908051,0.660360,0.287638
22452411.651123,0.661306,0.288862
22452424.782801,0.661306,0.287638
22452441.915073,0.660360,0.291310
22452456.265002,0.657521,0.291310
22452469.764833,0.656575,0.291310
22452486.598120,0.657521,0.291310
22452502.113197,0.657521,0.287638
22452514.216278,0.663198,0.279070
22452547.461151,0.677389,0.288862
22452559.752994,0.680227,0.292534
22452576.768350,0.681173,0.293758
22452591.211098,0.689688,0.296206
22452604.232107,0.691580,0.286414
22452621.140364,0.691580,0.288862
22452636.034266,0.693472,0.281518
22452650.942449,0.694418,0.274174
22452668.426809,0.697256,0.270502
22452696.010606,0.699149,0.281518
22452711.359680,0.701041,0.274174
22452726.108553,0.721854,0.275398
22452738.673498,0.742668,0.276622
22452755.972220,0.740776,0.277846
22452773.796620,0.743614,0.276622
22452786.603431,0.745506,0.275398
22452804.245316,0.747398,0.276622
22452819.154837,0.753075,0.275398
22452847.128207,0.752129,0.279070
22452861.207711,0.754967,0.280294
22452873.892250,0.757805,0.281518
22452890.854503,0.757805,0.280294
22452906.432501,0.759697,0.274174
22452921.155045,0.756859,0.279070
22452938.348899,0.749290,0.297430
22452953.119192,0.749290,0.297430
22452964.763532,0.746452,0.290086
22452997.311815,0.739830,0.287638
22453008.575507,0.729423,0.319461
22453025.833621,0.711447,0.369645
22453041.582084,0.705771,0.395349
22453055.126093,0.693472,0.402693
22453073.944283,0.695364,0.401469
22453088.466016,0.673605,0.413709
22453100.210762,0.600757,0.446756
22453118.010618,0.496689,0.488372
22453144.726021,0.440870,0.515300
22453161.292007,0.378430,0.543452
22453176.723190,0.326395,0.564259
22453189.685294,0.323557,0.572827
22453207.230344,0.323557,0.571603
22453220.944819,0.317881,0.549572
22453234.675358,0.317881,0.547124
22453252.736268,0.318827,0.550796
22453267.733700,0.316935,0.545900
22453297.136842,0.318827,0.555692
22453312.432812,0.319773,0.563035
22453324.895121,0.322611,0.576499
22453341.926095,0.323557,0.575275
22453356.028804,0.330180,0.561812
22453369.583077,0.338694,0.538556
22453386.427074,0.338694,0.537332
22453401.943044,0.338694,0.541004
22453415.128717,0.338694,0.541004
22453450.230419,0.333018,0.555692
22453461.515531,0.331126,0.561812
22453476.201037,0.326395,0.558140
22453491.149382,0.328288,0.556916
22453503.480941,0.329234,0.550796
22453521.131305,0.327342,0.552020
22453538.752662,0.328288,0.552020
22453550.571039,0.332072,0.554468
22453569.345496,0.338694,0.523868
22453595.418304,0.338694,0.509180
22453611.142224,0.355724,0.370869
22453626.129839,0.356670,0.368421
22453639.050889,0.365184,0.302326
22453671.662984,0.366131,0.288862
22453690.405312,0.368969,0.255814
22453703.059953,0.373699,0.250918
22453718.892311,0.373699,0.247246
22453747.170913,0.378430,0.248470
22453761.044251,0.416272,0.250918
22453773.984936,0.433302,0.254590
22453790.708000,0.431410,0.254590
22453806.267702,0.450331,0.263158
22453820.475279,0.456954,0.286414
22453837.768646,0.459792,0.288862
22453852.485835,0.461684,0.290086
22453865.185993,0.467360,0.285190
22453897.309003,0.465468,0.288862
22453908.648558,0.463576,0.290086
22453926.053932,0.460738,0.288862
22453941.629253,0.461684,0.288862
22453954.768963,0.459792,0.292534
22453972.041356,0.454115,0.285190
22453987.577407,0.456008,0.287638
22454001.745268,0.456008,0.274174
22454017.486145,0.460738,0.276622
22454044.699112,0.459792,0.271726
22454061.456538,0.461684,0.272950
22454077.492830,0.461684,0.281518
22454089.747635,0.465468,0.290086
22454106.740678,0.463576,0.285190
22454120.982616,0.463576,0.286414
22454135.106744,0.459792,0.286414
22454151.595976,0.458846,0.285190
22454167.171296,0.460738,0.285190
22454197.371879,0.466414,0.285190
