tstamp,gaze_x,gaze_y
22510086.158925,0.267739,0.700122
22510100.466461,0.268685,0.701346
22510114.877526,0.262062,0.705018
22510148.497245,0.260170,0.700122
22510160.839513,0.257332,0.685435
22510174.026972,0.255440,0.687882
22510189.246634,0.255440,0.679315
22510202.000342,0.255440,0.682987
22510218.841215,0.255440,0.684211
22510235.525011,0.255440,0.681763
22510247.828902,0.255440,0.687882
22510268.245990,0.263009,0.700122
22510297.315340,0.294229,0.703794
22510309.486250,0.324503,0.724602
22510325.323517,0.420057,0.766218
22510337.554224,0.428571,0.772338
22510354.765482,0.419111,0.763770
22510371.098082,0.432356,0.778458
22510386.046427,0.438978,0.785802
22510402.693629,0.422895,0.788250
22510418.070370,0.423841,0.791922
22510444.876807,0.425733,0.795594
22510458.544872,0.430464,0.799266
22510471.843000,0.447493,0.801714
22510488.936895,0.438032,0.794370
22510506.534155,0.448439,0.795594
22510518.857236,0.473983,0.789474
22510538.640208,0.470199,0.790698
22510555.375322,0.467360,0.806610
22510567.207085,0.466414,0.804162
22510594.681998,0.465468,0.805386
22510607.810106,0.461684,0.815178
22510624.952642,0.454115,0.815178
22510639.436891,0.455061,0.815178
22510652.307961,0.453169,0.815178
22510671.692883,0.455061,0.811505
22510685.922326,0.459792,0.789474
22510698.104392,0.462630,0.791922
22510715.684695,0.464522,0.790698
22510743.197985,0.480605,0.761322
22510761.072811,0.484390,0.750306
22510774.656089,0.490066,0.724602
22510789.321961,0.494797,0.694002
22510806.193625,0.494797,0.705018
22510821.592678,0.495743,0.702570
22510832.716696,0.497635,0.697674
22510850.305924,0.498581,0.691554
22510865.705423,0.498581,0.685435
22510896.344666,0.503311,0.681763
22510911.296581,0.508988,0.681763
22510923.066316,0.507096,0.682987
22510940.499358,0.494797,0.691554
22510953.482882,0.494797,0.692778
22510967.493664,0.489120,0.698898
22510985.522445,0.491958,0.695226
22511000.642148,0.491958,0.696450
22511013.317762,0.492904,0.696450
