tstamp,gaze_x,gaze_y
21974005.517384,0.880795,0.479804
21974024.357439,0.877010,0.481028
21974042.326869,0.876064,0.479804
21974070.997721,0.875118,0.478580
21974084.503799,0.876064,0.477356
21974095.541245,0.861873,0.468788
21974128.944089,0.824030,0.441860
21974142.742458,0.805109,0.428397
21974175.477717,0.796594,0.423501
21974185.246932,0.745506,0.391677
21974220.138898,0.742668,0.386781
21974229.755051,0.742668,0.385557
21974262.878991,0.741722,0.385557
21974275.997728,0.741722,0.386781
21974294.646790,0.741722,0.383109
21974310.825881,0.741722,0.383109
21974322.581336,0.741722,0.383109
21974339.344117,0.738884,0.375765
21974365.884145,0.678335,0.400245
21974383.368505,0.694418,0.396573
21974398.652427,0.620624,0.419829
21974411.915747,0.597919,0.427173
21974429.777631,0.491958,0.456548
21974445.854086,0.447493,0.467564
21974459.483774,0.447493,0.467564
21974476.328217,0.444655,0.462668
21974489.160018,0.446547,0.456548
21974519.466808,0.442763,0.452876
21974533.110329,0.427625,0.460220
21974550.551850,0.419111,0.463892
21974563.749572,0.414380,0.466340
21974580.041117,0.405866,0.468788
21974592.189269,0.410596,0.467564
21974611.219425,0.396405,0.470012
21974625.585865,0.392621,0.472460
21974635.210943,0.387890,0.477356
21974669.745020,0.385998,0.478580
21974680.811918,0.385052,0.481028
21974699.029906,0.386944,0.483476
21974714.646727,0.386944,0.482252
21974725.935409,0.387890,0.483476
21974745.224834,0.387890,0.482252
21974760.028149,0.387890,0.481028
21974771.974152,0.388836,0.481028
21974788.466953,0.389782,0.481028
21974816.841052,0.390728,0.482252
21974834.331660,0.394513,0.483476
21974849.697691,0.390728,0.484700
21974861.051079,0.389782,0.483476
21974879.113327,0.388836,0.483476
21974905.290111,0.385052,0.479804
21974924.401930,0.364238,0.460220
21974938.272591,0.347209,0.441860
21974970.062702,0.305582,0.388005
21974995.580381,0.291391,0.365973
21975013.607822,0.288552,0.356181
21975029.104157,0.287606,0.351285
21975041.096123,0.287606,0.348837
21975059.645672,0.285714,0.351285
21975076.749384,0.281930,0.357405
21975088.500824,0.278146,0.359853
21975120.609554,0.275307,0.358629
21975129.895931,0.272469,0.358629
21975148.232175,0.268685,0.357405
21975163.477273,0.271523,0.367197
21975176.654022,0.272469,0.368421
21975196.040282,0.275307,0.373317
21975213.101601,0.274361,0.374541
21975225.877621,0.274361,0.374541
21975240.497975,0.274361,0.376989
21975266.459222,0.274361,0.376989
21975283.679851,0.272469,0.378213
